Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG
Arsenal,29,38.0,16.6,16.63,11.5,1.50,1.32,0.95,0.95,0.45,2.26,2.26,1.50,0.11,0.11,0.24,0.11,0.21,0.00
Aston Villa,28,38.0,20.1,20.08,14.4,2.11,0.95,0.71,1.42,0.42,1.82,1.82,1.21,0.18,0.13,0.11,0.11,0.05,0.03
Bournemouth,27,38.0,15.0,14.97,10.3,1.74,0.84,0.79,1.05,0.18,1.55,1.55,0.84,0.11,0.13,0.26,0.18,0.00,0.03
Brighton,25,38.0,18.6,18.63,13.5,1.82,1.11,0.92,0.84,0.37,1.68,1.68,1.03,0.21,0.13,0.05,0.13,0.03,0.11
Burnley,22,38.0,15.0,15.00,10.3,1.74,0.68,0.95,0.92,0.37,1.74,1.74,1.13,0.21,0.08,0.13,0.05,0.11,0.03
Chelsea,27,38.0,26.1,26.08,19.4,2.26,1.39,1.21,1.42,0.34,2.89,2.89,2.00,0.16,0.21,0.21,0.26,0.05,0.00
Crystal Palace,25,38.0,14.1,14.05,9.00,1.68,1.34,0.58,1.08,0.32,1.42,1.42,0.92,0.11,0.13,0.05,0.16,0.00,0.05
Everton,24,38.0,18.6,18.58,12.0,2.18,1.21,1.42,1.13,0.55,1.74,1.74,1.13,0.13,0.13,0.21,0.05,0.03,0.05
Leicester City,24,38.0,23.1,23.08,16.4,2.03,1.68,1.05,1.37,0.45,3.00,3.00,2.29,0.13,0.18,0.05,0.18,0.11,0.05
Liverpool,24,38.0,24.1,24.08,17.7,1.89,1.92,0.97,1.03,0.47,3.68,3.68,2.50,0.26,0.37,0.21,0.24,0.05,0.05
Manchester City,24,38.0,32.3,32.34,24.7,1.66,2.47,1.63,1.42,0.45,4.42,4.42,3.05,0.16,0.37,0.32,0.37,0.16,0.00
Manchester Utd,29,38.0,23.9,23.87,18.4,1.39,1.47,0.71,1.50,0.29,2.74,2.74,2.00,0.11,0.21,0.03,0.29,0.05,0.05
Newcastle Utd,28,38.0,15.7,15.68,11.0,1.58,1.18,0.79,0.82,0.34,1.61,1.61,1.05,0.16,0.08,0.16,0.08,0.08,0.00
Norwich City,30,38.0,17.2,17.16,12.3,1.32,1.26,0.97,0.87,0.42,1.03,1.03,0.71,0.05,0.08,0.05,0.03,0.08,0.03
Sheffield Utd,26,38.0,14.6,14.55,10.6,1.61,0.89,0.74,0.45,0.21,1.55,1.55,1.11,0.05,0.13,0.16,0.03,0.00,0.08
Southampton,25,38.0,19.6,19.61,13.1,1.76,1.63,1.03,1.39,0.74,1.87,1.87,1.00,0.11,0.26,0.21,0.21,0.08,0.00
Tottenham,29,38.0,18.7,18.71,13.9,1.11,1.42,0.82,0.92,0.45,2.34,2.34,1.45,0.08,0.32,0.32,0.08,0.05,0.05
Watford,26,38.0,16.9,16.89,11.7,1.42,1.11,0.92,1.11,0.63,1.39,1.39,0.79,0.11,0.05,0.11,0.21,0.13,0.00
West Ham,29,38.0,17.4,17.39,12.4,1.92,1.05,0.74,1.08,0.21,2.16,2.16,1.42,0.18,0.16,0.16,0.24,0.00,0.00
Wolves,21,38.0,18.6,18.61,12.6,1.66,1.84,0.84,1.11,0.55,2.29,2.29,1.26,0.21,0.21,0.21,0.21,0.13,0.05
