Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Arsenal,29,27.0,13.3,8.44,6.19,5.44,1.67,5.00,14.4,34.8,9.37,117.4,34.8,29.6,38.7,48.6,30.1,15.6,3.85,0.04,11.7,8.00,21.3,20.7,0.22
Aston Villa,21,26.0,14.9,8.77,6.92,5.96,2.04,5.81,14.5,39.9,8.73,125.8,35.3,28.1,42.2,54.0,29.7,15.1,4.38,0.04,10.7,8.58,23.5,23.1,0.35
Brighton,26,27.0,17.7,11.0,9.19,6.48,2.00,5.67,15.6,36.3,9.96,127.2,42.1,33.1,43.9,53.2,30.1,15.4,3.19,0.07,12.2,8.85,26.5,17.7,0.07
Burnley,24,28.0,14.9,8.18,7.14,5.39,2.32,5.64,14.5,38.9,8.86,116.3,31.3,26.9,33.9,52.4,30.0,17.1,4.57,0.11,12.5,8.68,23.5,25.3,0.25
Chelsea,27,28.0,18.1,10.8,8.61,7.54,2.00,5.32,14.9,35.8,9.54,134.1,42.0,31.3,43.2,59.5,31.5,15.3,2.61,0.04,12.6,10.9,29.1,21.0,0.25
Crystal Palace,22,28.0,17.6,9.82,9.89,5.96,1.75,6.21,16.8,36.9,10.6,144.0,37.9,26.3,58.9,60.3,24.9,17.4,3.82,0.04,13.6,10.7,28.3,21.8,0.36
Everton,26,27.0,18.0,11.2,9.85,6.11,2.00,6.30,17.4,36.2,11.1,136.9,40.0,29.2,56.1,55.3,25.6,18.2,4.52,0.04,13.7,9.70,27.7,22.8,0.26
Fulham,25,28.0,16.4,10.1,7.79,6.36,2.25,4.93,13.6,36.2,8.68,124.6,37.5,30.1,42.8,51.9,29.9,15.8,2.93,0.04,12.8,12.8,29.1,28.6,0.18
Leeds United,22,27.0,21.4,13.1,11.1,7.70,2.52,6.48,20.1,32.2,13.6,165.2,52.6,31.8,55.7,72.7,36.8,14.8,4.07,0.07,10.7,10.6,31.9,18.8,0.30
Leicester City,26,28.0,19.2,11.5,9.64,6.89,2.64,5.96,16.7,35.8,10.7,133.1,41.3,31.0,48.4,55.9,28.8,16.8,3.21,0.11,13.6,9.89,29.1,22.2,0.07
Liverpool,28,28.0,14.0,9.07,5.43,5.86,2.68,5.07,14.1,35.9,9.04,123.0,40.5,32.9,30.0,52.2,40.8,13.2,1.82,0.07,11.4,7.79,21.8,16.8,0.61
Manchester City,23,28.0,14.8,10.0,6.00,6.11,2.68,5.57,15.5,35.9,9.96,111.1,35.6,32.0,27.5,50.1,33.5,11.0,2.25,0.00,8.79,7.82,22.6,14.0,0.14
Manchester Utd,25,28.0,16.0,10.0,7.61,6.04,2.32,4.61,14.3,32.3,9.68,125.5,37.1,29.6,38.1,54.1,33.3,16.6,3.64,0.00,13.0,10.3,26.3,20.4,0.11
Newcastle Utd,27,27.0,16.3,9.30,8.48,6.22,1.56,5.56,15.1,36.8,9.56,138.2,35.0,25.3,52.0,58.4,27.9,16.8,4.26,0.11,12.5,9.37,25.6,25.8,0.30
Sheffield Utd,24,28.0,17.9,10.3,9.39,6.68,1.86,6.18,17.9,34.5,11.8,153.9,39.7,25.8,53.8,64.0,36.0,17.5,4.11,0.18,13.4,10.1,28.0,25.5,0.54
Southampton,29,27.0,21.0,12.5,10.1,8.41,2.44,7.85,19.9,39.5,12.0,140.3,45.2,32.2,47.4,61.0,32.0,16.4,2.85,0.04,13.6,10.4,31.4,20.5,0.22
Tottenham,24,27.0,18.6,10.7,9.89,6.48,2.19,6.93,18.5,37.5,11.6,149.5,39.9,26.7,55.7,65.0,28.9,14.6,4.07,0.07,10.6,8.63,27.2,27.8,0.19
West Brom,30,28.0,17.3,10.5,9.71,5.89,1.68,5.43,16.3,33.4,10.8,139.6,38.4,27.5,55.9,58.6,25.1,18.1,4.46,0.29,13.6,10.4,27.7,26.7,0.11
West Ham,24,27.0,15.2,9.26,8.93,5.15,1.11,5.44,16.1,33.8,10.7,123.7,34.1,27.6,47.4,54.6,21.8,15.5,2.93,0.00,12.6,10.8,26.0,25.1,0.22
Wolves,25,28.0,15.6,10.1,9.00,5.07,1.57,5.89,16.0,36.7,10.1,126.9,36.9,29.0,52.7,53.2,21.0,15.1,3.89,0.07,11.3,9.43,25.1,22.4,0.14
