Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,1.03,0.00,0.10,0.10,0.00,0.93,0.32,-0.10,-0.11,6.19,14.6,42.3,25.4,5.05,44.3,38.3,7.01,48.5,40.2,9.38,0.82,8.8,0.72,0.72,1.34,Matches
2,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,28.3,0.81,0.04,0.00,0.04,0.04,0.80,0.28,0.02,+0.02,4.88,9.01,54.1,26.7,4.66,24.9,31.7,6.01,39.4,38.8,6.96,0.57,8.1,1.31,1.31,0.62,Matches
3,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,33.0,1.42,0.06,0.06,0.24,0.06,1.08,0.35,-0.29,-0.29,4.30,10.1,42.6,26.9,4.39,28.2,31.8,6.03,41.7,39.1,7.21,0.55,7.6,0.64,0.64,0.48,Matches
4,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.9,1.79,0.00,0.00,0.00,0.00,1.08,0.28,-0.72,-0.72,4.87,12.1,40.4,26.7,3.33,27.9,31.5,7.18,64.3,48.2,8.97,0.77,8.6,0.26,0.26,3.18,Matches
5,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,5.0,1.40,0.00,0.00,0.60,0.20,1.18,0.37,-0.02,-0.02,6.40,14.8,43.2,27.4,3.00,45.3,35.8,5.60,42.9,36.8,4.00,0.00,0.0,0.40,0.40,2.48,Matches
6,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,38.0,1.53,0.05,0.05,0.29,0.05,1.74,0.34,0.26,+0.26,7.76,20.5,37.9,19.9,3.18,63.6,48.4,8.87,88.1,64.4,10.1,0.53,5.2,0.37,0.37,0.32,Matches
7,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,34.1,0.82,0.09,0.03,0.12,0.03,0.87,0.30,0.07,+0.07,3.72,7.27,51.2,27.1,4.72,21.9,29.7,4.08,33.1,35.0,5.04,0.35,7.0,1.11,1.11,0.52,Matches
8,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,23.5,1.45,0.13,0.04,0.09,0.09,1.29,0.28,-0.07,-0.07,9.36,21.5,43.5,20.3,3.83,68.8,49.8,8.26,91.2,63.9,10.2,0.43,4.2,0.21,0.21,0.49,Matches
9,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,5.00,5.00,0.00,0.00,0.00,5.50,0.08,0.50,+0.29,5.00,15.0,33.3,35.0,10.0,42.9,29.9,15.0,0.0,15.3,20.0,0.00,0.0,0.00,0.00,35.0,Matches
10,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,38.0,1.68,0.21,0.08,0.18,0.08,1.53,0.31,-0.07,-0.07,8.47,25.7,33.0,23.9,3.21,77.4,54.3,7.68,92.8,67.6,9.66,0.97,10.1,1.16,1.16,0.41,Matches
11,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,17.9,1.45,0.17,0.06,0.11,0.06,1.42,0.29,0.02,+0.02,4.53,15.3,29.7,21.0,3.24,45.7,38.9,7.82,72.1,58.0,9.39,0.50,5.4,0.67,0.67,0.79,Matches
12,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,38.0,0.95,0.08,0.03,0.21,0.03,0.98,0.28,0.06,+0.05,3.16,8.18,38.6,17.6,3.89,33.8,34.3,6.97,32.1,33.9,7.50,0.39,5.3,0.29,0.29,0.35,Matches
