Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Arsenal,28,58.0,38.0,698.1,70.1,224.4,337.2,180.5,29.2,650.3,9.63,15.2,63.2,10.1,0.58,498.8,2498.1,1342.8,54.7,15.4,5.24,12.7,11.7,557.2,481.8,86.5,48.4
Bournemouth,28,46.8,38.0,577.1,66.8,211.3,251.9,149.1,25.2,528.3,8.47,14.4,59.0,9.26,0.45,368.7,1833.5,981.1,35.8,12.5,3.95,13.2,11.9,423.8,354.2,83.6,43.6
Brighton,21,42.6,38.0,530.1,67.5,201.6,230.9,127.4,17.6,483.7,8.00,13.4,59.5,9.11,0.34,318.5,1560.7,785.9,29.2,8.87,2.53,13.1,10.2,378.9,304.7,80.4,34.2
Burnley,23,41.2,38.0,501.9,68.0,166.0,234.9,126.5,19.0,454.1,6.08,10.6,57.6,6.61,0.13,279.9,1379.0,669.2,27.2,8.84,1.66,12.6,9.03,346.4,267.0,77.1,35.1
Cardiff City,25,35.6,38.0,424.4,60.5,140.8,179.1,123.4,20.0,377.7,8.03,13.2,60.9,8.79,0.37,217.4,1043.1,526.5,22.1,6.79,2.79,11.1,10.7,272.0,190.6,70.1,32.8
Chelsea,24,62.8,38.0,806.7,59.9,217.0,396.9,249.7,31.3,762.5,11.4,17.3,66.0,12.2,0.42,610.9,2921.9,1695.4,73.0,21.4,6.47,11.8,13.9,673.3,600.1,89.1,56.6
Crystal Palace,26,45.0,38.0,570.4,63.1,194.6,259.9,152.3,27.5,522.1,12.9,19.9,64.9,13.7,0.50,369.9,1883.8,1018.6,43.3,12.6,5.45,12.2,14.2,406.0,335.0,82.5,40.2
Everton,23,51.5,38.0,605.4,60.2,190.2,285.6,166.2,24.7,554.3,8.92,15.8,56.5,9.97,0.47,390.1,1967.6,994.7,39.5,11.6,3.66,15.1,13.1,448.2,365.2,81.5,45.6
Fulham,28,48.6,38.0,626.9,71.9,210.1,308.7,142.1,18.2,581.5,10.3,16.4,62.6,11.2,0.71,411.5,1863.8,963.4,38.3,12.2,3.05,12.4,13.2,476.1,398.6,83.7,40.6
Huddersfield,31,47.0,38.0,578.0,57.3,184.7,272.4,153.1,18.0,529.4,7.47,13.8,54.2,8.16,0.37,356.9,1700.0,813.4,30.9,10.7,2.47,11.2,11.4,426.4,342.1,80.2,39.1
Leicester City,25,51.1,38.0,620.3,62.5,197.2,297.3,166.5,23.1,572.5,10.0,15.7,63.9,11.0,0.68,414.6,2119.7,1141.4,44.8,13.8,4.53,12.7,11.8,466.0,387.7,83.2,43.7
Liverpool,23,61.7,38.0,776.0,54.1,203.6,403.8,216.0,34.1,728.6,10.4,16.8,61.7,11.5,0.87,568.7,2508.0,1354.9,56.9,17.2,5.18,14.3,12.6,637.2,555.0,87.1,59.7
Manchester City,21,67.8,38.0,843.7,53.1,181.6,437.8,282.3,43.9,803.1,11.1,18.7,59.6,12.2,0.79,653.2,3322.1,1915.7,86.4,24.5,8.55,11.3,12.0,713.2,647.4,90.8,60.8
Manchester Utd,28,54.5,38.0,659.1,61.1,191.7,330.1,175.7,26.6,610.9,9.53,15.4,61.9,10.3,0.45,455.1,2117.9,1131.5,48.3,13.7,5.16,11.9,12.0,514.2,441.8,85.9,48.9
Newcastle Utd,24,40.4,38.0,524.9,65.1,195.1,230.4,129.2,19.0,479.0,7.79,13.3,58.5,8.53,0.55,307.5,1452.7,758.5,28.8,10.2,2.50,12.5,11.3,364.8,285.3,78.2,35.6
Southampton,30,43.9,38.0,542.9,57.9,166.7,253.0,153.5,21.4,497.2,8.66,14.6,59.4,9.55,0.50,326.3,1630.0,844.7,36.6,11.7,4.08,11.9,10.0,383.8,304.4,79.3,38.8
Tottenham,28,58.9,38.0,712.2,68.8,220.1,348.4,187.3,26.7,666.0,10.4,17.7,58.9,11.4,0.82,501.5,2348.7,1230.4,49.4,14.9,4.76,12.8,11.9,565.4,491.7,87.0,47.4
Watford,25,47.1,38.0,564.3,61.7,178.9,263.5,152.3,25.4,517.7,8.24,14.5,56.9,8.97,0.47,353.5,1636.5,839.3,36.1,10.4,4.32,12.8,12.8,412.1,334.7,81.2,39.5
West Ham,26,48.7,38.0,590.0,62.7,185.3,285.3,159.0,23.3,542.4,10.2,16.2,63.4,10.8,0.76,386.1,2033.8,1040.0,42.7,13.2,4.34,11.7,12.7,439.7,365.5,83.1,38.6
Wolves,21,46.9,38.0,595.2,57.3,190.2,292.2,148.8,21.6,550.3,8.89,14.4,61.8,9.66,0.32,388.5,1940.1,1072.0,44.1,12.3,4.32,12.1,13.1,446.1,368.8,82.7,41.1
