Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Arsenal,28,26.7,58.0,38,418,3420,38.0,1.82,1.37,1.71,0.11,0.13,1.92,0.05,1.82,1.37,3.18,1.71,3.08,1.50,1.40,1.16,2.56,1.50,1.16,2.66,1.40,2.56
Bournemouth,28,26.6,46.8,38,418,3420,38.0,1.45,1.13,1.26,0.18,0.24,1.58,0.03,1.45,1.13,2.58,1.26,2.39,1.40,1.22,0.96,2.18,1.40,0.96,2.36,1.22,2.18
Brighton,21,27.4,42.6,38,418,3420,38.0,0.92,0.63,0.79,0.13,0.16,1.61,0.11,0.92,0.63,1.55,0.79,1.42,0.91,0.79,0.61,1.40,0.91,0.61,1.52,0.79,1.40
Burnley,23,28.0,41.2,38,418,3420,38.0,1.13,0.84,1.08,0.05,0.05,1.97,0.03,1.13,0.84,1.97,1.08,1.92,1.10,1.06,0.72,1.78,1.10,0.72,1.82,1.06,1.78
Cardiff City,25,27.7,35.6,38,418,3420,38.0,0.87,0.53,0.79,0.08,0.11,1.74,0.03,0.87,0.53,1.39,0.79,1.32,1.05,0.97,0.61,1.57,1.05,0.61,1.65,0.97,1.57
Chelsea,24,27.3,62.8,38,418,3420,38.0,1.61,1.37,1.47,0.13,0.13,1.29,0.00,1.61,1.37,2.97,1.47,2.84,1.54,1.44,1.20,2.64,1.54,1.20,2.74,1.44,2.64
Crystal Palace,26,27.4,45.0,38,418,3420,38.0,1.26,0.87,1.00,0.26,0.29,1.53,0.05,1.26,0.87,2.13,1.00,1.87,1.32,1.11,0.83,1.94,1.32,0.83,2.15,1.11,1.94
Everton,23,25.7,51.5,38,418,3420,38.0,1.39,0.89,1.34,0.05,0.13,1.47,0.11,1.39,0.89,2.29,1.34,2.24,1.22,1.12,0.79,1.92,1.22,0.79,2.02,1.12,1.91
Fulham,28,26.0,48.6,38,418,3420,38.0,0.87,0.63,0.82,0.05,0.08,1.84,0.05,0.87,0.63,1.50,0.82,1.45,1.04,0.98,0.76,1.74,1.04,0.76,1.80,0.98,1.74
Huddersfield,31,26.2,47.0,38,418,3420,38.0,0.53,0.34,0.50,0.03,0.03,1.47,0.11,0.53,0.34,0.87,0.50,0.84,0.76,0.74,0.52,1.26,0.76,0.52,1.28,0.74,1.26
Leicester City,25,25.9,51.1,38,418,3420,38.0,1.26,0.89,1.13,0.13,0.18,1.58,0.13,1.26,0.89,2.16,1.13,2.03,1.30,1.17,0.90,2.06,1.30,0.90,2.20,1.17,2.06
Liverpool,23,26.1,61.7,38,418,3420,38.0,2.26,1.45,2.08,0.18,0.18,1.03,0.05,2.26,1.45,3.71,2.08,3.53,1.94,1.80,1.26,3.05,1.94,1.25,3.19,1.80,3.05
Manchester City,21,26.7,67.8,38,418,3420,38.0,2.39,1.87,2.32,0.08,0.11,1.16,0.03,2.39,1.87,4.26,2.32,4.18,2.16,2.08,1.62,3.70,2.16,1.62,3.78,2.08,3.70
Manchester Utd,28,26.3,54.5,38,418,3420,38.0,1.71,1.05,1.47,0.24,0.32,1.97,0.11,1.71,1.05,2.76,1.47,2.53,1.57,1.33,1.01,2.33,1.57,1.01,2.58,1.33,2.33
Newcastle Utd,24,26.9,40.4,38,418,3420,38.0,1.08,0.87,1.05,0.03,0.08,1.50,0.05,1.08,0.87,1.95,1.05,1.92,1.02,0.96,0.69,1.65,1.02,0.69,1.71,0.96,1.65
Southampton,30,25.4,43.9,38,418,3420,38.0,1.16,0.71,1.05,0.11,0.13,1.92,0.08,1.16,0.71,1.87,1.05,1.76,1.19,1.10,0.71,1.81,1.19,0.71,1.91,1.10,1.81
Tottenham,28,26.8,58.9,38,418,3420,38.0,1.74,1.24,1.63,0.11,0.11,1.50,0.08,1.74,1.24,2.97,1.63,2.87,1.46,1.38,0.97,2.35,1.46,0.97,2.43,1.38,2.35
Watford,25,28.5,47.1,38,418,3420,38.0,1.34,1.03,1.32,0.03,0.03,2.08,0.11,1.34,1.03,2.37,1.32,2.34,1.26,1.24,0.88,2.12,1.26,0.88,2.14,1.24,2.12
West Ham,26,27.6,48.7,38,418,3420,38.0,1.34,0.87,1.21,0.13,0.13,1.55,0.03,1.34,0.87,2.21,1.21,2.08,1.29,1.19,0.87,2.06,1.29,0.87,2.16,1.19,2.06
Wolves,21,26.1,46.9,38,418,3420,38.0,1.21,0.92,1.11,0.11,0.11,1.92,0.03,1.21,0.92,2.13,1.11,2.03,1.31,1.23,0.92,2.15,1.31,0.92,2.23,1.23,2.15
