Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Arsenal,28,38.0,585.2,535.6,49.7,13.7,2.13,92.1,14.1,12.3,5.47,0.45,0.68,0.08,427.2,70.0,88.1,173.3,352.6,22.6,21.3,7.55,481.8,2.08,8.95,10.4,14.9
Bournemouth,28,38.0,458.8,408.3,50.4,13.2,0.76,70.8,10.8,12.1,4.95,0.26,0.39,0.11,302.7,60.8,95.2,133.9,262.6,23.9,21.5,7.37,354.2,1.39,10.3,9.13,13.2
Brighton,21,38.0,413.3,366.0,47.3,8.55,0.50,66.2,17.9,11.0,4.05,0.55,0.55,0.03,239.3,58.9,115.1,96.8,248.9,26.7,22.6,5.29,304.7,2.29,10.6,7.74,11.1
Burnley,23,38.0,385.5,336.9,48.6,10.1,0.76,71.6,12.6,11.7,3.63,0.89,0.13,0.13,194.9,57.9,132.7,115.0,195.2,31.8,23.1,4.50,267.0,2.68,11.8,5.21,11.0
Cardiff City,25,38.0,309.1,261.7,47.4,11.1,0.63,59.0,8.97,10.4,4.39,0.63,0.45,0.11,142.6,46.4,120.0,71.1,167.6,27.8,20.7,2.97,190.6,1.87,11.4,6.58,9.95
Chelsea,24,38.0,697.3,651.6,45.7,11.7,1.58,109.4,17.2,12.9,5.63,0.66,0.79,0.21,535.1,70.9,91.3,131.3,512.5,20.4,19.5,7.39,600.1,2.00,8.74,11.4,13.6
Crystal Palace,26,38.0,439.0,390.2,48.8,11.2,1.18,72.4,10.8,10.3,5.34,0.42,0.50,0.21,287.3,53.8,97.9,140.1,241.7,18.6,21.1,6.32,335.0,1.76,8.82,9.95,12.6
Everton,23,38.0,480.5,428.4,52.1,12.6,0.95,95.1,15.2,13.7,5.71,0.37,0.95,0.21,305.8,61.3,113.4,124.0,284.3,28.0,24.2,6.00,365.2,1.79,12.4,10.2,13.3
Fulham,28,38.0,506.3,459.5,46.8,10.5,0.58,84.6,11.6,10.1,4.21,0.50,0.34,0.18,339.8,52.2,114.3,157.8,284.5,25.9,19.9,6.39,398.6,2.24,10.5,8.05,11.2
Huddersfield,31,38.0,461.4,411.6,49.8,11.3,0.63,83.8,11.4,13.5,4.26,0.55,0.47,0.16,277.9,59.8,123.7,120.0,269.1,27.7,24.3,4.42,342.1,1.47,11.0,8.92,13.8
Leicester City,25,38.0,500.7,451.1,49.6,11.7,1.21,86.4,17.1,12.9,5.42,0.32,0.58,0.29,320.6,67.2,112.9,108.1,324.9,28.5,22.2,4.82,387.7,1.71,11.5,10.1,13.8
Liverpool,23,38.0,664.6,616.0,48.6,11.6,2.32,98.4,20.2,13.2,6.50,0.68,0.53,0.13,478.1,68.7,117.7,165.6,433.3,25.6,23.5,7.47,555.0,1.89,10.2,9.37,14.5
Manchester City,21,38.0,740.1,698.6,41.5,8.58,3.13,111.2,17.5,15.9,7.74,0.79,0.79,0.32,585.1,71.3,83.7,304.8,380.8,21.5,19.1,6.74,647.4,2.21,8.79,9.63,12.9
Manchester Utd,28,38.0,544.8,495.6,49.2,11.0,1.26,93.1,16.4,12.0,5.21,0.24,0.71,0.24,373.8,65.8,105.2,158.3,324.7,22.6,21.9,5.97,441.8,2.08,8.45,8.63,12.6
Newcastle Utd,24,38.0,398.6,351.9,46.8,10.1,0.66,76.3,14.5,11.3,4.74,0.50,0.71,0.03,221.7,56.2,120.8,108.2,224.3,27.3,21.4,6.05,285.3,1.37,9.84,6.89,12.7
Southampton,30,38.0,421.0,374.8,46.2,10.5,0.97,84.2,12.4,10.8,5.03,0.97,0.55,0.21,252.0,54.6,114.4,91.0,263.3,29.2,20.7,4.74,304.4,1.34,11.9,7.89,12.4
Tottenham,28,38.0,597.4,550.0,47.4,11.6,1.05,101.1,15.9,11.9,5.11,0.47,0.55,0.05,425.2,65.7,106.5,166.3,369.3,24.3,21.7,6.58,491.7,1.74,8.74,8.37,14.4
Watford,25,38.0,447.5,400.0,47.5,12.7,0.92,80.9,13.1,10.8,4.66,0.45,0.39,0.05,270.4,65.9,111.2,120.7,260.9,27.5,19.7,5.13,334.7,2.05,8.82,9.34,12.5
West Ham,26,38.0,472.8,423.8,49.1,12.6,1.16,73.4,14.5,11.0,4.95,0.63,0.53,0.05,306.7,62.1,104.0,138.8,275.5,21.6,21.1,5.87,365.5,1.79,9.89,8.26,13.0
Wolves,21,38.0,474.6,429.1,45.6,9.13,0.84,91.9,19.1,11.8,5.16,0.37,0.66,0.08,286.8,73.1,114.7,92.9,315.4,28.5,21.7,4.97,368.8,1.71,10.8,8.18,11.5
