Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,28,38.0,1.82,12.2,4.16,34.1,12.21,4.16,0.14,0.41,16.3,0.29,0.11,0.13,1.50,1.40,0.12,0.31,0.31
Bournemouth,28,38.0,1.45,11.4,4.00,35.0,11.42,4.00,0.11,0.32,16.5,0.37,0.18,0.24,1.40,1.22,0.11,0.04,0.04
Brighton,21,38.0,0.92,9.71,2.61,26.8,9.71,2.61,0.08,0.30,16.8,0.29,0.13,0.16,0.91,0.79,0.08,0.02,0.00
Burnley,23,38.0,1.13,9.47,3.00,31.7,9.47,3.00,0.11,0.36,15.1,0.39,0.05,0.05,1.10,1.06,0.12,0.03,0.02
Cardiff City,25,38.0,0.87,10.8,2.97,27.6,10.76,2.97,0.07,0.27,16.9,0.34,0.08,0.11,1.05,0.97,0.09,-0.18,-0.18
Chelsea,24,38.0,1.61,15.7,4.97,31.7,15.71,4.97,0.09,0.30,17.3,0.79,0.13,0.13,1.54,1.44,0.09,0.07,0.03
Crystal Palace,26,38.0,1.26,12.9,3.61,28.0,12.87,3.61,0.08,0.28,17.0,0.42,0.26,0.29,1.32,1.11,0.09,-0.06,-0.11
Everton,23,38.0,1.39,13.0,4.18,32.2,13.00,4.18,0.10,0.32,16.3,0.53,0.05,0.13,1.22,1.12,0.09,0.17,0.22
Fulham,28,38.0,0.87,11.5,3.63,31.5,11.53,3.63,0.07,0.22,18.3,0.26,0.05,0.08,1.04,0.98,0.09,-0.18,-0.17
Huddersfield,31,38.0,0.53,10.5,3.11,29.5,10.53,3.11,0.05,0.16,18.1,0.39,0.03,0.03,0.76,0.74,0.07,-0.23,-0.24
Leicester City,25,38.0,1.26,13.4,4.58,34.3,13.37,4.58,0.08,0.25,17.8,0.47,0.13,0.18,1.30,1.17,0.09,-0.04,-0.03
Liverpool,23,38.0,2.26,14.9,5.53,37.0,14.95,5.53,0.14,0.38,16.3,0.53,0.18,0.18,1.94,1.80,0.12,0.33,0.28
Manchester City,21,38.0,2.39,17.9,6.50,36.3,17.89,6.50,0.13,0.36,16.2,0.53,0.08,0.11,2.16,2.08,0.12,0.24,0.24
Manchester Utd,28,38.0,1.71,13.6,5.58,40.9,13.63,5.58,0.11,0.26,18.1,0.74,0.24,0.32,1.57,1.33,0.10,0.14,0.15
Newcastle Utd,24,38.0,1.08,11.4,3.58,31.4,11.39,3.58,0.09,0.29,18.2,0.45,0.03,0.08,1.02,0.96,0.09,0.06,0.09
Southampton,30,38.0,1.16,12.7,4.00,31.5,12.71,4.00,0.08,0.26,18.1,0.50,0.11,0.13,1.19,1.10,0.09,-0.04,-0.04
Tottenham,28,38.0,1.74,14.0,4.89,34.9,14.03,4.89,0.12,0.33,17.2,0.61,0.11,0.11,1.46,1.38,0.10,0.27,0.25
Watford,25,38.0,1.34,11.4,3.95,34.6,11.42,3.95,0.12,0.33,16.6,0.58,0.03,0.03,1.26,1.24,0.11,0.08,0.07
West Ham,26,38.0,1.34,11.5,3.92,34.1,11.50,3.92,0.11,0.31,16.5,0.45,0.13,0.13,1.29,1.19,0.11,0.05,0.02
Wolves,21,38.0,1.21,12.4,3.79,30.6,12.37,3.79,0.09,0.29,17.1,0.32,0.11,0.11,1.31,1.23,0.10,-0.10,-0.13
