Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG
Arsenal,28,38.0,20.3,20.34,16.0,1.21,1.24,0.82,0.58,0.39,3.21,3.21,2.50,0.16,0.13,0.13,0.18,0.03,0.08
Bournemouth,28,38.0,17.6,17.61,12.7,1.66,1.05,0.74,1.13,0.26,2.58,2.58,1.68,0.18,0.18,0.16,0.26,0.08,0.03
Brighton,21,38.0,15.5,15.53,10.4,2.03,0.89,0.89,1.05,0.21,1.45,1.45,0.76,0.24,0.05,0.18,0.18,0.03,0.00
Burnley,23,38.0,13.9,13.89,9.11,2.08,0.45,1.03,1.00,0.18,1.76,1.76,1.11,0.26,0.03,0.24,0.05,0.03,0.05
Cardiff City,25,38.0,15.1,15.11,9.89,2.03,0.92,1.05,0.97,0.21,1.37,1.37,0.92,0.11,0.08,0.18,0.05,0.00,0.03
Chelsea,24,38.0,26.8,26.79,21.1,1.50,1.45,1.03,1.37,0.34,3.03,3.03,2.13,0.18,0.26,0.18,0.21,0.03,0.03
Crystal Palace,26,38.0,20.5,20.50,14.3,1.79,1.66,1.21,1.16,0.34,2.37,2.37,1.34,0.16,0.16,0.21,0.34,0.08,0.08
Everton,23,38.0,19.4,19.45,12.8,2.18,1.37,1.34,1.34,0.39,2.16,2.16,1.45,0.11,0.26,0.24,0.05,0.03,0.03
Fulham,28,38.0,18.7,18.74,14.2,1.53,1.26,0.97,0.53,0.21,1.61,1.61,1.11,0.08,0.18,0.13,0.08,0.00,0.03
Huddersfield,31,38.0,15.5,15.50,10.9,1.74,0.63,0.79,0.84,0.53,0.92,0.92,0.61,0.13,0.00,0.05,0.05,0.03,0.05
Leicester City,25,38.0,20.5,20.50,14.3,1.97,1.37,1.13,1.11,0.58,2.21,2.21,1.47,0.05,0.21,0.16,0.24,0.05,0.03
Liverpool,23,38.0,24.0,24.00,17.6,1.82,1.84,1.21,1.00,0.50,3.84,3.84,2.61,0.24,0.29,0.26,0.29,0.08,0.08
Manchester City,21,38.0,28.8,28.76,21.9,1.79,2.00,1.50,1.08,0.39,4.32,4.32,3.37,0.16,0.26,0.13,0.24,0.08,0.08
Manchester Utd,28,38.0,22.5,22.47,16.9,1.42,1.39,1.05,1.32,0.39,2.95,2.95,1.97,0.11,0.29,0.26,0.26,0.05,0.00
Newcastle Utd,24,38.0,16.7,16.66,11.9,1.61,1.03,0.74,0.84,0.47,1.61,1.61,1.13,0.13,0.00,0.21,0.05,0.05,0.03
Southampton,30,38.0,19.1,19.08,13.1,1.74,1.18,1.32,1.21,0.55,1.82,1.82,1.29,0.00,0.08,0.13,0.18,0.11,0.03
Tottenham,28,38.0,22.2,22.21,15.9,1.89,1.61,1.24,1.13,0.47,2.71,2.71,1.79,0.21,0.21,0.29,0.21,0.00,0.00
Watford,25,38.0,17.1,17.13,12.2,1.39,1.16,0.79,1.08,0.45,2.18,2.18,1.39,0.21,0.32,0.11,0.08,0.05,0.03
West Ham,26,38.0,18.0,17.97,12.6,1.97,0.82,1.18,0.95,0.45,2.16,2.16,1.42,0.16,0.11,0.24,0.18,0.03,0.03
Wolves,21,38.0,18.5,18.47,13.6,1.58,1.05,1.00,0.87,0.37,2.16,2.16,1.53,0.16,0.08,0.16,0.21,0.00,0.03
