Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
529,Darwin Quintero\Darwin-Quintero,co COL,MFFW,Minnesota,31,1987,30,2197,73,71.8,24.4,26,80,10,4,28,0,1.42,36,29,+7,+0.29,+0.08,37.6,32.5,+5.1,+0.21,-0.11,Matches
530,Romell Quioto\Romell-Quioto,hn HON,FW,Houston,27,1991,18,796,44,26.0,8.8,8,71,2,10,23,0,1.17,11,17,-6,-0.68,-0.52,12.4,15.5,-3.1,-0.36,-0.35,Matches
531,Sam Raben\Sam-Raben,us USA,DF,Colorado,21,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
532,Jukka Raitala\Jukka-Raitala,fi FIN,DF,Montreal,30,1988,26,2084,80,68.1,23.2,23,89,21,3,13,6,1.27,35,42,-7,-0.30,+0.25,24.7,34.6,-9.9,-0.43,-0.27,Matches
533,Christian Ramirez\Christian-Ramirez,us USA,FWMF,Houston,27,1991,10,674,67,22.0,7.5,7,82,3,3,33,0,1.00,14,13,+1,+0.13,+0.55,11.6,11.1,+0.5,+0.06,+0.20,Matches
534,Christian Ramirez\Christian-Ramirez,us USA,FW,Los Angeles FC,27,1991,17,948,56,31.0,10.5,13,65,0,4,25,5,2.18,26,7,+19,+1.80,+0.57,22.0,10.4,+11.6,+1.11,-0.14,Matches
535,Greg Ranjitsingh\Greg-Ranjitsingh,tt TRI,GK,Orlando City,25,1993,2,180,90,5.9,2.0,2,90,2,0,,19,0.50,2,3,-1,-0.50,-0.28,0.7,3.2,-2.4,-1.21,-1.32,Matches
536,Andre Rawls\Andre-Rawls,us USA,GK,Colorado,27,1991,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
537,Matthew Real\Matthew-Real,us USA,DFMF,Philadelphia,19,1999,3,68,23,2.2,0.8,1,57,0,2,6,2,0.33,2,3,-1,-1.32,-1.59,1.7,1.3,+0.4,+0.51,+0.12,Matches
538,Eric Remedi\Eric-Remedi,ar ARG,MF,Atlanta,23,1995,28,2050,73,67.0,22.8,25,80,15,3,21,3,1.86,36,28,+8,+0.35,-0.27,33.3,27.9,+5.5,+0.24,-0.54,Matches
539,Justin Rennicks\Justin-Rennicks,us USA,FW,New England,19,1999,2,105,53,3.4,1.2,1,60,0,1,45,9,1.50,1,2,-1,-0.86,-0.67,2.1,1.4,+0.7,+0.62,+0.95,Matches
540,Yordy Reyna\Yordy-Reyna,pe PER,FWMF,Vancouver,25,1993,25,1988,80,65.0,22.1,22,87,17,3,27,1,0.64,22,43,-21,-0.95,-0.87,20.7,41.5,-20.8,-0.94,-0.51,Matches
541,Andre Reynolds II\Andre-Reynolds-II,us USA,DF,Chicago,17,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
542,Bryan Reynolds\Bryan-Reynolds,us USA,FWDF,FC Dallas,17,2001,10,119,12,3.9,1.3,1,54,0,9,7,8,1.50,1,3,-2,-1.51,-1.82,2.1,3.1,-1.0,-0.78,-0.98,Matches
