Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Brenden Aaronson\Brenden-Aaronson,us USA,MF,Philadelphia,19,2000,23,1904,83,92.0,21.2,23,83,,0,,0,1.96,43,17,+26,+1.23,+2.31,33.4,22.6,+10.8,+0.51,+0.94,Matches
2,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,FC Cincinnati,28,1991,8,424,53,20.5,4.7,5,81,,3,7,4,1.13,2,9,-7,-1.49,-0.56,4.3,6.3,-2.0,-0.43,-0.09,Matches
3,Mohammed Abu\Mohammed-Abu,gh GHA,MF,D.C. United,28,1991,6,333,56,16.1,3.7,4,76,,2,16,4,1.00,1,3,-2,-0.54,+0.18,3.0,6.2,-3.1,-0.85,-0.23,Matches
4,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Colorado,25,1994,17,1514,89,93.5,16.8,17,89,,0,,1,1.56,31,22,+9,+0.54,+4.78,24.3,21.1,+3.2,+0.19,+0.45,Matches
5,David Accam\David-Accam,gh GHA,FWMF,Nashville,29,1990,7,207,30,10.0,2.3,2,62,,5,17,1,0.71,2,4,-2,-0.87,-1.06,2.3,1.8,+0.5,+0.23,+0.33,Matches
6,Nicolás Acevedo\Nicolas-Acevedo,uy URU,MF,NYCFC,20,1999,12,134,11,6.5,1.5,1,73,,11,6,9,2.07,3,1,+2,+1.34,+0.88,3.2,2.3,+0.9,+0.62,+0.21,Matches
7,Ifunanyachi Achara\Ifunanyachi-Achara,us USA,MF,Toronto FC,22,1997,1,89,89,4.3,1.0,1,89,,0,,0,3.00,1,0,+1,+1.01,+0.74,2.6,0.6,+2.0,+2.07,+1.68,Matches
8,Bryan Acosta\Bryan-Acosta,hn HON,MF,FC Dallas,26,1993,11,752,68,38.0,8.4,10,72,,1,34,0,1.27,7,8,-1,-0.12,-0.49,10.7,8.2,+2.5,+0.30,+0.39,Matches
9,Kellyn Acosta\Kellyn-Acosta,us USA,MF,Colorado,24,1995,15,1146,76,70.7,12.7,14,80,,1,33,1,1.56,20,18,+2,+0.16,-0.22,18.7,14.8,+4.0,+0.31,+0.51,Matches
10,Mo Adams\Mo-Adams,eng ENG,MF,Atlanta,23,1996,13,779,60,37.6,8.7,9,76,,4,24,4,0.85,10,12,-2,-0.23,+0.12,7.8,9.6,-1.9,-0.22,+0.17,Matches
