Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arsenal,2,38,38,3420,38.0,1.34,1.34,3.76,2.55,67.8,0.50,0.16,0.34,0.34,34.2,0.16,0.13,0.03,0.00,16.7
Bournemouth,1,38,38,3420,38.0,1.61,1.61,4.55,3.00,65.9,0.29,0.29,0.42,0.16,15.8,0.11,0.05,0.03,0.03,33.3
Brighton,1,38,38,3420,38.0,1.42,1.42,4.47,3.16,68.8,0.24,0.34,0.42,0.26,26.3,0.08,0.03,0.05,0.00,66.7
Burnley,2,38,38,3420,38.0,1.03,1.03,4.26,3.32,77.8,0.37,0.32,0.32,0.32,31.6,0.13,0.08,0.03,0.03,25.0
Chelsea,2,38,38,3420,38.0,1.00,1.00,3.00,2.11,68.4,0.55,0.18,0.26,0.42,42.1,0.05,0.05,0.00,0.00,0.0
Crystal Palace,2,38,38,3420,38.0,1.45,1.45,4.42,3.08,68.5,0.29,0.29,0.42,0.24,23.7,0.05,0.05,0.00,0.00,0.0
Everton,1,38,38,3420,38.0,1.53,1.53,4.63,3.18,68.8,0.34,0.26,0.39,0.26,26.3,0.13,0.08,0.03,0.03,25.0
Huddersfield,1,38,38,3420,38.0,1.50,1.50,4.05,2.66,65.6,0.24,0.26,0.50,0.26,26.3,0.16,0.11,0.05,0.00,33.3
Leicester City,3,38,38,3420,38.0,1.58,1.58,4.24,2.76,64.0,0.32,0.29,0.39,0.24,23.7,0.11,0.05,0.05,0.00,50.0
Liverpool,2,38,38,3420,38.0,1.00,1.00,2.61,1.71,65.7,0.55,0.32,0.13,0.45,44.7,0.16,0.11,0.05,0.00,33.3
Manchester City,2,38,38,3420,38.0,0.71,0.71,2.21,1.53,67.9,0.84,0.11,0.05,0.47,47.4,0.08,0.00,0.05,0.03,100.0
Manchester Utd,2,38,38,3420,38.0,0.74,0.74,3.79,3.13,81.3,0.66,0.16,0.18,0.50,50.0,0.03,0.03,0.00,0.00,0.0
Newcastle Utd,3,38,38,3420,38.0,1.24,1.24,3.74,2.66,69.7,0.32,0.21,0.47,0.24,23.7,0.16,0.11,0.05,0.00,33.3
Southampton,2,38,38,3420,38.0,1.47,1.47,4.21,2.76,65.6,0.18,0.39,0.42,0.21,21.1,0.05,0.03,0.03,0.00,50.0
Stoke City,2,38,38,3420,38.0,1.79,1.79,5.58,3.97,70.3,0.18,0.32,0.50,0.16,15.8,0.13,0.13,0.00,0.00,0.0
Swansea City,1,38,38,3420,38.0,1.47,1.47,5.03,3.68,72.3,0.21,0.24,0.55,0.24,23.7,0.18,0.08,0.08,0.03,50.0
Tottenham,3,38,38,3420,38.0,0.95,0.95,3.34,2.45,73.2,0.61,0.21,0.18,0.42,42.1,0.08,0.05,0.03,0.00,33.3
Watford,2,38,38,3420,38.0,1.68,1.68,3.95,2.45,61.3,0.29,0.21,0.50,0.24,23.7,0.16,0.16,0.00,0.00,0.0
West Brom,2,38,38,3420,38.0,1.47,1.47,4.08,2.66,64.5,0.16,0.34,0.50,0.26,26.3,0.03,0.03,0.00,0.00,0.0
West Ham,2,38,38,3420,38.0,1.79,1.79,4.82,3.18,65.6,0.26,0.32,0.42,0.26,26.3,0.16,0.13,0.03,0.00,16.7
