Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,2,38.0,1.34,0.13,0.00,0.24,0.00,1.36,0.33,0.02,+0.02,4.00,10.4,38.6,20.7,4.61,38.2,37.3,3.24,76.4,57.8,9.76,1.08,11.1,0.82,0.82,0.41
Bournemouth,1,38.0,1.61,0.05,0.05,0.21,0.00,1.44,0.32,-0.17,-0.17,4.68,13.8,34.0,18.2,4.50,50.1,41.9,5.21,88.9,62.8,11.4,0.89,7.8,0.29,0.29,0.35
Brighton,1,38.0,1.42,0.03,0.03,0.39,0.11,1.43,0.31,0.11,+0.11,7.92,19.8,40.0,18.3,2.39,71.3,49.1,6.95,97.0,65.4,10.9,0.63,5.8,0.29,0.29,0.33
Burnley,2,38.0,1.03,0.08,0.00,0.13,0.03,1.29,0.29,0.29,+0.29,8.37,24.5,34.2,22.7,2.84,79.6,58.6,6.84,94.6,74.1,12.4,1.42,11.4,0.53,0.53,0.39
Chelsea,2,38.0,1.00,0.05,0.00,0.03,0.05,0.91,0.30,-0.04,-0.04,3.92,11.1,35.5,24.2,4.39,34.2,36.0,4.24,65.8,56.7,8.97,1.05,11.7,0.53,0.53,0.41
Crystal Palace,2,38.0,1.45,0.05,0.03,0.29,0.05,1.32,0.29,-0.07,-0.07,6.61,18.1,36.5,17.4,2.37,71.2,53.0,5.97,96.0,72.1,11.8,0.87,7.4,0.50,0.50,0.36
Everton,1,38.0,1.53,0.08,0.00,0.18,0.00,1.52,0.31,-0.01,-0.01,7.50,21.9,34.2,23.3,3.39,67.4,53.7,6.76,92.6,74.0,10.9,0.79,7.3,0.74,0.74,0.40
Huddersfield,1,38.0,1.50,0.11,0.00,0.16,0.03,1.48,0.34,-0.02,-0.02,8.58,20.9,41.1,25.2,2.08,62.6,48.8,5.71,89.9,67.4,9.03,0.71,7.9,1.13,1.13,0.46
Leicester City,3,38.0,1.58,0.05,0.08,0.26,0.05,1.29,0.30,-0.24,-0.24,7.42,19.9,37.4,21.8,2.61,64.9,49.5,5.97,96.0,71.7,10.1,0.87,8.6,0.84,0.84,0.42
Liverpool,2,38.0,1.00,0.11,0.00,0.16,0.00,0.95,0.32,-0.05,-0.05,3.13,10.4,30.1,24.7,4.47,35.3,35.0,2.95,56.3,48.6,8.13,0.71,8.7,0.66,0.66,0.41
Manchester City,2,38.0,0.71,0.00,0.03,0.03,0.03,0.63,0.28,-0.05,-0.05,3.00,5.63,53.3,23.7,3.50,18.2,27.8,2.08,63.3,54.6,5.05,0.66,13.0,1.32,1.32,0.50
Manchester Utd,2,38.0,0.74,0.03,0.03,0.13,0.05,0.92,0.24,0.24,+0.24,5.34,13.8,38.7,17.8,2.66,52.6,43.0,5.26,84.5,62.6,9.34,0.63,6.8,0.45,0.45,0.36
Newcastle Utd,3,38.0,1.24,0.11,0.00,0.08,0.08,1.31,0.32,0.15,+0.15,6.34,18.1,35.0,20.1,2.37,62.3,47.2,6.32,88.3,63.4,11.2,1.24,11.1,0.63,0.63,0.38
Southampton,2,38.0,1.47,0.03,0.03,0.18,0.03,1.32,0.31,-0.13,-0.13,4.45,15.1,29.5,14.8,2.39,64.9,50.0,5.92,92.4,67.4,10.4,0.95,9.1,0.29,0.29,0.34
Stoke City,2,38.0,1.79,0.13,0.00,0.29,0.05,1.63,0.28,-0.11,-0.11,8.76,22.2,39.5,22.4,2.18,73.7,53.8,6.08,93.1,69.3,12.0,0.95,7.9,0.74,0.74,0.40
Swansea City,1,38.0,1.47,0.08,0.03,0.18,0.05,1.54,0.29,0.12,+0.12,6.61,17.4,37.9,20.6,2.68,56.8,46.3,6.21,92.4,67.2,11.7,1.08,9.2,0.37,0.37,0.36
Tottenham,3,38.0,0.95,0.05,0.03,0.21,0.03,0.97,0.28,0.05,+0.05,3.97,9.29,42.8,22.9,4.03,31.8,34.7,3.50,57.1,47.8,8.66,0.74,8.5,0.92,0.92,0.44
Watford,2,38.0,1.68,0.16,0.03,0.16,0.03,1.47,0.34,-0.19,-0.19,6.55,17.2,38.1,19.5,2.89,69.1,50.2,4.08,91.6,66.4,10.3,1.00,9.7,0.50,0.50,0.39
West Brom,2,38.0,1.47,0.03,0.08,0.18,0.03,1.35,0.33,-0.10,-0.10,7.18,19.0,37.8,17.9,1.34,75.3,53.8,5.74,96.8,71.8,12.6,0.79,6.3,0.39,0.39,0.37
West Ham,2,38.0,1.79,0.13,0.03,0.29,0.03,1.63,0.32,-0.13,-0.13,7.00,19.5,35.9,18.3,1.82,75.3,53.7,5.89,97.3,68.8,11.1,0.82,7.3,0.66,0.66,0.38
