Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
299,Erik Hurtado\Erik-Hurtado,us USA,FW,Sporting KC,29,1990,15,381,25,20.2,4.2,0.71,76,,2.86,13,1.19,1.71,1.90,1.19,0.71,+0.71,+0.11,1.57,1.43,0.14,+0.14,-0.26,Matches
300,Emerson Hyndman\Emerson-Hyndman,us USA,MF,Atlanta,23,1996,20,1381,69,66.7,15.3,1.05,80,,0.26,25,0.13,1.10,0.98,0.98,0.00,0.00,+0.91,0.98,1.15,-0.17,-0.17,+0.45,Matches
301,Miguel Ibarra\Miguel-Ibarra,us USA,FW,Seattle,29,1990,12,253,21,12.8,2.8,1.07,62,,3.21,7,2.14,1.33,0.71,1.79,-1.07,-1.07,-2.32,2.21,1.04,1.18,+1.17,+0.26,Matches
302,Sebastien Ibeagha\Sebastien-Ibeagha,us USA,DF,NYCFC,28,1992,7,284,41,13.7,3.2,0.63,90,,1.56,21,2.50,1.75,2.19,1.25,0.94,+0.95,+0.50,1.47,1.28,0.19,+0.19,-0.27,Matches
303,Milan Iloski\Milan-Iloski,us USA,FW,Real Salt Lake,20,1999,1,1,1,0.1,0.0,0,,,1,1,14,3.00,0,0,0,0.00,+0.45,0.0,0.0,0.0,0.00,+0.11,Matches
304,Ilsinho\Ilsinho,br BRA,FWMF,Philadelphia,34,1985,22,638,29,30.8,7.1,0.28,64,,2.82,26,0.00,1.92,2.11,1.13,0.99,+0.99,-0.08,1.38,1.37,0.01,+0.02,-0.60,Matches
305,Hwang In-beom\Hwang-In-beom,kr KOR,MF,Vancouver,23,1996,5,450,90,21.7,5.0,1.00,90,,0.00,,0.00,1.00,1.40,2.00,-0.60,-0.60,+0.18,1.20,1.68,-0.50,-0.50,+0.15,Matches
306,Emiliano Insúa\Emiliano-Insua,ar ARG,DF,LA Galaxy,31,1989,22,1884,86,95.2,20.9,1.05,86,,0.00,,0.00,1.00,1.15,2.06,-0.91,-0.91,-0.91,1.15,1.63,-0.47,-0.47,-1.44,Matches
307,Clint Irwin\Clint-Irwin,us USA,GK,Colorado,30,1989,4,360,90,22.2,4.0,1.00,90,,0.00,,3.00,1.50,1.25,2.00,-0.75,-0.75,-1.25,1.35,1.23,0.13,+0.12,-0.05,Matches
308,Aljaž Ivačič\Aljaz-Ivacic,si SVN,GK,Portland,26,1993,2,180,90,8.7,2.0,1.00,90,,0.00,,8.00,1.50,3.50,1.50,2.00,+2.00,+1.67,2.15,1.40,0.75,+0.75,+1.00,Matches
309,Anthony Jackson-Hamel\Anthony-Jackson-Hamel,ca CAN,FWDF,Montreal,26,1993,7,196,28,9.5,2.2,0.91,64,,2.27,14,2.27,1.11,0.91,1.36,-0.45,-0.46,-0.03,1.64,1.77,-0.18,-0.17,+0.34,Matches
310,Adam Jahn\Adam-Jahn,us USA,FW,Atlanta,29,1991,21,1069,51,51.6,11.9,1.09,68,,0.67,24,0.17,1.00,1.26,1.43,-0.17,-0.17,+0.28,1.01,1.34,-0.33,-0.33,-0.02,Matches
