Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
22,Fatai Alashe\Fatai-Alashe,us USA,MF,FC Cincinnati,26,1993,0.3,36.7,3.33,20.0,10.0,6.67,0.00,36.7,0.00,0.00,,0.00,0.00,23.3,20.0,3.33,0.00,0.00,0.00,6.67,0.00,26.7,23.3,87.5,0.00,Matches
23,Ignacio Aliseda\Ignacio-Aliseda,ar ARG,FWMF,Chicago,19,2000,15.5,35.9,0.39,4.32,18.8,17.7,3.29,35.7,2.90,4.32,67.2,3.23,0.06,31.5,216.1,114.5,5.55,2.90,0.71,2.45,1.61,36.1,26.9,74.5,7.74,Matches
24,Osvaldo Alonso\Osvaldo-Alonso,cu CUB,MF,Minnesota,34,1985,8.3,67.8,5.90,20.5,40.7,11.6,0.48,65.5,0.72,1.33,54.5,0.84,0.12,47.0,271.0,140.5,3.98,1.33,0.12,0.60,0.60,49.5,47.8,96.6,0.72,Matches
25,Jozy Altidore\Jozy-Altidore,us USA,FWMF,Toronto FC,30,1989,8.3,39.8,0.36,0.84,18.3,21.7,5.78,38.8,0.48,1.45,33.3,0.60,0.00,23.5,60.8,22.4,1.69,0.24,0.36,2.05,1.08,50.1,34.5,68.8,11.1,Matches
26,Alexander Alvarado\Alexander-Alvarado,ec ECU,FWMF,Orlando City,20,1999,0.3,66.7,6.67,26.7,13.3,33.3,6.67,66.7,0.00,6.67,0.0,0.00,0.00,43.3,140.0,93.3,10.0,0.00,3.33,3.33,6.67,40.0,40.0,100.0,10.0,Matches
27,Efrain Alvarez\Efrain-Alvarez,mx MEX,FWMF,LA Galaxy,17,2002,8.0,58.3,0.50,6.25,28.9,26.0,4.25,51.8,1.75,3.00,58.3,1.75,0.13,39.1,159.8,89.5,5.25,1.13,0.75,2.00,2.00,46.0,40.1,87.2,4.88,Matches
28,Luis Amarilla\Luis-Amarilla,py PAR,FW,Minnesota,24,1995,4.7,38.9,0.21,1.91,18.1,21.1,4.89,37.4,0.64,1.49,42.9,0.64,0.00,24.5,100.9,38.7,2.13,0.85,0.43,3.40,1.91,48.9,31.1,63.5,12.6,Matches
29,Frankie Amaya\Frankie-Amaya,us USA,MF,FC Cincinnati,19,2000,19.3,59.8,2.12,20.2,35.1,9.17,0.78,58.0,1.04,1.55,66.7,1.19,0.00,42.1,218.5,118.8,5.03,1.35,0.21,1.50,0.83,46.6,43.3,92.9,1.71,Matches
30,Mikey Ambrose\Mikey-Ambrose,us USA,DF,Miami,26,1993,3.4,46.5,2.06,15.6,20.9,12.6,0.88,37.9,0.59,1.18,50.0,0.88,0.00,25.9,118.2,62.6,2.94,1.18,0.00,0.00,0.00,26.5,24.1,91.1,0.59,Matches
31,José Andrés Martínez\Jose-Andres-Martinez,ve VEN,MF,Philadelphia,25,1994,12.7,61.3,3.78,20.3,36.3,9.29,0.24,60.9,2.20,2.76,80.0,2.28,0.24,39.8,190.6,85.0,3.46,1.26,0.08,0.87,1.10,38.0,36.0,94.8,0.87,Matches
32,Jalil Anibaba\Jalil-Anibaba,us USA,DF,Nashville,31,1988,6.5,47.2,4.00,18.9,24.9,6.15,0.92,39.7,0.00,0.15,0.0,0.00,0.00,21.7,112.9,60.6,2.00,1.23,0.00,0.15,0.15,26.0,24.8,95.3,0.15,Matches
33,Brian Anunga\Brian-Anunga,cm CMR,MF,Nashville,23,1996,8.7,53.3,1.49,13.4,33.8,8.97,0.11,53.3,1.26,1.61,78.6,1.26,0.00,35.9,165.9,61.6,1.95,0.80,0.11,0.46,1.38,38.4,34.5,89.8,2.07,Matches
34,Julian Araujo\Julian-Araujo,us USA,DFFW,LA Galaxy,18,2001,14.3,54.5,3.08,14.6,22.4,20.8,2.24,49.3,1.19,1.96,60.7,1.54,0.07,32.7,139.4,83.9,3.71,1.40,0.42,1.40,1.47,36.6,30.3,82.8,4.06,Matches
35,Luis Argudo\Luis-Argudo,us USA,MF,Miami,24,1995,0.1,150.0,0.00,0.00,50.0,110.0,10.0,150.0,30.0,30.0,100.0,30.0,0.00,150.0,320.0,130.0,0.00,10.0,0.00,10.0,10.0,130.0,120.0,92.3,20.0,Matches
36,Daniel Armando Ríos\Daniel-Armando-Rios,mx MEX,FW,Nashville,24,1995,7.8,33.6,0.13,1.28,15.6,18.3,5.64,32.4,0.64,1.28,50.0,0.77,0.00,22.3,111.2,42.4,2.44,0.90,0.64,2.31,2.18,42.3,26.3,62.1,10.9,Matches
37,Xavier Arreaga\Xavier-Arreaga,ec ECU,DF,Seattle,25,1994,12.7,65.9,7.48,36.9,32.7,1.10,0.16,64.9,0.39,0.47,83.3,0.39,0.00,49.1,231.5,132.9,2.44,0.63,0.00,0.16,0.16,47.9,47.4,99.0,0.08,Matches
38,Paul Arriola\Paul-Arriola,us USA,MF,D.C. United,24,1995,0.2,130.0,15.0,40.0,65.0,45.0,15.0,120.0,5.00,15.0,33.3,10.0,0.00,90.0,575.0,475.0,10.0,5.00,5.00,0.00,0.00,105.0,90.0,85.7,5.00,Matches
39,Artur\Artur,br BRA,MF,Columbus,23,1996,20.3,69.1,2.61,17.7,44.2,11.0,1.18,67.5,0.64,1.13,56.5,0.69,0.00,47.8,211.7,95.0,3.15,0.99,0.15,0.79,0.64,53.3,50.7,95.1,1.97,Matches
