Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
22,Fatai Alashe\Fatai-Alashe,us USA,MF,FC Cincinnati,26,1993,0.3,6.67,3.33,6.67,0.00,0.00,3.33,3.33,100.0,0.00,43.3,13.3,30.8,16.7,20.0,6.67,0.00,0.00,0.00,0.00,0.00,6.67,3.33,0.00,Matches
23,Ignacio Aliseda\Ignacio-Aliseda,ar ARG,FWMF,Chicago,19,2000,15.5,0.90,0.71,0.13,0.52,0.26,0.32,0.84,38.5,0.52,16.8,5.03,29.9,2.71,8.52,5.61,0.65,0.00,0.00,0.65,0.19,1.10,0.19,0.00,Matches
24,Osvaldo Alonso\Osvaldo-Alonso,cu CUB,MF,Minnesota,34,1985,8.3,2.29,1.81,0.72,1.33,0.24,0.96,2.29,42.1,1.33,11.3,3.86,34.0,5.66,4.58,1.08,1.45,0.48,0.00,0.96,0.96,3.25,1.45,0.00,Matches
25,Jozy Altidore\Jozy-Altidore,us USA,FWMF,Toronto FC,30,1989,8.3,0.72,0.48,0.00,0.60,0.12,0.12,0.48,25.0,0.36,6.27,2.17,34.6,0.60,3.01,2.65,0.60,0.24,0.00,0.36,0.12,0.84,0.12,0.00,Matches
26,Alexander Alvarado\Alexander-Alvarado,ec ECU,FWMF,Orlando City,20,1999,0.3,3.33,3.33,3.33,0.00,0.00,3.33,13.3,25.0,10.0,40.0,6.67,16.7,26.7,6.67,6.67,6.67,0.00,0.00,6.67,0.00,3.33,6.67,0.00,Matches
27,Efrain Alvarez\Efrain-Alvarez,mx MEX,FWMF,LA Galaxy,17,2002,8.0,1.63,0.75,0.25,1.13,0.25,0.38,1.88,20.0,1.50,18.3,3.75,20.5,3.75,8.75,5.75,1.13,0.00,0.00,1.13,0.63,2.25,0.25,0.00,Matches
28,Luis Amarilla\Luis-Amarilla,py PAR,FW,Minnesota,24,1995,4.7,0.43,0.43,0.00,0.43,0.00,0.00,1.06,0.0,1.06,14.9,2.98,20.0,0.85,7.87,6.17,1.28,0.00,0.00,1.28,0.00,0.43,0.21,0.00,Matches
29,Frankie Amaya\Frankie-Amaya,us USA,MF,FC Cincinnati,19,2000,19.3,3.26,2.28,1.71,1.24,0.31,0.83,2.69,30.8,1.87,25.3,7.98,31.5,11.3,10.6,3.47,2.02,0.31,0.00,1.71,0.88,4.15,0.93,0.00,Matches
30,Mikey Ambrose\Mikey-Ambrose,us USA,DF,Miami,26,1993,3.4,1.18,0.59,0.88,0.29,0.00,1.18,2.06,57.1,0.88,8.24,2.06,25.0,3.82,3.53,0.88,0.59,0.00,0.00,0.59,0.29,1.47,2.65,0.00,Matches
31,José Andrés Martínez\Jose-Andres-Martinez,ve VEN,MF,Philadelphia,25,1994,12.7,3.15,2.60,1.97,1.10,0.08,0.94,2.99,31.6,2.05,21.8,6.54,30.0,10.2,10.5,1.18,2.20,0.63,0.08,1.57,0.94,4.09,1.97,0.00,Matches
32,Jalil Anibaba\Jalil-Anibaba,us USA,DF,Nashville,31,1988,6.5,1.38,1.08,0.62,0.77,0.00,0.46,0.77,60.0,0.31,10.0,3.23,32.3,5.54,4.00,0.46,2.15,0.62,0.00,1.54,0.31,1.69,3.69,0.00,Matches
33,Brian Anunga\Brian-Anunga,cm CMR,MF,Nashville,23,1996,8.7,2.41,1.84,1.61,0.69,0.11,0.46,1.26,36.4,0.80,20.8,6.78,32.6,8.62,10.5,1.72,1.72,0.11,0.00,1.61,1.03,3.45,1.15,0.00,Matches
34,Julian Araujo\Julian-Araujo,us USA,DFFW,LA Galaxy,18,2001,14.3,2.94,1.40,1.54,0.77,0.63,0.70,2.17,32.3,1.47,18.3,4.90,26.8,6.78,6.78,4.69,2.59,0.28,0.07,2.31,1.33,4.27,2.10,0.00,Matches
35,Luis Argudo\Luis-Argudo,us USA,MF,Miami,24,1995,0.1,10.0,0.00,0.00,0.00,10.0,0.00,0.00,,0.00,40.0,0.00,0.0,20.0,0.00,20.0,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,Matches
36,Daniel Armando Ríos\Daniel-Armando-Rios,mx MEX,FW,Nashville,24,1995,7.8,0.51,0.38,0.00,0.26,0.26,0.00,0.26,0.0,0.26,16.5,4.62,27.9,0.38,8.08,8.08,0.51,0.00,0.00,0.51,0.00,0.51,0.13,0.00,Matches
37,Xavier Arreaga\Xavier-Arreaga,ec ECU,DF,Seattle,25,1994,12.7,2.13,0.94,1.50,0.55,0.08,0.71,1.73,40.9,1.02,9.21,3.07,33.3,6.54,2.60,0.08,1.34,0.24,0.00,1.10,0.71,2.83,3.78,0.00,Matches
38,Paul Arriola\Paul-Arriola,us USA,MF,D.C. United,24,1995,0.2,5.00,5.00,0.00,5.00,0.00,0.00,0.00,,0.00,10.0,5.00,50.0,0.00,5.00,5.00,5.00,0.00,0.00,5.00,0.00,5.00,10.0,0.00,Matches
39,Artur\Artur,br BRA,MF,Columbus,23,1996,20.3,3.74,2.51,1.63,1.72,0.39,0.94,2.41,38.8,1.48,20.0,5.91,29.6,7.83,9.61,2.51,1.28,0.25,0.00,1.03,0.74,4.48,1.28,0.00,Matches
40,Yamil Asad\Yamil-Asad,ar ARG,MFFW,D.C. United,25,1994,17.5,2.51,1.60,1.60,0.69,0.23,0.74,2.63,28.3,1.89,18.4,5.66,30.7,7.43,7.20,3.77,2.11,0.34,0.00,1.77,0.63,3.14,0.34,0.00,Matches
41,Dairon Asprilla\Dairon-Asprilla,co COL,FW,Portland,27,1992,0.5,6.00,4.00,0.00,2.00,4.00,2.00,2.00,100.0,0.00,18.0,6.00,33.3,6.00,6.00,6.00,6.00,0.00,0.00,6.00,0.00,6.00,6.00,0.00,Matches
42,Joshua Atencio\Joshua-Atencio,us USA,MF,Seattle,18,2002,0.2,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.0,5.00,70.0,10.0,14.3,25.0,45.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,Matches
43,Jeff Attinella\Jeff-Attinella,us USA,GK,Portland,31,1988,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
44,Eduard Atuesta\Eduard-Atuesta,co COL,MF,Los Angeles FC,22,1997,14.7,2.93,2.04,1.29,1.09,0.54,0.82,2.99,27.3,2.18,16.9,6.46,38.2,4.49,8.50,3.95,2.45,0.20,0.00,2.24,1.09,4.01,1.36,0.00,Matches
45,Auro\Auro,br BRA,DF,Toronto FC,24,1996,16.6,2.05,1.14,0.96,0.96,0.12,0.60,1.51,40.0,0.90,10.2,2.95,29.0,4.04,4.34,1.81,1.69,0.00,0.00,1.69,0.84,2.89,2.05,0.00,Matches
46,Micheal Azira\Micheal-Azira,ug UGA,MF,Chicago,32,1987,1.4,2.14,1.43,1.43,0.71,0.00,0.71,1.43,50.0,0.71,16.4,3.57,21.7,6.43,8.57,1.43,0.71,0.00,0.00,0.71,1.43,3.57,2.14,0.00,Matches
47,Dominique Badji\Dominique-Badji,sn SEN,FW,Nashville,27,1992,8.3,0.84,0.72,0.12,0.60,0.12,0.24,0.48,50.0,0.24,13.4,3.98,29.7,0.72,5.18,7.47,0.48,0.24,0.00,0.24,0.12,0.96,0.60,0.00,Matches
48,Zico Bailey\Zico-Bailey,us USA,DF,FC Cincinnati,19,2000,3.3,2.73,1.82,1.82,0.30,0.61,0.61,1.52,40.0,0.91,17.0,4.85,28.6,9.39,5.15,2.42,2.42,0.91,0.00,1.52,2.42,5.15,1.82,0.00,Matches
49,Theo Bair\Theo-Bair,ca CAN,FWMF,Vancouver,20,1999,4.9,0.82,0.82,0.20,0.20,0.41,0.00,0.61,0.0,0.61,14.7,2.86,19.4,2.86,7.55,4.29,0.41,0.20,0.00,0.20,0.20,1.02,1.22,0.00,Matches
50,Corey Baird\Corey-Baird,us USA,FWMF,Real Salt Lake,24,1996,17.0,1.35,1.00,0.47,0.59,0.29,0.41,1.65,25.0,1.24,15.2,4.65,30.5,3.18,6.06,6.00,1.53,0.06,0.00,1.47,0.35,1.71,0.47,0.00,Matches
51,Michael Baldisimo\Michael-Baldisimo,ca CAN,MF,Vancouver,19,2000,7.8,2.56,1.79,1.67,0.77,0.13,1.28,2.05,62.5,0.77,18.1,5.00,27.7,8.72,8.59,0.77,1.79,0.13,0.00,1.67,0.64,3.21,1.28,0.00,Matches
52,Ezequiel Barco\Ezequiel-Barco,ar ARG,FWMF,Atlanta,20,1999,11.5,0.87,0.52,0.61,0.26,0.00,0.43,1.13,38.5,0.70,9.91,2.43,24.6,1.65,4.96,3.30,1.04,0.00,0.00,1.04,0.00,0.87,0.17,0.00,Matches
53,Tom Barlow\Tom-Barlow,us USA,FW,NY Red Bulls,24,1995,10.8,0.93,0.74,0.28,0.37,0.28,0.00,0.93,0.0,0.93,20.1,6.48,32.3,1.85,6.85,11.4,0.56,0.19,0.00,0.37,0.00,0.93,0.37,0.00,Matches
54,Álvaro Barreal\Alvaro-Barreal,ar ARG,FW,FC Cincinnati,19,2000,3.6,2.78,2.22,1.11,0.83,0.83,0.83,2.78,30.0,1.94,29.4,7.50,25.5,9.44,13.3,6.67,2.22,0.00,0.00,2.22,0.83,3.61,0.56,0.00,Matches
55,Michael Barrios\Michael-Barrios,co COL,FW,FC Dallas,28,1991,18.6,1.29,0.91,0.43,0.54,0.32,0.22,1.29,16.7,1.08,13.0,3.01,23.1,3.17,4.46,5.38,1.29,0.16,0.00,1.13,0.54,1.83,0.32,0.05,Matches
56,Cole Bassett\Cole-Bassett,us USA,MF,Colorado,18,2001,10.9,1.19,0.83,0.46,0.37,0.37,0.64,1.19,53.8,0.55,18.8,5.14,27.3,3.49,10.1,5.23,0.92,0.18,0.00,0.73,0.28,1.47,1.01,0.00,Matches
57,Clement Bayiha\Clement-Bayiha,ca CAN,DF,Montreal,20,1999,0.8,2.50,0.00,1.25,0.00,1.25,0.00,0.00,,0.00,13.8,2.50,18.2,2.50,7.50,3.75,1.25,0.00,0.00,1.25,1.25,3.75,2.50,0.00,Matches
58,Tanner Beason\Tanner-Beason,us USA,DF,San Jose,22,1997,9.0,2.33,1.11,1.67,0.67,0.00,1.22,2.11,57.9,0.89,10.1,3.56,35.2,6.11,3.89,0.11,3.11,1.44,0.00,1.67,1.22,3.56,4.67,0.22,Matches
59,Brayan Beckeles\Brayan-Beckeles,hn HON,DF,Nashville,34,1985,0.8,1.25,0.00,0.00,1.25,0.00,0.00,2.50,0.0,2.50,17.5,2.50,14.3,11.3,5.00,1.25,0.00,0.00,0.00,0.00,0.00,1.25,6.25,0.00,Matches
60,Kyle Beckerman\Kyle-Beckerman,us USA,MF,Real Salt Lake,37,1982,4.3,1.16,0.70,0.47,0.70,0.00,0.23,1.86,12.5,1.63,17.4,4.42,25.3,7.21,7.44,2.79,1.63,0.00,0.00,1.63,0.47,1.63,1.40,0.00,Matches
61,Alejandro Bedoya\Alejandro-Bedoya,us USA,MF,Philadelphia,32,1987,20.3,2.17,1.23,0.79,0.84,0.54,0.54,1.48,36.7,0.94,13.0,4.14,31.8,4.33,5.57,3.10,2.12,0.49,0.00,1.63,0.94,3.10,1.28,0.00,Matches
62,George Bello\George-Bello,us USA,DF,Atlanta,18,2002,18.3,2.62,1.64,1.80,0.66,0.16,0.60,1.15,52.4,0.55,13.3,4.70,35.4,7.43,4.21,1.64,1.42,0.27,0.05,1.15,0.44,3.06,1.37,0.00,Matches
63,Jordan Bender\Jordan-Bender,us USA,MF,Orlando City,18,2001,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,30.0,8.00,26.7,4.00,14.0,12.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
64,Joe Bendik\Joe-Bendik,us USA,GK,Philadelphia,30,1989,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
65,Nicolas Benezet\Nicolas-Benezet,fr FRA,FWMF,Colorado,28,1991,5.5,2.00,1.27,0.36,0.73,0.91,0.55,2.18,25.0,1.64,13.6,2.91,21.3,4.18,5.64,3.82,0.55,0.18,0.00,0.36,0.73,2.73,0.18,0.00,Matches
66,Sebastian Berhalter\Sebastian-Berhalter,us USA,MF,Columbus,18,2001,4.4,2.05,0.91,0.45,1.59,0.00,0.23,1.59,14.3,1.36,20.2,6.36,31.5,5.91,12.5,1.82,1.82,0.00,0.00,1.82,0.68,2.73,1.82,0.00,Matches
67,Robert Berić\Robert-Beric,si SVN,FW,Chicago,28,1991,21.4,0.75,0.65,0.14,0.37,0.23,0.23,0.75,31.3,0.51,15.4,4.49,29.1,0.84,5.89,8.69,1.31,0.33,0.00,0.98,0.09,0.84,0.19,0.00,Matches
68,Matt Besler\Matt-Besler,us USA,DF,Sporting KC,32,1987,9.0,1.44,1.11,0.89,0.56,0.00,0.78,1.22,63.6,0.44,7.89,2.89,36.6,3.78,3.67,0.44,1.22,0.67,0.00,0.56,0.56,2.00,5.44,0.00,Matches
69,Nick Besler\Nick-Besler,us USA,MFDF,Real Salt Lake,26,1993,6.3,1.75,1.11,0.63,0.95,0.16,0.32,1.59,20.0,1.27,19.5,5.56,28.5,7.94,8.73,2.86,1.75,0.48,0.00,1.27,1.11,2.86,2.22,0.00,Matches
70,Janio Bikel\Janio-Bikel,pt POR,MFDF,Vancouver,24,1995,10.5,3.33,2.10,2.10,1.14,0.10,0.86,1.62,52.9,0.76,17.6,5.81,33.0,8.10,7.81,1.71,1.81,0.48,0.00,1.33,0.38,3.71,1.71,0.10,Matches
71,Noah Billingsley\Noah-Billingsley,nz NZL,DF,Minnesota,22,1997,0.1,10.0,0.00,0.00,10.0,0.00,0.00,0.00,,0.00,30.0,10.0,33.3,20.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,10.0,30.0,0.00,Matches
72,David Bingham\David-Bingham,us USA,GK,LA Galaxy,30,1989,18.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.22,0.00,0.0,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
73,Luis Binks\Luis-Binks,eng ENG,DF,Montreal,18,2001,19.6,1.28,0.66,1.02,0.26,0.00,0.31,0.97,31.6,0.66,9.03,3.37,37.3,5.82,3.11,0.10,2.14,0.77,0.00,1.38,0.97,2.24,5.51,0.10,Matches
74,Steve Birnbaum\Steve-Birnbaum,us USA,DF,D.C. United,29,1991,10.0,0.50,0.20,0.30,0.10,0.10,0.20,0.70,28.6,0.50,5.50,1.50,27.3,3.60,1.50,0.40,1.20,0.70,0.00,0.50,0.90,1.40,6.00,0.00,Matches
75,José Bizama\Jose-Bizama,cl CHI,DF,Houston,25,1994,6.3,1.75,0.63,1.43,0.16,0.16,0.63,1.75,36.4,1.11,10.8,2.86,26.5,5.40,3.65,1.75,2.70,0.63,0.00,2.06,0.48,2.22,3.33,0.00,Matches
76,Tristan Blackmon\Tristan-Blackmon,us USA,DF,Los Angeles FC,23,1996,10.9,2.11,1.10,1.01,1.01,0.09,0.92,1.56,58.8,0.64,10.1,3.67,36.4,4.31,4.13,1.65,1.65,0.28,0.00,1.38,0.92,3.03,4.50,0.00,Matches
77,Andre Blake\Andre-Blake,jm JAM,GK,Philadelphia,29,1990,21.0,0.05,0.05,0.00,0.05,0.00,0.05,0.05,100.0,0.00,0.24,0.05,20.0,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,Matches
78,Sebastián Blanco\Sebastian-Blanco,ar ARG,FWMF,Portland,31,1988,7.4,1.22,0.68,0.68,0.14,0.41,0.68,2.30,29.4,1.62,11.6,3.51,30.2,2.70,5.41,3.51,1.62,0.00,0.00,1.62,0.41,1.62,0.54,0.14,Matches
79,Latif Blessing\Latif-Blessing,gh GHA,MFDF,Los Angeles FC,23,1996,19.1,2.98,1.78,1.36,1.20,0.42,0.79,2.46,31.9,1.68,23.0,8.74,38.0,7.54,10.8,4.66,1.99,0.37,0.00,1.62,0.79,3.77,1.52,0.10,Matches
80,Emmanuel Boateng\Emmanuel-Boateng,gh GHA,FWMF,Columbus,26,1994,3.6,1.11,0.28,1.11,0.00,0.00,0.56,0.56,100.0,0.00,10.6,4.44,42.1,3.33,3.33,3.89,2.50,0.56,0.00,1.94,1.11,2.22,0.56,0.00,Matches
81,Pablo Bonilla\Pablo-Bonilla,ve VEN,DF,Portland,20,1999,9.8,2.14,1.33,1.22,0.82,0.10,0.92,2.04,45.0,1.12,13.8,3.37,24.4,7.04,5.00,1.73,2.45,0.20,0.00,2.24,0.10,2.24,3.98,0.00,Matches
82,Alex Bono\Alex-Bono,us USA,GK,Toronto FC,25,1994,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.33,0.33,100.0,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
83,Jonathan Bornstein\Jonathan-Bornstein,us USA,DF,Chicago,35,1984,12.7,3.23,1.50,2.05,0.87,0.31,1.26,2.28,55.2,1.02,13.9,4.65,33.5,7.40,5.20,1.26,1.65,0.16,0.00,1.50,1.18,4.41,3.62,0.00,Matches
84,Gustavo Bou\Gustavo-Bou,ar ARG,MFFW,New England,29,1990,14.8,0.54,0.41,0.00,0.34,0.20,0.20,0.81,25.0,0.61,13.2,3.85,29.1,1.08,5.88,6.28,1.49,0.00,0.00,1.49,0.74,1.28,0.00,0.00,Matches
85,Michael Boxall\Michael-Boxall,nz NZL,DF,Minnesota,31,1988,19.0,2.11,1.21,1.58,0.53,0.00,0.53,1.21,43.5,0.68,11.8,4.42,37.3,7.89,3.63,0.32,2.00,1.11,0.05,0.89,0.74,2.84,5.63,0.00,Matches
86,Michael Bradley\Michael-Bradley,us USA,MF,Toronto FC,32,1987,11.8,1.86,1.44,0.85,0.93,0.08,0.93,2.20,42.3,1.27,11.8,4.58,38.8,4.32,6.61,0.85,1.53,0.25,0.00,1.27,0.17,2.03,1.36,0.00,Matches
87,Zachary Brault-Guillard\Zachary-Brault-Guillard,ca CAN,DF,Montreal,21,1998,19.9,1.81,0.90,1.06,0.50,0.25,0.45,1.31,34.6,0.85,10.6,2.96,28.0,4.72,3.72,2.16,0.75,0.35,0.05,0.40,0.75,2.56,1.76,0.00,Matches
88,Bressan\Bressan,br BRA,DF,FC Dallas,27,1993,13.0,2.08,1.23,1.38,0.69,0.00,0.92,1.54,60.0,0.62,8.23,2.54,30.8,5.08,2.69,0.46,2.00,0.92,0.00,1.08,0.46,2.54,5.23,0.00,Matches
89,Frédéric Brillant\Frederic-Brillant,fr FRA,DF,D.C. United,34,1985,18.7,1.87,0.75,1.60,0.21,0.05,0.91,2.09,43.6,1.18,10.9,2.73,25.0,7.75,2.94,0.21,2.62,1.34,0.00,1.28,0.48,2.35,5.88,0.05,Matches
90,Brandt Bronico\Brandt-Bronico,us USA,DFMF,Chicago,24,1995,3.1,1.61,1.29,0.97,0.65,0.00,0.32,1.61,20.0,1.29,23.9,6.77,28.4,11.6,10.3,1.94,1.94,0.65,0.00,1.29,1.61,3.23,2.90,0.00,Matches
91,Will Bruin\Will-Bruin,us USA,FWMF,Seattle,30,1989,6.3,0.63,0.63,0.00,0.32,0.32,0.16,0.48,33.3,0.32,14.0,4.13,29.5,0.63,4.92,8.41,0.48,0.00,0.00,0.48,0.16,0.79,0.32,0.00,Matches
92,Tajon Buchanan\Tajon-Buchanan,ca CAN,FWDF,New England,20,1999,12.1,2.73,1.90,0.66,1.49,0.58,0.50,1.24,40.0,0.74,18.1,5.12,28.3,4.38,7.60,6.12,2.15,0.17,0.00,1.98,0.41,3.14,0.91,0.00,Matches
93,Adam Buksa\Adam-Buksa,pl POL,FW,New England,23,1996,16.7,0.78,0.54,0.18,0.36,0.24,0.18,1.02,17.6,0.84,16.5,4.79,29.0,0.54,6.95,9.04,1.20,0.00,0.00,1.20,0.06,0.84,0.90,0.00,Matches
94,Teal Bunbury\Teal-Bunbury,us USA,FWMF,New England,29,1990,16.2,1.42,1.17,0.43,0.74,0.25,0.25,1.11,22.2,0.86,15.1,4.94,32.7,3.83,7.41,3.89,1.42,0.19,0.00,1.23,0.93,2.35,0.56,0.00,Matches
95,Cory Burke\Cory-Burke,jm JAM,FW,Philadelphia,28,1991,1.3,0.77,0.77,0.00,0.77,0.00,0.00,0.77,0.0,0.77,19.2,2.31,12.0,0.77,7.69,10.8,1.54,0.00,0.00,1.54,0.00,0.77,2.31,0.00,Matches
96,Evan Bush\Evan-Bush,us USA,GK,Vancouver,33,1986,8.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.13,0.00,0.00,0.13,0.00,0.00,0.00,0.00,Matches
97,Gianluca Busio\Gianluca-Busio,us USA,MFFW,Sporting KC,17,2002,14.1,2.55,1.63,0.99,0.99,0.57,0.85,2.34,36.4,1.49,19.4,5.67,29.3,4.75,10.6,4.04,1.91,0.14,0.00,1.77,0.64,3.19,0.57,0.00,Matches
98,Alexander Büttner\Alexander-Buttner,nl NED,DF,New England,30,1989,13.9,2.16,1.37,1.44,0.58,0.14,0.50,1.94,25.9,1.44,11.2,3.45,31.0,5.54,4.46,1.15,1.37,0.07,0.00,1.29,1.01,3.17,2.52,0.00,Matches
