Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
231,Aníbal Godoy\Anibal-Godoy,pa PAN,MF,Nashville,29,1990,16.6,54.2,59.0,91.9,1160.8,292.9,19.2,20.5,93.8,23.4,24.8,94.4,11.1,12.8,87.3,0.00,0.04,-0.04,0.60,6.33,0.48,0.06,5.12,Matches
232,Erik Godoy\Erik-Godoy,ar ARG,DF,Vancouver,26,1993,10.4,42.3,48.1,88.0,1019.9,417.1,8.46,9.04,93.6,22.4,24.4,91.7,11.1,13.7,81.0,0.00,0.01,-0.01,0.29,2.79,0.48,0.00,4.04,Matches
233,Yeimar Gómez Andrade\Yeimar-Gomez-Andrade,co COL,DF,Seattle,27,1992,18.0,47.8,55.9,85.5,1143.4,377.1,11.4,13.2,86.9,22.9,25.2,90.9,13.2,16.6,79.9,0.00,0.00,0.00,0.11,3.06,0.00,0.00,2.67,Matches
234,Leandro González Pirez\Leandro-Gonzalez-Pirez,ar ARG,DF,Miami,27,1992,16.0,37.9,45.1,84.2,925.8,361.4,8.31,9.44,88.1,19.9,21.3,93.5,9.69,13.8,70.1,0.06,0.01,0.06,0.13,3.56,0.19,0.13,3.25,Matches
235,Giancarlo González\Giancarlo-Gonzalez,cr CRC,DF,LA Galaxy,31,1988,8.4,27.1,33.9,80.0,682.3,230.5,4.64,5.12,90.7,14.5,15.8,91.7,7.86,12.3,64.1,0.00,0.00,0.00,0.00,1.19,0.00,0.00,1.67,Matches
236,Jesse Gonzalez\Jesse-Gonzalez,mx MEX,GK,FC Dallas,24,1995,2.0,25.0,31.0,80.6,588.5,338.5,6.50,6.50,100.0,12.0,12.5,96.0,6.00,11.5,52.2,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,Matches
237,Omar Gonzalez\Omar-Gonzalez,us USA,DF,Toronto FC,31,1988,20.8,41.2,47.4,86.9,895.9,314.0,10.3,11.5,90.0,23.3,25.0,93.3,6.92,9.90,69.9,0.00,0.00,0.00,0.05,1.92,0.14,0.05,2.31,Matches
238,Yony González\Yony-Gonzalez,co COL,FW,LA Galaxy,25,1994,5.3,18.9,25.5,74.1,257.2,41.7,11.7,14.2,82.7,6.42,7.74,82.9,0.19,1.32,14.3,0.19,0.15,0.04,0.75,0.94,0.38,0.00,0.94,Matches
239,Ján Greguš\Jan-Gregus,sk SVK,MF,Minnesota,29,1991,17.7,54.1,65.3,82.9,1083.7,321.8,21.5,23.3,92.0,22.9,26.0,88.0,9.10,14.2,63.9,0.28,0.12,0.16,1.69,5.65,0.51,0.17,5.82,Matches
240,Julian Gressel\Julian-Gressel,de GER,MFDF,D.C. United,26,1993,18.6,34.2,51.9,65.8,788.4,267.1,10.9,14.1,77.1,15.2,19.4,78.6,7.80,16.4,47.5,0.16,0.17,-0.01,2.10,2.96,1.34,0.54,4.19,Matches
241,Brian Gutiérrez\Brian-Gutierrez,us USA,DFFW,Chicago,16,2003,0.4,25.0,45.0,55.6,497.5,242.5,7.50,15.0,50.0,15.0,20.0,75.0,2.50,7.50,33.3,0.00,1.50,-1.50,5.00,5.00,5.00,0.00,7.50,Matches
242,Cristián Gutiérrez\Cristian-Gutierrez,cl CHI,DFMF,Vancouver,22,1997,7.4,47.3,60.1,78.7,859.7,366.1,22.4,24.7,90.7,18.5,21.8,85.1,5.81,11.4,51.2,0.14,0.20,-0.07,1.35,3.24,0.68,0.41,3.38,Matches
243,Andrew Gutman\Andrew-Gutman,us USA,DF,FC Cincinnati,23,1996,16.0,38.2,47.7,80.1,722.8,234.9,15.4,17.2,89.5,17.9,20.7,86.7,4.31,8.00,53.9,0.00,0.04,-0.04,0.69,2.13,0.44,0.13,2.50,Matches
