Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
11,Fanendo Adi\Fanendo-Adi,ng NGA,FW,Columbus,29,1990,2.0,0.00,2.00,0.50,25.0,1.99,0.50,0.00,0.00,11.0,0.00,0.00,0.00,0.20,0.20,0.11,-0.20,-0.20,Matches
12,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,DFMF,Vancouver,26,1993,19.6,0.10,0.77,0.26,33.3,0.76,0.25,0.13,0.40,27.3,0.36,0.00,0.00,0.03,0.03,0.03,0.08,0.08,Matches
13,Harrison Afful\Harrison-Afful,gh GHA,DF,Columbus,33,1986,20.0,0.05,0.50,0.15,30.0,0.50,0.15,0.10,0.33,32.0,0.00,0.00,0.00,0.01,0.01,0.03,0.03,0.03,Matches
14,Juan Agudelo\Juan-Agudelo,us USA,FWMF,Miami,27,1992,9.4,0.32,1.91,0.43,22.2,1.92,0.43,0.17,0.75,12.7,0.00,0.00,0.00,0.32,0.32,0.17,0.00,0.00,Matches
15,Matheus Aiás\Matheus-Aias,br BRA,FW,Orlando City,23,1996,0.2,5.00,5.00,5.00,100.0,4.50,4.50,1.00,1.00,12.0,0.00,0.00,0.00,0.50,0.50,0.14,4.50,4.50,Matches
16,José Aja\Jose-Aja,uy URU,DF,Minnesota,26,1993,11.9,0.08,0.84,0.25,30.0,0.84,0.25,0.10,0.33,11.1,0.00,0.00,0.00,0.09,0.09,0.11,-0.01,-0.01,Matches
17,Jacob Akanyirige\Jacob-Akanyirige,us USA,DF,San Jose,18,2001,0.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
18,Tesho Akindele\Tesho-Akindele,ca CAN,FW,Orlando City,27,1992,9.1,0.33,1.32,0.66,50.0,1.31,0.66,0.25,0.50,14.0,0.00,0.00,0.00,0.29,0.29,0.21,0.04,0.04,Matches
19,Ayo Akinola\Ayo-Akinola,us USA,FW,Toronto FC,20,2000,11.8,0.76,2.97,1.53,51.4,2.97,1.53,0.26,0.50,12.2,0.00,0.00,0.00,0.69,0.69,0.23,0.08,0.08,Matches
20,Oswaldo Alanís\Oswaldo-Alanis,mx MEX,DF,San Jose,30,1989,13.2,0.15,0.98,0.30,30.8,0.98,0.30,0.15,0.50,22.1,0.45,0.00,0.00,0.05,0.05,0.05,0.10,0.10,Matches
21,Fatai Alashe\Fatai-Alashe,us USA,MF,Columbus,26,1993,4.8,0.21,1.46,0.21,14.3,1.44,0.21,0.14,1.00,12.2,0.00,0.00,0.00,0.15,0.15,0.09,0.06,0.06,Matches
22,Fatai Alashe\Fatai-Alashe,us USA,MF,FC Cincinnati,26,1993,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
23,Ignacio Aliseda\Ignacio-Aliseda,ar ARG,FWMF,Chicago,19,2000,15.5,0.06,1.61,0.45,28.0,1.61,0.45,0.04,0.14,20.6,0.00,0.00,0.00,0.15,0.15,0.09,-0.09,-0.09,Matches
24,Osvaldo Alonso\Osvaldo-Alonso,cu CUB,MF,Minnesota,34,1985,8.3,0.00,0.72,0.12,16.7,0.72,0.12,0.00,0.00,33.8,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
25,Jozy Altidore\Jozy-Altidore,us USA,FWMF,Toronto FC,30,1989,8.3,0.24,3.49,1.69,48.3,3.51,1.69,0.07,0.14,13.9,0.12,0.00,0.00,0.49,0.49,0.14,-0.25,-0.25,Matches
26,Alexander Alvarado\Alexander-Alvarado,ec ECU,FWMF,Orlando City,20,1999,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
27,Efrain Alvarez\Efrain-Alvarez,mx MEX,FWMF,LA Galaxy,17,2002,8.0,0.13,2.25,0.38,16.7,2.24,0.37,0.06,0.33,19.2,0.00,0.00,0.00,0.23,0.23,0.10,-0.10,-0.10,Matches
28,Luis Amarilla\Luis-Amarilla,py PAR,FW,Minnesota,24,1995,4.7,0.43,2.77,0.85,30.8,2.77,0.85,0.15,0.50,14.2,0.00,0.00,0.21,0.51,0.36,0.13,-0.09,0.06,Matches
29,Frankie Amaya\Frankie-Amaya,us USA,MF,FC Cincinnati,19,2000,19.3,0.05,1.04,0.31,30.0,1.04,0.31,0.05,0.17,22.3,0.00,0.00,0.00,0.06,0.06,0.06,-0.01,-0.01,Matches
30,Mikey Ambrose\Mikey-Ambrose,us USA,DF,Miami,26,1993,3.4,0.29,0.29,0.29,100.0,0.30,0.30,1.00,1.00,25.2,0.00,0.00,0.00,0.00,0.00,0.01,0.29,0.29,Matches
31,José Andrés Martínez\Jose-Andres-Martinez,ve VEN,MF,Philadelphia,25,1994,12.7,0.00,1.57,0.24,15.0,1.57,0.24,0.00,0.00,29.0,0.00,0.00,0.00,0.03,0.03,0.02,-0.03,-0.03,Matches
32,Jalil Anibaba\Jalil-Anibaba,us USA,DF,Nashville,31,1988,6.5,0.00,0.77,0.15,20.0,0.77,0.15,0.00,0.00,12.7,0.00,0.00,0.00,0.05,0.05,0.07,-0.05,-0.05,Matches
33,Brian Anunga\Brian-Anunga,cm CMR,MF,Nashville,23,1996,8.7,0.00,0.34,0.00,0.0,0.35,0.00,0.00,,22.3,0.00,0.00,0.00,0.01,0.01,0.04,-0.01,-0.01,Matches
34,Julian Araujo\Julian-Araujo,us USA,DFFW,LA Galaxy,18,2001,14.3,0.07,0.56,0.21,37.5,0.56,0.21,0.13,0.33,13.9,0.00,0.00,0.00,0.04,0.04,0.08,0.03,0.03,Matches
35,Luis Argudo\Luis-Argudo,us USA,MF,Miami,24,1995,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
36,Daniel Armando Ríos\Daniel-Armando-Rios,mx MEX,FW,Nashville,24,1995,7.8,0.51,3.46,1.15,33.3,3.47,1.16,0.15,0.44,14.2,0.13,0.00,0.00,0.47,0.47,0.14,0.04,0.04,Matches
37,Xavier Arreaga\Xavier-Arreaga,ec ECU,DF,Seattle,25,1994,12.7,0.00,0.31,0.08,25.0,0.31,0.08,0.00,0.00,22.6,0.00,0.00,0.00,0.03,0.03,0.11,-0.03,-0.03,Matches
38,Paul Arriola\Paul-Arriola,us USA,MF,D.C. United,24,1995,0.2,0.00,15.0,0.00,0.0,12.27,0.00,0.00,,17.0,0.00,0.00,0.00,1.00,1.00,0.07,-1.00,-1.00,Matches
39,Artur\Artur,br BRA,MF,Columbus,23,1996,20.3,0.10,0.54,0.30,54.5,0.54,0.29,0.18,0.33,17.3,0.00,0.00,0.00,0.04,0.04,0.08,0.05,0.05,Matches
40,Yamil Asad\Yamil-Asad,ar ARG,MFFW,D.C. United,25,1994,17.5,0.17,0.97,0.29,29.4,0.97,0.29,0.06,0.20,23.6,0.00,0.11,0.11,0.15,0.07,0.07,0.02,-0.01,Matches
41,Dairon Asprilla\Dairon-Asprilla,co COL,FW,Portland,27,1992,0.5,0.00,4.00,0.00,0.0,3.67,0.00,0.00,,14.7,0.00,0.00,0.00,0.60,0.60,0.16,-0.60,-0.60,Matches
42,Joshua Atencio\Joshua-Atencio,us USA,MF,Seattle,18,2002,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
43,Jeff Attinella\Jeff-Attinella,us USA,GK,Portland,31,1988,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
44,Eduard Atuesta\Eduard-Atuesta,co COL,MF,Los Angeles FC,22,1997,14.7,0.07,2.04,0.20,10.0,2.04,0.20,0.00,0.00,24.8,0.82,0.07,0.07,0.16,0.10,0.05,-0.09,-0.10,Matches
45,Auro\Auro,br BRA,DF,Toronto FC,24,1996,16.6,0.00,0.24,0.18,75.0,0.24,0.18,0.00,0.00,22.1,0.00,0.00,0.00,0.01,0.01,0.06,-0.01,-0.01,Matches
46,Micheal Azira\Micheal-Azira,ug UGA,MF,Chicago,32,1987,1.4,0.00,0.71,0.00,0.0,0.70,0.00,0.00,,25.3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
47,Dominique Badji\Dominique-Badji,sn SEN,FW,Nashville,27,1992,8.3,0.12,2.17,0.60,27.8,2.18,0.61,0.06,0.20,15.9,0.00,0.00,0.00,0.29,0.29,0.13,-0.17,-0.17,Matches
48,Zico Bailey\Zico-Bailey,us USA,DF,FC Cincinnati,19,2000,3.3,0.00,0.30,0.00,0.0,0.31,0.00,0.00,,29.0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
49,Theo Bair\Theo-Bair,ca CAN,FWMF,Vancouver,20,1999,4.9,0.20,1.22,0.41,33.3,1.21,0.40,0.17,0.50,12.8,0.00,0.00,0.00,0.06,0.06,0.06,0.14,0.14,Matches
50,Corey Baird\Corey-Baird,us USA,FWMF,Real Salt Lake,24,1996,17.0,0.12,1.71,0.24,13.8,1.71,0.24,0.07,0.50,15.9,0.06,0.00,0.00,0.20,0.20,0.12,-0.08,-0.08,Matches
51,Michael Baldisimo\Michael-Baldisimo,ca CAN,MF,Vancouver,19,2000,7.8,0.13,0.51,0.38,75.0,0.51,0.38,0.25,0.33,28.4,0.13,0.00,0.00,0.01,0.01,0.03,0.12,0.12,Matches
52,Ezequiel Barco\Ezequiel-Barco,ar ARG,FWMF,Atlanta,20,1999,11.5,0.17,2.43,1.13,46.4,2.44,1.13,0.07,0.15,24.4,0.78,0.00,0.09,0.31,0.24,0.10,-0.14,-0.07,Matches
53,Tom Barlow\Tom-Barlow,us USA,FW,NY Red Bulls,24,1995,10.8,0.28,3.52,1.67,47.4,3.51,1.66,0.08,0.17,12.8,0.00,0.00,0.00,0.62,0.62,0.18,-0.34,-0.34,Matches
54,Álvaro Barreal\Alvaro-Barreal,ar ARG,FW,FC Cincinnati,19,2000,3.6,0.00,1.67,0.00,0.0,1.67,0.00,0.00,,20.1,0.28,0.00,0.00,0.11,0.11,0.07,-0.11,-0.11,Matches
55,Michael Barrios\Michael-Barrios,co COL,FW,FC Dallas,28,1991,18.6,0.05,1.88,0.43,22.9,1.88,0.43,0.03,0.13,16.0,0.00,0.00,0.00,0.23,0.23,0.12,-0.18,-0.18,Matches
56,Cole Bassett\Cole-Bassett,us USA,MF,Colorado,18,2001,10.9,0.46,1.93,0.73,38.1,1.93,0.74,0.24,0.63,15.3,0.00,0.00,0.00,0.26,0.26,0.13,0.20,0.20,Matches
57,Clement Bayiha\Clement-Bayiha,ca CAN,DF,Montreal,20,1999,0.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
58,Tanner Beason\Tanner-Beason,us USA,DF,San Jose,22,1997,9.0,0.00,0.67,0.11,16.7,0.67,0.11,0.00,0.00,11.7,0.00,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches
59,Brayan Beckeles\Brayan-Beckeles,hn HON,DF,Nashville,34,1985,0.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
60,Kyle Beckerman\Kyle-Beckerman,us USA,MF,Real Salt Lake,37,1982,4.3,0.00,1.16,0.23,20.0,1.15,0.23,0.00,0.00,18.1,0.00,0.00,0.00,0.07,0.07,0.06,-0.07,-0.07,Matches
61,Alejandro Bedoya\Alejandro-Bedoya,us USA,MF,Philadelphia,32,1987,20.3,0.15,1.53,0.59,38.7,1.53,0.59,0.10,0.25,15.1,0.00,0.00,0.00,0.12,0.12,0.08,0.02,0.02,Matches
62,George Bello\George-Bello,us USA,DF,Atlanta,18,2002,18.3,0.05,0.44,0.11,25.0,0.44,0.11,0.13,0.50,16.7,0.00,0.00,0.00,0.03,0.03,0.08,0.02,0.02,Matches
63,Jordan Bender\Jordan-Bender,us USA,MF,Orlando City,18,2001,0.5,0.00,2.00,0.00,0.0,1.96,0.00,0.00,,18.6,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
64,Joe Bendik\Joe-Bendik,us USA,GK,Philadelphia,30,1989,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
65,Nicolas Benezet\Nicolas-Benezet,fr FRA,FWMF,Colorado,28,1991,5.5,0.00,1.64,0.55,33.3,1.65,0.55,0.00,0.00,19.7,0.00,0.00,0.00,0.09,0.09,0.05,-0.09,-0.09,Matches
66,Sebastian Berhalter\Sebastian-Berhalter,us USA,MF,Columbus,18,2001,4.4,0.00,1.36,0.00,0.0,1.36,0.00,0.00,,27.0,0.23,0.00,0.00,0.05,0.05,0.03,-0.05,-0.05,Matches
67,Robert Berić\Robert-Beric,si SVN,FW,Chicago,28,1991,21.4,0.56,2.80,1.26,45.0,2.80,1.26,0.18,0.41,15.4,0.00,0.05,0.09,0.47,0.40,0.14,0.09,0.11,Matches
68,Matt Besler\Matt-Besler,us USA,DF,Sporting KC,32,1987,9.0,0.00,0.11,0.00,0.0,0.11,0.00,0.00,,24.7,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
69,Nick Besler\Nick-Besler,us USA,MFDF,Real Salt Lake,26,1993,6.3,0.00,0.48,0.16,33.3,0.47,0.16,0.00,0.00,10.9,0.00,0.00,0.00,0.11,0.06,0.15,-0.11,-0.06,Matches
70,Janio Bikel\Janio-Bikel,pt POR,MFDF,Vancouver,24,1995,10.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
71,Noah Billingsley\Noah-Billingsley,nz NZL,DF,Minnesota,22,1997,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
72,David Bingham\David-Bingham,us USA,GK,LA Galaxy,30,1989,18.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
73,Luis Binks\Luis-Binks,eng ENG,DF,Montreal,18,2001,19.6,0.00,0.46,0.05,11.1,0.46,0.05,0.00,0.00,14.4,0.00,0.00,0.00,0.04,0.04,0.09,-0.04,-0.04,Matches
74,Steve Birnbaum\Steve-Birnbaum,us USA,DF,D.C. United,29,1991,10.0,0.00,0.70,0.00,0.0,0.70,0.00,0.00,,9.1,0.00,0.00,0.00,0.04,0.04,0.06,-0.04,-0.04,Matches
75,José Bizama\Jose-Bizama,cl CHI,DF,Houston,25,1994,6.3,0.00,0.48,0.00,0.0,0.47,0.00,0.00,,13.2,0.00,0.00,0.00,0.10,0.10,0.18,-0.10,-0.10,Matches
76,Tristan Blackmon\Tristan-Blackmon,us USA,DF,Los Angeles FC,23,1996,10.9,0.00,0.37,0.09,25.0,0.37,0.09,0.00,0.00,12.3,0.00,0.00,0.00,0.08,0.08,0.23,-0.08,-0.08,Matches
77,Andre Blake\Andre-Blake,jm JAM,GK,Philadelphia,29,1990,21.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
78,Sebastián Blanco\Sebastian-Blanco,ar ARG,FWMF,Portland,31,1988,7.4,0.27,3.24,0.95,29.2,3.25,0.95,0.08,0.29,21.4,0.00,0.00,0.00,0.23,0.23,0.07,0.04,0.04,Matches
79,Latif Blessing\Latif-Blessing,gh GHA,MFDF,Los Angeles FC,23,1996,19.1,0.05,0.84,0.31,37.5,0.84,0.31,0.06,0.17,13.6,0.00,0.00,0.00,0.16,0.16,0.19,-0.10,-0.10,Matches
80,Emmanuel Boateng\Emmanuel-Boateng,gh GHA,FWMF,Columbus,26,1994,3.6,0.00,0.56,0.28,50.0,0.55,0.27,0.00,0.00,15.5,0.00,0.00,0.00,0.14,0.14,0.26,-0.14,-0.14,Matches
81,Pablo Bonilla\Pablo-Bonilla,ve VEN,DF,Portland,20,1999,9.8,0.00,0.51,0.00,0.0,0.51,0.00,0.00,,23.3,0.00,0.00,0.00,0.03,0.03,0.06,-0.03,-0.03,Matches
82,Alex Bono\Alex-Bono,us USA,GK,Toronto FC,25,1994,3.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
83,Jonathan Bornstein\Jonathan-Bornstein,us USA,DF,Chicago,35,1984,12.7,0.08,0.31,0.24,75.0,0.32,0.24,0.25,0.33,19.2,0.00,0.00,0.00,0.02,0.02,0.06,0.06,0.06,Matches
84,Gustavo Bou\Gustavo-Bou,ar ARG,MFFW,New England,29,1990,14.8,0.34,4.26,1.42,33.3,4.26,1.42,0.08,0.24,20.4,0.41,0.00,0.00,0.34,0.34,0.08,0.00,0.00,Matches
85,Michael Boxall\Michael-Boxall,nz NZL,DF,Minnesota,31,1988,19.0,0.00,0.37,0.16,42.9,0.37,0.16,0.00,0.00,9.4,0.00,0.00,0.00,0.04,0.04,0.10,-0.04,-0.04,Matches
86,Michael Bradley\Michael-Bradley,us USA,MF,Toronto FC,32,1987,11.8,0.00,0.59,0.17,28.6,0.59,0.17,0.00,0.00,20.5,0.00,0.00,0.00,0.07,0.07,0.12,-0.07,-0.07,Matches
87,Zachary Brault-Guillard\Zachary-Brault-Guillard,ca CAN,DF,Montreal,21,1998,19.9,0.00,0.50,0.00,0.0,0.50,0.00,0.00,,18.1,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
88,Bressan\Bressan,br BRA,DF,FC Dallas,27,1993,13.0,0.00,0.31,0.08,25.0,0.31,0.08,0.00,0.00,13.8,0.00,0.00,0.00,0.02,0.02,0.06,-0.02,-0.02,Matches
89,Frédéric Brillant\Frederic-Brillant,fr FRA,DF,D.C. United,34,1985,18.7,0.11,0.37,0.16,42.9,0.37,0.16,0.29,0.67,11.1,0.00,0.00,0.00,0.03,0.03,0.08,0.08,0.08,Matches
90,Brandt Bronico\Brandt-Bronico,us USA,DFMF,Chicago,24,1995,3.1,0.00,0.32,0.00,0.0,0.32,0.00,0.00,,12.5,0.00,0.00,0.00,0.06,0.06,0.18,-0.06,-0.06,Matches
91,Will Bruin\Will-Bruin,us USA,FWMF,Seattle,30,1989,6.3,0.16,2.06,0.48,23.1,2.07,0.48,0.08,0.33,11.8,0.00,0.00,0.00,0.37,0.37,0.18,-0.21,-0.21,Matches
92,Tajon Buchanan\Tajon-Buchanan,ca CAN,FWDF,New England,20,1999,12.1,0.17,2.48,0.99,40.0,2.48,0.99,0.07,0.17,14.9,0.00,0.00,0.00,0.24,0.24,0.10,-0.07,-0.07,Matches
93,Adam Buksa\Adam-Buksa,pl POL,FW,New England,23,1996,16.7,0.36,3.41,1.38,40.4,3.42,1.38,0.11,0.26,13.9,0.00,0.00,0.06,0.40,0.34,0.10,-0.04,0.02,Matches
94,Teal Bunbury\Teal-Bunbury,us USA,FWMF,New England,29,1990,16.2,0.49,2.53,0.74,29.3,2.53,0.74,0.20,0.67,13.7,0.00,0.00,0.00,0.31,0.31,0.12,0.18,0.18,Matches
95,Cory Burke\Cory-Burke,jm JAM,FW,Philadelphia,28,1991,1.3,1.54,6.92,3.85,55.6,7.04,3.91,0.22,0.40,13.1,0.00,0.00,0.00,1.08,1.08,0.15,0.46,0.46,Matches
96,Evan Bush\Evan-Bush,us USA,GK,Vancouver,33,1986,8.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
97,Gianluca Busio\Gianluca-Busio,us USA,MFFW,Sporting KC,17,2002,14.1,0.07,2.62,0.43,16.2,2.62,0.42,0.03,0.17,23.3,0.35,0.00,0.00,0.12,0.12,0.05,-0.05,-0.05,Matches
98,Alexander Büttner\Alexander-Buttner,nl NED,DF,New England,30,1989,13.9,0.00,0.94,0.07,7.7,0.94,0.07,0.00,0.00,26.3,0.00,0.00,0.00,0.03,0.03,0.03,-0.03,-0.03,Matches
99,Handwalla Bwana\Handwalla-Bwana,us USA,FWMF,Nashville,22,1997,0.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
100,Handwalla Bwana\Handwalla-Bwana,us USA,FWMF,Seattle,22,1997,2.0,0.50,1.50,1.00,66.7,1.52,1.01,0.33,0.50,8.4,0.00,0.00,0.00,0.50,0.50,0.33,0.00,0.00,Matches
101,Brandon Bye\Brandon-Bye,us USA,DF,New England,24,1995,18.2,0.00,0.77,0.05,7.1,0.77,0.06,0.00,0.00,14.0,0.00,0.00,0.00,0.06,0.06,0.08,-0.06,-0.06,Matches
102,Víctor Cabrera\Victor-Cabrera,ar ARG,DF,Houston,26,1993,7.3,0.00,0.55,0.14,25.0,0.55,0.14,0.00,0.00,8.4,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches
103,Chris Cadden\Chris-Cadden,sco SCO,DFMF,Columbus,23,1996,3.9,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
104,Jhonder Cádiz\Jhonder-Cadiz,ve VEN,FW,Nashville,24,1995,2.5,0.80,6.40,2.80,43.8,6.43,2.81,0.13,0.29,13.4,0.00,0.00,0.00,0.68,0.68,0.10,0.12,0.12,Matches
105,Scott Caldwell\Scott-Caldwell,us USA,MF,New England,28,1991,12.8,0.00,0.16,0.00,0.0,0.16,0.00,0.00,,13.2,0.00,0.00,0.00,0.01,0.01,0.04,-0.01,-0.01,Matches
106,Alexander Callens\Alexander-Callens,pe PER,DF,NYCFC,27,1992,21.5,0.09,0.42,0.14,33.3,0.42,0.14,0.22,0.67,10.6,0.00,0.00,0.00,0.05,0.05,0.12,0.04,0.04,Matches
107,Eric Calvillo\Eric-Calvillo,us USA,MFFW,San Jose,22,1998,2.1,0.00,0.95,0.48,50.0,0.95,0.48,0.00,0.00,13.3,0.00,0.00,0.00,0.19,0.19,0.21,-0.19,-0.19,Matches
108,Francisco Calvo\Francisco-Calvo,cr CRC,DF,Chicago,27,1992,21.2,0.05,0.66,0.14,21.4,0.66,0.14,0.07,0.33,11.4,0.00,0.00,0.00,0.07,0.07,0.11,-0.02,-0.02,Matches
109,Rudy Camacho\Rudy-Camacho,fr FRA,DFMF,Montreal,28,1991,13.2,0.08,0.53,0.08,14.3,0.53,0.08,0.14,1.00,12.3,0.00,0.00,0.00,0.03,0.03,0.06,0.05,0.05,Matches
110,George Campbell\George-Campbell,us USA,DF,Atlanta,18,2001,0.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
111,Reggie Cannon\Reggie-Cannon,us USA,DF,FC Dallas,21,1998,5.0,0.00,0.80,0.40,50.0,0.80,0.40,0.00,0.00,18.5,0.00,0.00,0.00,0.04,0.04,0.04,-0.04,-0.04,Matches
112,Russell Canouse\Russell-Canouse,us USA,DFMF,D.C. United,24,1995,13.7,0.15,0.36,0.22,60.0,0.36,0.22,0.40,0.67,12.2,0.00,0.00,0.00,0.04,0.04,0.09,0.11,0.11,Matches
113,Antonio Carlos\Antonio-Carlos,br BRA,DF,Orlando City,26,1993,18.2,0.05,0.44,0.11,25.0,0.44,0.11,0.13,0.50,7.9,0.00,0.00,0.00,0.08,0.08,0.19,-0.03,-0.03,Matches
114,Julián Carranza\Julian-Carranza,ar ARG,FW,Miami,19,2000,6.1,0.33,1.97,0.82,41.7,1.97,0.82,0.17,0.40,11.0,0.00,0.00,0.00,0.30,0.30,0.15,0.03,0.03,Matches
115,Julio Cascante\Julio-Cascante,cr CRC,DF,Portland,26,1993,4.5,0.22,1.11,0.44,40.0,1.11,0.44,0.20,0.50,9.2,0.00,0.00,0.00,0.09,0.09,0.08,0.13,0.13,Matches
116,Cristian Cásseres Jr.\Cristian-Casseres-Jr,ve VEN,MF,NY Red Bulls,20,2000,14.6,0.14,0.89,0.48,53.8,0.89,0.48,0.15,0.29,25.1,0.00,0.00,0.00,0.05,0.05,0.05,0.09,0.09,Matches
117,Valentín Castellanos\Valentin-Castellanos,ar ARG,FW,NYCFC,21,1998,14.9,0.40,4.97,2.08,41.9,4.96,2.08,0.05,0.13,16.1,0.00,0.13,0.13,0.66,0.55,0.11,-0.26,-0.28,Matches
118,Edgar Castillo\Edgar-Castillo,us USA,DF,Atlanta,33,1986,1.6,0.00,1.25,0.63,50.0,1.23,0.62,0.00,0.00,16.7,0.00,0.00,0.00,0.06,0.06,0.05,-0.06,-0.06,Matches
119,Manuel Castro\Manuel-Castro,uy URU,FWMF,Atlanta,24,1995,2.9,0.00,2.41,0.69,28.6,2.40,0.69,0.00,0.00,16.4,0.00,0.00,0.00,0.28,0.28,0.11,-0.28,-0.28,Matches
120,Lucas Cavallini\Lucas-Cavallini,ca CAN,FW,Vancouver,27,1992,16.2,0.37,2.72,1.05,38.6,2.72,1.05,0.14,0.35,13.0,0.00,0.00,0.12,0.47,0.38,0.14,-0.10,-0.01,Matches
121,Darwin Cerén\Darwin-Ceren,sv SLV,MF,Houston,30,1989,17.0,0.06,0.71,0.29,41.7,0.71,0.29,0.00,0.00,20.9,0.00,0.06,0.06,0.08,0.04,0.05,-0.02,-0.04,Matches
122,Edwin Cerrillo\Edwin-Cerrillo,us USA,MF,FC Dallas,19,2000,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
123,Thomás Chacón\Thomas-Chacon,uy URU,FWMF,Minnesota,19,2000,1.9,0.00,0.53,0.53,100.0,0.52,0.52,0.00,0.00,29.8,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,Matches
124,Maikel Chang\Maikel-Chang,cu CUB,FWMF,Real Salt Lake,28,1991,12.3,0.08,1.14,0.33,28.6,1.14,0.33,0.07,0.25,13.6,0.00,0.00,0.00,0.14,0.14,0.12,-0.06,-0.06,Matches
125,Maxime Chanot\Maxime-Chanot,lu LUX,DF,NYCFC,30,1989,19.0,0.00,1.00,0.21,21.1,1.00,0.21,0.00,0.00,10.0,0.00,0.00,0.00,0.08,0.08,0.08,-0.08,-0.08,Matches
126,Jay Chapman\Jay-Chapman,ca CAN,MF,Miami,26,1994,2.3,0.00,0.87,0.00,0.0,0.88,0.00,0.00,,5.9,0.00,0.00,0.00,0.04,0.04,0.05,-0.04,-0.04,Matches
127,Diego Chará\Diego-Chara,co COL,MF,Portland,33,1986,20.0,0.05,0.15,0.05,33.3,0.15,0.05,0.33,1.00,16.9,0.00,0.00,0.00,0.05,0.05,0.34,0.00,0.00,Matches
128,Yimmi Chará\Yimmi-Chara,co COL,FWMF,Portland,28,1991,13.7,0.29,1.68,0.88,52.2,1.68,0.88,0.17,0.33,15.6,0.00,0.00,0.00,0.22,0.22,0.13,0.07,0.07,Matches
129,José Cifuentes\Jose-Cifuentes,ec ECU,MF,Los Angeles FC,20,1999,12.7,0.08,2.76,0.71,25.7,2.75,0.71,0.03,0.11,22.7,0.16,0.00,0.00,0.12,0.12,0.04,-0.04,-0.04,Matches
130,Laurent Ciman\Laurent-Ciman,be BEL,DF,Toronto FC,34,1985,6.0,0.00,0.33,0.17,50.0,0.34,0.17,0.00,0.00,28.3,0.33,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches
131,Caden Clark\Caden-Clark,us USA,FWMF,NY Red Bulls,16,2003,3.1,0.65,1.61,0.65,40.0,1.61,0.65,0.40,1.00,19.6,0.00,0.00,0.00,0.06,0.06,0.04,0.58,0.58,Matches
