Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
22,Fatai Alashe\Fatai-Alashe,us USA,MF,FC Cincinnati,26,1993,3,0,27,0.3,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
23,Ignacio Aliseda\Ignacio-Aliseda,ar ARG,FWMF,Chicago,19,2000,20,16,1399,15.5,0.06,0.13,0.06,0.00,0.00,0.06,0.00,0.06,0.13,0.19,0.06,0.19,0.15,0.15,0.12,0.27,0.15,0.12,0.27,0.15,0.27,Matches
24,Osvaldo Alonso\Osvaldo-Alonso,cu CUB,MF,Minnesota,34,1985,10,9,750,8.3,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.05,0.06,0.02,0.04,0.06,0.02,0.06,Matches
25,Jozy Altidore\Jozy-Altidore,us USA,FWMF,Toronto FC,30,1989,13,10,744,8.3,0.24,0.00,0.24,0.00,0.00,0.36,0.00,0.24,0.00,0.24,0.24,0.24,0.49,0.49,0.10,0.59,0.50,0.10,0.60,0.50,0.60,Matches
26,Alexander Alvarado\Alexander-Alvarado,ec ECU,FWMF,Orlando City,20,1999,2,0,27,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
27,Efrain Alvarez\Efrain-Alvarez,mx MEX,FWMF,LA Galaxy,17,2002,16,6,724,8.0,0.13,0.13,0.13,0.00,0.00,0.00,0.00,0.12,0.12,0.25,0.12,0.25,0.23,0.23,0.24,0.47,0.23,0.24,0.47,0.23,0.47,Matches
28,Luis Amarilla\Luis-Amarilla,py PAR,FW,Minnesota,24,1995,7,5,423,4.7,0.43,0.21,0.43,0.00,0.21,0.43,0.00,0.43,0.21,0.64,0.43,0.64,0.51,0.36,0.02,0.36,0.52,0.02,0.53,0.35,0.37,Matches
29,Frankie Amaya\Frankie-Amaya,us USA,MF,FC Cincinnati,19,2000,21,21,1733,19.3,0.05,0.00,0.05,0.00,0.00,0.36,0.00,0.05,0.00,0.05,0.05,0.05,0.06,0.06,0.02,0.08,0.06,0.02,0.08,0.06,0.08,Matches
30,Mikey Ambrose\Mikey-Ambrose,us USA,DF,Miami,26,1993,6,3,304,3.4,0.29,0.00,0.29,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.30,0.30,0.00,0.00,0.03,0.03,0.00,0.03,0.03,0.00,0.03,Matches
31,José Andrés Martínez\Jose-Andres-Martinez,ve VEN,MF,Philadelphia,25,1994,14,14,1143,12.7,0.00,0.16,0.00,0.00,0.00,0.55,0.00,0.00,0.16,0.16,0.00,0.16,0.03,0.03,0.09,0.12,0.03,0.08,0.12,0.03,0.12,Matches
32,Jalil Anibaba\Jalil-Anibaba,us USA,DF,Nashville,31,1988,12,6,588,6.5,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,0.05,0.00,0.05,0.05,0.05,Matches
33,Brian Anunga\Brian-Anunga,cm CMR,MF,Nashville,23,1996,14,8,780,8.7,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.02,0.01,0.00,0.02,0.01,0.02,Matches
34,Julian Araujo\Julian-Araujo,us USA,DFFW,LA Galaxy,18,2001,17,17,1290,14.3,0.07,0.14,0.07,0.00,0.00,0.49,0.14,0.07,0.14,0.21,0.07,0.21,0.04,0.04,0.10,0.15,0.04,0.11,0.15,0.04,0.15,Matches
35,Luis Argudo\Luis-Argudo,us USA,MF,Miami,24,1995,1,0,13,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
36,Daniel Armando Ríos\Daniel-Armando-Rios,mx MEX,FW,Nashville,24,1995,18,8,701,7.8,0.51,0.00,0.51,0.00,0.00,0.00,0.00,0.51,0.00,0.51,0.51,0.51,0.47,0.47,0.09,0.56,0.48,0.09,0.57,0.48,0.57,Matches
37,Xavier Arreaga\Xavier-Arreaga,ec ECU,DF,Seattle,25,1994,14,13,1146,12.7,0.00,0.08,0.00,0.00,0.00,0.31,0.00,0.00,0.08,0.08,0.00,0.08,0.03,0.03,0.03,0.06,0.03,0.03,0.07,0.03,0.07,Matches
38,Paul Arriola\Paul-Arriola,us USA,MF,D.C. United,24,1995,1,0,22,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.82,0.00,0.82,0.82,0.82,Matches
39,Artur\Artur,br BRA,MF,Columbus,23,1996,22,20,1831,20.3,0.10,0.10,0.10,0.00,0.00,0.15,0.00,0.10,0.10,0.20,0.10,0.20,0.04,0.04,0.03,0.08,0.04,0.03,0.08,0.04,0.08,Matches
40,Yamil Asad\Yamil-Asad,ar ARG,MFFW,D.C. United,25,1994,23,18,1576,17.5,0.17,0.11,0.06,0.11,0.11,0.29,0.00,0.17,0.11,0.29,0.06,0.17,0.15,0.07,0.07,0.14,0.16,0.08,0.23,0.07,0.15,Matches
41,Dairon Asprilla\Dairon-Asprilla,co COL,FW,Portland,27,1992,3,0,49,0.5,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.60,0.00,0.60,0.58,0.00,0.58,0.58,0.58,Matches
42,Joshua Atencio\Joshua-Atencio,us USA,MF,Seattle,18,2002,5,0,14,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
