Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Arsenal,30,38.0,529.8,639.1,82.9,10032.7,3144.7,213.2,242.4,87.9,235.2,267.6,87.9,71.0,105.9,67.0,1.61,1.21,0.35,11.6,46.2,13.3,1.76,48.5
Bournemouth,22,38.0,341.8,457.8,74.7,6630.9,2352.1,137.4,163.9,83.8,147.0,179.7,81.8,50.3,93.5,53.8,0.95,0.78,0.17,8.97,25.6,8.00,1.95,32.5
Brighton,24,38.0,306.1,419.2,73.0,6460.2,2331.9,112.8,136.6,82.6,128.7,159.1,80.9,58.3,106.3,54.8,0.66,0.59,0.06,7.13,23.4,5.11,1.84,25.7
Burnley,24,38.0,270.8,397.5,68.1,5834.6,2334.8,100.8,126.2,79.9,112.3,145.9,77.0,52.6,110.2,47.7,0.68,0.61,0.07,7.34,24.6,5.68,2.29,24.5
Chelsea,26,38.0,481.5,586.3,82.1,9415.0,2956.8,183.4,208.9,87.8,219.2,249.8,87.8,70.4,106.8,65.9,1.11,1.05,0.08,12.4,38.3,10.9,2.18,45.2
Crystal Palace,28,38.0,301.1,411.8,73.1,5896.8,2337.0,123.2,146.5,84.1,124.5,153.8,80.9,45.2,91.5,49.4,0.68,0.80,-0.11,8.42,26.8,7.26,1.55,30.4
Everton,30,38.0,309.7,429.1,72.2,6348.5,2385.4,120.8,145.0,83.3,128.1,159.4,80.4,53.4,104.9,50.9,0.68,0.60,0.08,6.87,27.7,5.61,1.97,26.7
Huddersfield,25,38.0,307.9,429.9,71.6,6148.4,2246.8,125.1,152.2,82.1,124.7,158.5,78.7,51.4,100.2,51.3,0.50,0.59,-0.09,6.53,23.5,4.97,2.05,25.2
Leicester City,27,38.0,312.6,434.2,72.0,6351.0,2325.3,123.7,150.7,82.1,127.1,160.1,79.4,54.7,104.6,52.3,1.00,0.78,0.22,7.39,27.1,6.18,1.87,27.5
Liverpool,27,38.0,520.6,636.2,81.8,10249.0,3159.6,188.7,215.9,87.4,249.1,282.1,88.3,73.8,117.3,62.9,1.53,1.30,0.22,12.5,44.8,12.9,2.08,49.3
Manchester City,25,38.0,666.7,763.7,87.3,12122.0,3407.7,284.6,311.1,91.5,297.7,328.1,90.8,73.4,101.5,72.3,2.24,1.49,0.72,12.9,53.8,14.8,1.89,53.1
Manchester Utd,27,38.0,455.7,561.4,81.2,8406.4,2730.9,201.7,225.8,89.3,182.6,211.8,86.2,59.3,98.7,60.1,1.39,1.11,0.29,9.97,34.8,9.76,2.16,38.7
Newcastle Utd,27,38.0,281.7,398.0,70.8,5580.2,2210.2,116.9,142.7,81.9,113.1,143.3,78.9,45.4,94.5,48.0,0.76,0.72,0.04,8.08,23.6,6.13,2.34,25.7
Southampton,26,38.0,369.3,490.9,75.2,7267.7,2484.4,149.8,175.3,85.5,156.7,189.7,82.6,56.2,107.8,52.2,0.61,0.77,-0.17,8.68,31.3,7.53,2.45,34.2
Stoke City,30,38.0,257.0,370.4,69.4,5374.8,2249.7,99.8,125.6,79.5,104.9,135.1,77.6,47.0,93.4,50.3,0.74,0.69,0.07,7.47,25.4,6.29,1.61,25.7
Swansea City,26,38.0,337.8,444.3,76.0,6772.1,2337.5,135.8,157.4,86.3,137.4,165.6,83.0,57.2,102.7,55.7,0.53,0.48,0.02,5.71,27.2,5.42,1.63,26.9
Tottenham,25,38.0,492.6,606.2,81.3,9737.4,3086.7,183.7,210.1,87.4,226.4,260.1,87.1,74.3,114.8,64.7,1.34,1.25,0.09,11.9,44.1,10.8,2.16,47.9
Watford,29,38.0,325.7,448.5,72.6,6430.4,2406.0,136.6,163.5,83.6,129.7,165.3,78.5,52.6,100.1,52.6,0.71,0.73,-0.02,8.08,28.5,7.76,2.16,31.2
West Brom,24,38.0,267.1,380.6,70.2,5581.0,2252.1,102.5,124.4,82.3,111.3,141.2,78.9,48.3,98.6,49.0,0.63,0.60,0.03,7.16,24.5,6.32,2.76,24.5
West Ham,27,38.0,302.1,414.8,72.8,5943.3,2203.6,128.4,151.6,84.7,118.4,148.4,79.8,48.5,96.6,50.2,0.76,0.63,0.23,7.18,24.7,6.21,1.97,25.1
