Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1,Tammy Abraham\Tammy-Abraham,eng ENG,FW,eng Chelsea,21,1997,6.3,31.9,1.90,2.54,16.5,13.7,6.19,29.5,0.79,1.90,41.7,0.95,0.00,18.1,66.3,30.3,1.11,0.48,0.48,3.02,1.59,41.6,22.2,53.4,8.10,Matches
2,Tyler Adams\Tyler-Adams,us USA,DFMF,de RB Leipzig,20,1999,0.9,101.1,4.44,24.4,54.4,26.7,2.22,93.3,2.22,2.22,100.0,2.22,0.00,72.2,293.3,121.1,11.1,2.22,0.00,1.11,0.00,74.4,73.3,98.5,6.67,Matches
3,Arijan Ademi\Arijan-Ademi,mk MKD,MFDF,hr Dinamo Zagreb,28,1991,5.7,37.7,2.63,11.9,22.3,6.14,1.93,36.5,1.58,1.58,100.0,1.58,0.00,23.3,122.8,70.5,3.16,0.70,0.35,0.88,0.70,26.7,23.0,86.2,2.63,Matches
4,Adrián\Adrian,es ESP,GK,eng Liverpool,32,1987,3.3,30.9,26.7,30.6,0.30,0.00,0.00,24.2,0.00,0.00,,0.00,0.00,14.5,51.2,26.1,0.00,0.00,0.00,0.00,0.00,15.8,15.8,100.0,0.00,Matches
5,Sergio Agüero\Sergio-Aguero,ar ARG,FW,eng Manchester City,31,1988,2.2,35.5,0.45,2.73,12.7,21.8,10.0,34.5,2.27,4.09,55.6,2.73,0.00,25.5,100.5,52.7,4.09,1.36,1.36,1.82,3.18,54.1,28.2,52.1,12.3,Matches
6,Manuel Akanji\Manuel-Akanji,ch SUI,DF,de Dortmund,24,1995,5.8,76.2,7.24,37.1,41.0,3.28,0.52,74.3,0.52,0.69,75.0,0.52,0.00,55.9,327.9,170.2,4.48,1.03,0.00,0.69,0.17,57.8,57.6,99.7,0.34,Matches
7,David Alaba\David-Alaba,at AUT,DF,de Bayern Munich,27,1992,7.5,85.1,7.33,39.1,48.0,5.33,0.40,82.9,0.27,0.27,100.0,0.27,0.00,65.9,373.9,198.0,4.93,0.53,0.13,0.00,0.13,69.3,68.4,98.7,0.53,Matches
8,Lucas Alario\Lucas-Alario,ar ARG,FW,de Leverkusen,26,1992,2.4,29.2,0.83,2.08,14.2,13.8,4.58,27.1,0.83,1.25,66.7,0.83,0.00,21.7,121.7,33.3,1.67,0.42,0.00,2.50,1.67,43.8,22.1,50.5,8.33,Matches
9,Jordi Alba\Jordi-Alba,es ESP,DF,es Barcelona,30,1989,3.9,69.5,4.36,19.7,36.4,16.9,1.54,62.8,0.26,0.77,33.3,0.26,0.00,41.5,144.1,73.3,2.05,0.77,0.00,0.26,1.28,51.8,46.4,89.6,2.56,Matches
10,Paco Alcácer\Paco-Alcacer,es ESP,FW,de Dortmund,25,1993,1.3,26.2,2.31,3.08,11.5,11.5,5.38,23.8,0.77,0.77,100.0,0.77,0.00,14.6,47.7,9.23,0.77,0.00,0.00,0.77,0.00,33.8,15.4,45.5,6.15,Matches
11,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,de Bayern Munich,28,1991,9.1,101.1,2.31,22.7,66.8,17.6,1.10,98.8,1.87,2.09,89.5,1.87,0.00,71.6,329.1,162.9,7.80,1.43,0.11,0.77,0.66,77.3,75.4,97.6,1.43,Matches
12,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,eng Tottenham,30,1989,6.0,65.3,11.8,37.3,29.3,0.67,0.00,64.3,0.00,0.00,,0.00,0.00,44.2,198.3,78.5,1.67,0.00,0.00,0.00,0.00,47.2,46.7,98.9,0.17,Matches
13,Carles Aleñá\Carles-Alena,es ESP,MF,es Barcelona,21,1998,1.0,107.0,0.00,18.0,72.0,24.0,0.00,102.0,1.00,1.00,100.0,1.00,0.00,94.0,369.0,192.0,10.0,1.00,0.00,4.00,1.00,101.0,93.0,92.1,3.00,Matches
14,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,eng Liverpool,20,1998,6.5,121.8,2.77,26.0,61.1,41.1,1.08,100.0,0.92,1.85,50.0,0.92,0.15,76.5,301.4,169.2,6.46,2.15,0.31,0.77,0.31,86.8,82.8,95.4,3.08,Matches
15,Alisson\Alisson,br BRA,GK,eng Liverpool,26,1992,5.0,36.8,28.0,36.2,0.60,0.00,0.00,30.2,0.00,0.00,,0.00,0.00,20.4,81.2,50.0,0.00,0.00,0.00,0.00,0.00,18.2,18.2,100.0,0.00,Matches
16,Allan\Allan,br BRA,MF,it Napoli,28,1991,4.9,71.2,3.47,23.5,44.9,7.35,0.00,70.0,1.43,2.04,70.0,1.63,0.20,51.2,199.2,89.6,2.86,0.41,0.00,0.82,2.65,49.4,46.7,94.6,0.20,Matches
17,Dele Alli\Dele-Alli,eng ENG,MFFW,eng Tottenham,23,1996,5.7,52.5,1.05,4.91,28.1,23.2,3.86,49.8,1.75,4.74,37.0,2.11,0.35,41.4,182.8,87.0,4.21,1.40,0.18,1.75,2.46,55.1,38.9,70.7,8.07,Matches
18,André Almeida\Andre-Almeida,pt POR,DF,pt Benfica,28,1990,1.0,65.0,8.00,28.0,24.0,16.0,1.00,57.0,0.00,4.00,0.0,0.00,0.00,30.0,98.0,69.0,1.00,0.00,0.00,0.00,1.00,36.0,30.0,83.3,4.00,Matches
19,Marcos Alonso\Marcos-Alonso,es ESP,DF,eng Chelsea,28,1990,4.4,78.9,2.95,24.8,34.8,25.2,4.09,68.4,1.14,2.27,50.0,1.36,0.23,49.3,250.9,141.4,4.77,1.59,0.45,0.68,0.91,50.9,47.5,93.3,7.05,Matches
20,Éder Álvarez Balanta\Eder-Alvarez-Balanta,co COL,MF,be Club Brugge,26,1993,3.2,58.4,0.63,14.1,38.8,9.69,0.63,58.1,0.63,0.94,66.7,0.63,0.00,39.4,206.3,112.5,6.56,1.88,0.00,0.94,0.94,41.3,37.8,91.7,2.81,Matches
21,Edson Álvarez\Edson-Alvarez,mx MEX,MF,nl Ajax,21,1997,4.2,68.8,4.05,20.7,40.7,12.4,3.10,67.6,0.00,0.24,0.0,0.24,0.00,49.0,279.3,136.2,3.81,0.95,0.24,1.19,0.71,57.1,51.4,90.0,2.38,Matches
22,Nadiem Amiri\Nadiem-Amiri,de GER,FWMF,de Leverkusen,22,1996,2.6,72.7,0.77,11.9,40.0,25.0,1.92,67.3,2.31,3.85,60.0,2.69,0.00,51.9,243.1,116.2,7.31,1.54,0.38,2.31,1.92,65.0,50.4,77.5,6.92,Matches
