Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
290,Frenkie de Jong\Frenkie-de-Jong,nl NED,MF,es Barcelona,22,1997,8.3,61.9,67.7,91.5,1138.7,255.1,26.5,28.0,94.8,26.0,28.1,92.7,8.67,9.76,88.9,0.00,0.02,-0.02,0.36,6.63,1.20,0.12,5.06,Matches
291,Siem de Jong\Siem-de-Jong,nl NED,MF,nl Ajax,30,1989,0.1,120.0,140.0,85.7,1940.0,210.0,60.0,80.0,75.0,10.0,10.0,100.0,30.0,30.0,100.0,0.00,0.00,0.00,0.00,20.0,0.00,0.00,0.00,Matches
292,Jorginho\Jorginho,it ITA,MF,eng Chelsea,27,1991,6.8,59.4,65.3,91.0,1141.8,292.2,24.4,26.8,91.2,24.0,25.0,95.9,9.71,12.1,80.5,0.00,0.06,-0.06,0.44,7.21,0.88,0.00,7.35,Matches
293,Jota\Jota,pt POR,FW,pt Benfica,20,1999,0.7,,,,,,,,,,,,,,,0.00,,,,,,,,Matches
294,Dušan Jovančić\Dusan-Jovancic,rs SRB,MF,rs Red Star,28,1990,2.0,25.5,34.0,75.0,546.0,144.0,9.50,13.5,70.4,10.5,12.0,87.5,4.50,6.00,75.0,0.00,0.00,0.00,1.00,1.50,0.00,0.00,2.00,Matches
295,Luka Jović\Luka-Jovic,rs SRB,FW,es Real Madrid,21,1997,1.3,24.6,31.5,78.0,446.2,48.5,13.8,19.2,72.0,6.15,6.92,88.9,3.85,3.85,100.0,0.00,0.23,-0.23,0.77,0.77,0.77,0.00,1.54,Matches
296,Vinicius Júnior\Vinicius-Junior,br BRA,FW,es Real Madrid,19,2000,2.2,31.8,39.5,80.5,407.3,92.3,22.3,25.0,89.1,7.73,9.55,81.0,1.36,3.64,37.5,0.45,0.50,-0.05,2.27,1.82,1.36,0.45,2.73,Matches
297,Zlatko Junuzović\Zlatko-Junuzovic,at AUT,MF,at RB Salzburg,31,1987,5.6,42.7,57.1,74.7,807.5,316.4,17.9,20.0,89.3,18.0,20.9,86.3,5.71,14.1,40.5,0.54,0.29,0.25,1.96,6.61,1.43,0.18,5.54,Matches
298,Damian Kądzior\Damian-Kadzior,pl POL,MF,hr Dinamo Zagreb,27,1992,0.7,11.4,18.6,61.5,184.3,81.4,4.29,4.29,100.0,4.29,7.14,60.0,1.43,4.29,33.3,1.43,0.14,1.29,1.43,1.43,1.43,1.43,0.00,Matches
299,Kevin Kampl\Kevin-Kampl,si SVN,MF,de RB Leipzig,28,1990,3.2,75.0,80.9,92.7,1203.4,241.9,36.9,39.1,94.4,32.5,34.1,95.4,3.75,5.31,70.6,0.00,0.00,0.00,0.63,10.3,0.94,0.00,4.06,Matches
300,Harry Kane\Harry-Kane,eng ENG,FW,eng Tottenham,26,1993,5.0,15.8,21.6,73.1,287.0,71.4,8.20,9.20,89.1,5.20,7.20,72.2,2.00,3.20,62.5,0.00,0.12,-0.12,0.60,2.00,1.80,0.40,3.00,Matches
301,Lee Kangin\Lee-Kangin,kr KOR,MFFW,es Valencia,18,2001,1.4,42.9,53.6,80.0,832.9,145.7,19.3,21.4,90.0,15.7,20.0,78.6,6.43,10.0,64.3,0.00,0.00,0.00,0.00,5.00,0.71,0.00,2.86,Matches
302,N'Golo Kanté\NGolo-Kante,fr FRA,MF,eng Chelsea,28,1991,4.0,44.5,49.5,89.9,740.3,210.8,23.3,25.5,91.2,15.3,16.3,93.8,4.50,5.25,85.7,0.00,0.20,-0.20,1.25,3.00,2.00,0.75,5.00,Matches
303,Vyacheslav Karavayev\Vyacheslav-Karavayev,ru RUS,DF,ru Zenit,24,1995,4.6,22.4,35.9,62.4,459.3,222.6,8.04,9.57,84.1,10.0,15.2,65.7,3.91,9.13,42.9,0.00,0.00,0.00,0.00,1.74,1.74,1.52,2.17,Matches
304,Thilo Kehrer\Thilo-Kehrer,de GER,DF,fr Paris S-G,22,1996,4.2,44.5,54.0,82.4,716.7,199.3,23.8,27.6,86.2,14.3,16.0,89.6,3.81,5.71,66.7,0.00,0.00,0.00,0.00,0.95,0.24,0.00,1.43,Matches
305,Naby Keïta\Naby-Keita,gn GUI,MFFW,eng Liverpool,24,1995,2.8,77.9,85.7,90.8,1391.8,301.1,35.4,37.1,95.2,32.1,35.4,90.9,8.93,11.1,80.6,0.00,0.18,-0.18,1.79,7.86,2.14,0.00,8.57,Matches
306,Mikhail Kerzhakov\Mikhail-Kerzhakov,ru RUS,GK,ru Zenit,32,1987,4.0,24.8,34.8,71.2,954.5,703.3,4.00,4.00,100.0,6.00,6.25,96.0,14.8,24.3,60.8,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,Matches
307,Sami Khedira\Sami-Khedira,de GER,MF,it Juventus,32,1987,2.9,43.4,51.4,84.6,693.4,89.0,20.3,21.7,93.7,17.9,20.0,89.7,3.45,6.21,55.6,0.00,0.14,-0.14,1.72,3.10,0.69,0.00,1.38,Matches
308,Joshua Kimmich\Joshua-Kimmich,de GER,DFMF,de Bayern Munich,24,1995,10.0,73.2,88.0,83.2,1484.2,398.0,29.3,32.2,91.0,31.5,35.4,89.0,11.7,19.1,61.3,0.40,0.21,0.19,2.60,6.40,2.20,0.30,7.00,Matches
309,Presnel Kimpembe\Presnel-Kimpembe,fr FRA,DF,fr Paris S-G,23,1995,10.0,61.0,65.8,92.7,1145.2,421.0,25.1,26.1,96.2,27.5,28.5,96.5,7.70,9.90,77.8,0.00,0.00,0.00,0.00,2.10,0.00,0.00,2.30,Matches
310,Simon Kjær\Simon-Kjaer,dk DEN,DF,it Atalanta,30,1989,1.0,25.0,33.0,75.8,511.0,248.0,11.0,11.0,100.0,8.00,11.0,72.7,5.00,9.00,55.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,Matches
311,Lukas Klostermann\Lukas-Klostermann,de GER,DF,de RB Leipzig,23,1996,9.0,59.9,68.2,87.8,1069.3,315.4,26.0,28.0,92.9,28.2,30.8,91.7,5.33,8.33,64.0,0.11,0.07,0.04,0.78,4.22,0.56,0.11,3.33,Matches
312,Anton Kochenkov\Anton-Kochenkov,ru RUS,GK,ru Loko Moscow,32,1987,1.0,14.0,31.0,45.2,612.0,455.0,1.00,1.00,100.0,4.00,4.00,100.0,9.00,26.0,34.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
313,Sekou Koita\Sekou-Koita,ml MLI,MF,at RB Salzburg,19,1999,0.0,1,3,33.3,30,8,0,2,0.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
314,Koke\Koke,es ESP,MF,es Atlético Madrid,27,1992,8.8,50.1,59.0,85.0,842.3,258.1,24.0,26.1,91.7,18.9,21.8,86.5,5.34,7.50,71.2,0.11,0.14,-0.02,1.93,5.11,1.14,0.23,4.20,Matches
315,Ondřej Kolář\Ondrej-Kolar,cz CZE,GK,cz Slavia Prague,24,1994,6.0,32.2,44.0,73.1,1092.5,609.5,2.17,2.17,100.0,13.5,13.8,97.6,16.0,27.3,58.5,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,Matches
316,Aleksandr Kolomeytsev\Aleksandr-Kolomeytsev,ru RUS,MFFW,ru Loko Moscow,30,1989,0.2,40.0,40.0,100.0,445.0,215.0,35.0,35.0,100.0,5.00,5.00,100.0,0.00,0.00,,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,Matches
317,Ibrahima Konaté\Ibrahima-Konate,fr FRA,DF,de RB Leipzig,20,1999,1.2,53.3,59.2,90.1,1069.2,366.7,19.2,19.2,100.0,25.8,26.7,96.9,8.33,12.5,66.7,0.00,0.00,0.00,0.00,5.00,0.00,0.00,3.33,Matches
318,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MFDF,es Valencia,26,1993,4.5,38.7,45.1,85.7,821.3,192.9,12.7,13.8,91.9,18.0,19.1,94.2,7.33,10.2,71.7,0.00,0.00,0.00,0.22,3.11,0.00,0.00,1.78,Matches
319,Youssouf Koné\Youssouf-Kone,ml MLI,DF,fr Lyon,24,1995,4.4,57.0,68.0,83.9,973.6,369.5,27.7,28.9,96.1,24.3,28.9,84.3,4.32,9.09,47.5,0.00,0.02,-0.02,0.45,3.41,0.23,0.23,2.95,Matches
320,Yevhen Konoplyanka\Yevhen-Konoplyanka,ua UKR,FWMF,ua Shakhtar,29,1989,2.0,37.5,43.0,87.2,452.0,61.5,27.5,29.0,94.8,7.50,9.50,78.9,0.50,1.50,33.3,0.00,0.00,0.00,0.50,1.00,0.00,0.00,1.00,Matches
321,Odilon Kossonou\Odilon-Kossonou,ci CIV,DF,be Club Brugge,18,2001,2.0,37.5,46.5,80.6,702.0,287.5,11.0,13.0,84.6,21.0,24.5,85.7,4.50,7.00,64.3,0.00,0.10,-0.10,1.00,3.00,0.50,0.00,5.50,Matches
322,Nianzou Kouassi\Nianzou-Kouassi,fr FRA,MF,fr Paris S-G,17,2002,0.8,56.3,58.8,95.7,877.5,117.5,30.0,30.0,100.0,21.3,22.5,94.4,2.50,3.75,66.7,0.00,0.00,0.00,1.25,3.75,0.00,0.00,2.50,Matches
323,Kalidou Koulibaly\Kalidou-Koulibaly,sn SEN,DF,it Napoli,28,1991,7.0,48.7,57.4,84.8,1022.7,411.7,15.1,15.9,95.5,25.0,27.9,89.7,7.71,12.6,61.4,0.00,0.00,0.00,0.14,3.43,0.00,0.00,3.29,Matches
324,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,eng Chelsea,25,1994,6.8,52.8,58.8,89.8,963.1,277.2,24.9,26.5,93.9,20.6,22.8,90.3,6.18,7.50,82.4,0.00,0.18,-0.18,1.76,5.59,1.18,0.00,6.62,Matches
325,Viktor Kovalenko\Viktor-Kovalenko,ua UKR,MF,ua Shakhtar,23,1996,3.7,30.5,36.5,83.7,470.8,124.1,16.5,18.4,89.7,12.2,13.2,91.8,1.08,2.70,40.0,0.27,0.11,0.16,0.81,2.16,1.35,0.27,2.97,Matches
326,Toni Kroos\Toni-Kroos,de GER,MF,es Real Madrid,29,1990,6.0,81.2,89.2,91.0,1665.7,514.5,31.7,32.8,96.4,32.2,34.3,93.7,16.0,18.8,85.0,0.17,0.25,-0.08,4.33,13.0,2.50,0.17,11.5,Matches
327,Grzegorz Krychowiak\Grzegorz-Krychowiak,pl POL,MF,ru Loko Moscow,29,1990,5.9,23.4,29.7,78.9,444.9,107.3,9.32,11.5,80.9,10.7,12.7,84.0,2.71,4.58,59.3,0.00,0.02,-0.02,0.34,2.88,0.34,0.00,2.54,Matches
328,Serhiy Kryvtsov\Serhiy-Kryvtsov,ua UKR,DF,ua Shakhtar,28,1991,6.0,44.2,53.7,82.3,1061.5,300.2,8.67,9.33,92.9,24.8,26.7,93.1,10.0,16.7,60.0,0.00,0.05,-0.05,0.17,2.00,0.00,0.00,1.00,Matches
329,Ondřej Kúdela\Ondrej-Kudela,cz CZE,DF,cz Slavia Prague,32,1987,6.0,42.2,48.2,87.5,974.2,240.8,10.5,11.5,91.3,19.3,20.8,92.8,12.0,15.2,79.1,0.00,0.00,0.00,0.00,2.83,0.00,0.00,1.33,Matches
330,Daniil Kulikov\Daniil-Kulikov,ru RUS,MF,ru Loko Moscow,21,1998,0.3,20.0,26.7,75.0,266.7,90.0,16.7,23.3,71.4,3.33,3.33,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
331,Layvin Kurzawa\Layvin-Kurzawa,fr FRA,DF,fr Paris S-G,26,1992,2.3,50.4,57.8,87.2,760.4,140.9,32.6,34.8,93.8,14.3,17.0,84.6,3.04,4.78,63.6,0.00,0.00,0.00,0.00,0.87,0.00,0.00,0.87,Matches
332,Daler Kuzyaev\Daler-Kuzyaev,ru RUS,MF,ru Zenit,26,1993,1.5,32.7,40.0,81.7,510.0,139.3,16.7,19.3,86.2,14.0,16.0,87.5,1.33,2.67,50.0,0.00,0.40,-0.40,2.67,1.33,0.67,0.00,4.00,Matches
333,Solomon Kvirkvelia\Solomon-Kvirkvelia,ge GEO,DF,ru Loko Moscow,27,1992,1.0,32.0,36.0,88.9,783.0,206.0,8.00,8.00,100.0,16.0,19.0,84.2,8.00,9.00,88.9,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,Matches
334,Rajiv van La Parra\Rajiv-van-La-Parra,nl NED,FW,rs Red Star,28,1991,3.9,19.5,21.3,91.6,266.7,63.8,11.5,12.6,91.8,7.18,7.95,90.3,0.26,0.26,100.0,0.00,0.03,-0.03,0.51,1.03,0.77,0.26,2.05,Matches
335,Zakaria Labyad\Zakaria-Labyad,ma MAR,FW,nl Ajax,26,1993,0.5,16.0,22.0,72.7,178.0,84.0,10.0,10.0,100.0,6.00,10.0,60.0,0.00,2.00,0.0,0.00,0.00,0.00,0.00,0.00,2.00,0.00,4.00,Matches
336,Konrad Laimer\Konrad-Laimer,at AUT,MFDF,de RB Leipzig,22,1997,7.9,55.3,67.1,82.5,908.4,254.7,28.6,30.9,92.6,20.4,25.1,81.3,4.56,8.23,55.4,0.00,0.11,-0.11,1.39,6.71,1.77,0.25,5.06,Matches
337,Érik Lamela\Erik-Lamela,ar ARG,MFFW,eng Tottenham,27,1992,2.6,33.1,37.3,88.7,464.6,108.5,18.5,19.6,94.1,12.3,13.1,94.1,0.77,2.31,33.3,0.77,0.08,0.69,0.77,1.15,1.54,0.77,3.46,Matches
338,Noa Lang\Noa-Lang,nl NED,FW,nl Ajax,20,1999,1.4,35.0,46.4,75.4,542.1,107.1,19.3,25.0,77.1,11.4,12.9,88.9,3.57,5.71,62.5,0.00,0.07,-0.07,1.43,2.86,0.00,0.00,4.29,Matches
339,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,eng Manchester City,25,1994,2.4,62.9,72.1,87.3,1274.6,395.4,26.7,30.0,88.9,26.3,28.3,92.6,10.0,13.3,75.0,0.00,0.00,0.00,0.00,5.83,0.00,0.00,2.08,Matches
340,Valentino Lazaro\Valentino-Lazaro,at AUT,DF,it Inter,23,1996,1.2,42.5,58.3,72.9,758.3,268.3,20.8,25.0,83.3,15.0,20.0,75.0,5.83,10.8,53.8,0.83,0.00,0.83,0.00,4.17,0.00,0.00,4.17,Matches
341,Thomas Lemar\Thomas-Lemar,fr FRA,MF,es Atlético Madrid,23,1995,2.6,36.9,42.7,86.5,721.2,157.7,15.4,15.8,97.6,15.4,19.6,78.4,5.38,6.54,82.4,0.00,0.19,-0.19,0.77,3.08,1.54,0.00,3.85,Matches
342,Mario Lemina\Mario-Lemina,ga GAB,MF,tr Galatasaray,25,1993,3.7,29.5,34.6,85.2,503.8,106.8,12.7,14.9,85.5,13.2,15.1,87.5,2.70,3.24,83.3,0.00,0.00,0.00,0.27,1.08,0.00,0.00,1.62,Matches
343,Clément Lenglet\Clement-Lenglet,fr FRA,DF,es Barcelona,24,1995,8.0,63.8,71.6,89.0,1369.0,457.9,19.6,20.9,94.0,33.0,34.4,96.0,10.9,15.5,70.2,0.00,0.00,0.00,0.00,3.38,0.25,0.00,3.88,Matches
344,Marin Leovac\Marin-Leovac,hr CRO,DF,hr Dinamo Zagreb,30,1988,5.0,31.6,45.2,69.9,525.8,270.0,16.4,19.8,82.8,12.0,15.8,75.9,2.80,7.40,37.8,0.20,0.08,0.12,1.00,2.40,0.60,0.20,3.80,Matches
