Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Tammy Abraham\Tammy-Abraham,eng ENG,FW,eng Chelsea,21,1997,6.3,18.1,15.6,2.54,0.00,0.00,3.49,0.48,0.48,0.00,0.00,0.00,0.00,10.3,4.76,3.02,0.63,13.3,1.43,0.00,1.27,12.2,0.00,0.48,0.48,1.11,Matches
2,Tyler Adams\Tyler-Adams,us USA,DFMF,de RB Leipzig,20,1999,0.9,90.0,82.2,7.78,1.11,0.00,14.4,1.11,1.11,0.00,0.00,0.00,0.00,65.6,15.6,8.89,14.4,65.6,2.22,6.67,0.00,74.4,0.00,1.11,5.56,4.44,Matches
3,Arijan Ademi\Arijan-Ademi,mk MKD,MFDF,hr Dinamo Zagreb,28,1991,5.7,28.9,27.7,1.23,0.88,0.00,4.56,0.18,0.18,0.00,0.00,0.00,0.00,22.8,3.68,2.46,3.16,22.6,2.28,0.00,0.35,25.4,0.00,0.35,0.35,0.00,Matches
4,Adrián\Adrian,es ESP,GK,eng Liverpool,32,1987,3.3,29.7,22.7,6.97,2.42,0.00,2.42,0.91,0.00,0.00,0.00,0.00,0.00,15.2,3.94,10.6,3.94,20.6,0.00,0.00,4.24,23.9,0.00,0.30,0.30,0.00,Matches
5,Sergio Agüero\Sergio-Aguero,ar ARG,FW,eng Manchester City,31,1988,2.2,22.7,22.3,0.45,0.00,0.45,5.91,0.00,1.82,0.00,0.00,0.00,0.00,15.0,5.45,2.27,2.73,17.7,0.91,0.00,0.45,14.5,0.00,0.45,1.36,2.27,Matches
6,Manuel Akanji\Manuel-Akanji,ch SUI,DF,de Dortmund,24,1995,5.8,66.9,64.5,2.41,2.07,0.00,8.62,1.90,0.00,0.00,0.00,0.00,0.00,55.5,4.48,6.90,11.6,51.9,2.24,0.34,0.34,59.0,0.17,0.86,0.86,0.17,Matches
7,David Alaba\David-Alaba,at AUT,DF,de Bayern Munich,27,1992,7.5,79.1,77.2,1.87,1.20,0.27,9.33,1.47,0.53,0.00,0.00,0.00,0.00,65.7,5.07,8.27,66.7,9.07,1.73,0.67,0.00,71.5,0.00,0.67,0.40,0.93,Matches
8,Lucas Alario\Lucas-Alario,ar ARG,FW,de Leverkusen,26,1992,2.4,19.6,17.5,2.08,0.00,0.00,7.08,0.00,0.42,0.00,0.00,0.00,0.00,13.8,4.58,1.25,2.08,15.8,0.83,0.00,0.00,16.7,0.00,0.00,0.00,0.42,Matches
9,Jordi Alba\Jordi-Alba,es ESP,DF,es Barcelona,30,1989,3.9,59.2,51.8,7.44,3.08,0.26,5.90,1.28,1.54,0.00,0.00,0.00,0.00,42.1,10.5,6.67,44.1,8.21,1.79,4.36,0.51,49.7,0.00,0.51,0.77,2.31,Matches
10,Paco Alcácer\Paco-Alcacer,es ESP,FW,de Dortmund,25,1993,1.3,18.5,16.9,1.54,0.00,0.00,5.38,0.77,0.77,0.00,0.00,0.00,0.00,10.0,4.62,3.85,1.54,14.6,0.77,0.77,0.77,13.1,0.00,0.77,0.77,0.77,Matches
11,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,de Bayern Munich,28,1991,9.1,91.4,88.7,2.75,2.20,0.77,16.3,4.62,0.22,0.22,0.00,0.00,0.00,65.2,12.2,14.1,4.29,83.0,2.53,0.22,0.33,83.5,0.11,1.32,1.32,0.66,Matches
12,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,eng Tottenham,30,1989,6.0,55.3,54.2,1.17,1.00,0.17,6.67,1.17,0.00,0.00,0.00,0.00,0.00,42.2,2.17,11.0,11.0,41.5,2.17,0.17,0.00,47.8,0.00,0.67,0.17,0.17,Matches
13,Carles Aleñá\Carles-Alena,es ESP,MF,es Barcelona,21,1998,1.0,99.0,93.0,6.00,3.00,1.00,26.0,2.00,0.00,3.00,0.00,3.00,0.00,74.0,20.0,5.00,88.0,8.00,2.00,0.00,0.00,84.0,0.00,2.00,4.00,5.00,Matches
14,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,eng Liverpool,20,1998,6.5,113.2,91.5,21.7,2.46,0.15,13.5,8.00,6.00,5.38,0.77,3.08,0.00,55.5,22.6,35.1,12.6,84.3,1.54,13.8,0.62,84.5,0.46,2.00,1.69,3.85,Matches
15,Alisson\Alisson,br BRA,GK,eng Liverpool,26,1992,5.0,34.8,28.2,6.60,1.20,0.20,2.40,2.20,0.00,0.00,0.00,0.00,0.00,25.2,3.40,6.20,3.40,25.0,0.40,0.00,5.00,31.6,0.00,0.60,0.00,0.00,Matches
16,Allan\Allan,br BRA,MF,it Napoli,28,1991,4.9,55.9,54.1,1.84,1.84,0.41,10.4,2.04,0.00,0.00,0.00,0.00,0.00,36.7,8.57,10.6,5.31,48.4,1.84,0.00,0.00,47.8,0.00,1.22,1.02,0.61,Matches
17,Dele Alli\Dele-Alli,eng ENG,MFFW,eng Tottenham,23,1996,5.7,39.1,35.8,3.33,1.23,0.53,13.0,0.53,1.05,0.18,0.00,0.00,0.00,31.1,4.39,3.68,2.98,34.0,1.23,0.35,0.00,31.9,0.00,0.70,2.11,0.53,Matches
18,André Almeida\Andre-Almeida,pt POR,DF,pt Benfica,28,1990,1.0,45.0,37.0,8.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,21.0,8.00,16.0,2.00,32.0,3.00,8.00,0.00,34.0,0.00,0.00,2.00,1.00,Matches
19,Marcos Alonso\Marcos-Alonso,es ESP,DF,eng Chelsea,28,1990,4.4,64.5,54.3,10.2,1.14,0.00,14.8,1.36,2.73,0.00,0.00,0.00,0.00,40.9,11.4,12.3,47.3,4.77,2.05,9.09,0.00,51.6,0.00,1.36,1.36,2.50,Matches
20,Éder Álvarez Balanta\Eder-Alvarez-Balanta,co COL,MF,be Club Brugge,26,1993,3.2,47.2,46.9,0.31,0.31,0.63,9.06,1.56,0.00,0.00,0.00,0.00,0.00,32.2,7.19,7.81,36.9,7.19,1.88,0.00,0.63,40.3,0.00,1.56,0.63,0.94,Matches
21,Edson Álvarez\Edson-Alvarez,mx MEX,MF,nl Ajax,21,1997,4.2,56.7,55.5,1.19,1.19,0.24,14.5,0.48,0.24,0.00,0.00,0.00,0.00,45.5,5.71,5.48,3.33,49.5,2.14,0.00,0.24,51.4,0.00,0.24,0.71,0.71,Matches
22,Nadiem Amiri\Nadiem-Amiri,de GER,FWMF,de Leverkusen,22,1996,2.6,56.5,51.2,5.38,0.77,0.00,17.7,1.92,0.77,3.08,1.15,1.92,0.00,37.3,12.3,6.92,5.00,48.8,0.00,1.54,0.77,44.6,0.00,0.38,1.15,3.46,Matches
23,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,de RB Leipzig,18,2000,2.0,95.0,93.5,1.50,1.50,0.00,8.50,2.00,0.00,0.00,0.00,0.00,0.00,82.5,4.50,8.00,15.0,78.5,1.00,0.00,0.00,88.0,0.00,1.00,1.00,0.00,Matches
24,Joachim Andersen\Joachim-Andersen,dk DEN,DF,fr Lyon,23,1996,4.4,53.0,50.9,2.05,1.59,0.00,7.95,2.50,0.00,0.00,0.00,0.00,0.00,36.8,8.64,7.50,7.27,40.9,3.18,0.45,0.00,48.2,0.00,0.45,0.00,0.45,Matches
25,Florin Andone\Florin-Andone,ro ROU,FW,tr Galatasaray,26,1993,1.8,19.4,16.7,2.78,0.00,0.00,6.11,0.00,0.00,0.00,0.00,0.00,0.00,12.8,3.33,3.33,1.11,14.4,1.67,0.00,0.00,12.2,0.00,0.56,0.56,3.33,Matches
26,Benjamin André\Benjamin-Andre,fr FRA,MF,fr Lille,28,1990,4.5,41.8,40.2,1.56,1.33,0.22,10.2,0.89,0.67,0.00,0.00,0.00,0.00,25.3,10.0,6.44,4.22,30.7,4.00,0.22,0.67,34.4,0.00,0.22,1.11,0.44,Matches
27,Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,gr Olympiacos,29,1990,3.5,20.3,18.6,1.71,0.00,0.00,4.57,0.57,0.57,0.00,0.00,0.00,0.00,12.0,5.14,3.14,1.43,14.6,1.71,0.00,1.43,14.9,0.00,0.57,0.86,1.14,Matches
28,Angeliño\Angelino,es ESP,DF,de RB Leipzig,22,1997,4.0,58.5,49.8,8.75,1.50,0.25,4.75,0.75,3.75,1.25,0.75,0.25,0.00,34.0,11.8,12.8,44.3,5.50,2.50,6.00,0.25,42.8,1.00,0.50,0.50,2.75,Matches
29,Angeliño\Angelino,es ESP,DF,eng Manchester City,22,1997,1.0,80.0,71.0,9.00,1.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,61.0,9.00,10.0,67.0,4.00,1.00,8.00,0.00,71.0,1.00,1.00,1.00,2.00,Matches
30,Marcos Antônio\Marcos-Antonio,br BRA,MF,ua Shakhtar,19,2000,0.3,100.0,93.3,6.67,6.67,0.00,26.7,3.33,0.00,0.00,0.00,0.00,0.00,63.3,23.3,13.3,3.33,90.0,0.00,0.00,3.33,83.3,0.00,3.33,0.00,0.00,Matches
31,Houssem Aouar\Houssem-Aouar,fr FRA,MFFW,fr Lyon,21,1998,7.9,39.7,37.8,1.90,0.63,0.25,11.0,1.14,1.39,0.51,0.13,0.13,0.00,26.6,8.23,4.94,4.94,33.0,0.38,0.63,0.38,31.6,0.25,0.63,0.89,1.52,Matches
32,Youssef El-Arabi\Youssef-El-Arabi,ma MAR,FW,gr Olympiacos,32,1987,3.1,19.4,16.5,2.90,0.32,0.00,2.90,0.32,0.32,0.00,0.00,0.00,0.00,11.3,3.87,4.19,4.19,12.3,1.94,0.00,0.00,12.9,0.32,0.00,1.29,1.29,Matches
33,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,de Leverkusen,30,1989,4.6,82.6,80.2,2.39,1.52,0.22,20.4,2.17,0.43,0.65,0.22,0.43,0.00,58.5,13.0,11.1,11.5,67.2,3.04,0.22,0.43,71.7,0.22,0.65,1.74,0.87,Matches
34,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,fr Lille,23,1996,3.1,28.7,28.4,0.32,0.00,0.00,7.10,0.65,1.61,0.00,0.00,0.00,0.00,16.5,8.06,4.19,20.0,4.84,2.58,0.32,0.32,20.0,0.00,0.65,0.32,1.29,Matches
