Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
28,Angeliño\Angelino,es ESP,DF,de RB Leipzig,22,1997,4.0,0.00,0.00,0.00,0.75,0.50,0.00,3.75,1.00,0.00,0.00,0.00,0.00,6.75,0.25,1.75,12.5,Matches
29,Angeliño\Angelino,es ESP,DF,eng Manchester City,22,1997,1.0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,7.00,2.00,0.00,100.0,Matches
30,Marcos Antônio\Marcos-Antonio,br BRA,MF,ua Shakhtar,19,2000,0.3,0.00,0.00,0.00,0.00,6.67,0.00,0.00,3.33,3.33,0.00,0.00,0.00,20.0,3.33,3.33,50.0,Matches
31,Houssem Aouar\Houssem-Aouar,fr FRA,MFFW,fr Lyon,21,1998,7.9,0.13,0.00,0.00,1.14,2.66,0.13,1.39,0.51,1.27,0.13,0.00,0.00,6.33,0.63,0.89,41.7,Matches
32,Youssef El-Arabi\Youssef-El-Arabi,ma MAR,FW,gr Olympiacos,32,1987,3.1,0.32,0.00,0.00,1.94,1.61,0.32,0.32,0.00,0.00,0.00,0.00,0.00,3.23,2.26,4.84,31.8,Matches
33,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,de Leverkusen,30,1989,4.6,0.43,0.00,0.00,1.96,1.96,0.00,0.43,0.22,0.65,0.00,0.00,0.00,13.0,0.22,1.30,14.3,Matches
34,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,fr Lille,23,1996,3.1,0.32,0.00,0.00,1.29,0.97,0.00,1.61,1.29,0.32,0.00,0.00,0.00,6.13,0.65,1.94,25.0,Matches
35,Alphonse Areola\Alphonse-Areola,fr FRA,GK,es Real Madrid,26,1993,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.33,0.00,0.00,,Matches
36,Santiago Arias\Santiago-Arias,co COL,DF,es Atlético Madrid,27,1992,2.0,0.00,0.00,0.00,0.50,2.50,0.00,4.00,2.00,1.50,0.00,0.00,0.00,10.5,3.50,2.00,63.6,Matches
37,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,eng Chelsea,24,1994,6.0,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,3.17,0.17,0.00,100.0,Matches
38,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,it Inter,30,1988,2.9,0.34,0.00,0.00,1.03,1.72,0.00,1.03,0.34,0.34,0.00,0.00,0.00,7.59,1.03,0.00,100.0,Matches
39,Marco Asensio\Marco-Asensio,es ESP,FWMF,es Real Madrid,23,1996,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,,Matches
40,Majeed Ashimeru\Majeed-Ashimeru,gh GHA,MFFW,at RB Salzburg,21,1997,0.7,0.00,0.00,0.00,0.00,1.43,0.00,0.00,0.00,2.86,0.00,0.00,0.00,10.0,0.00,1.43,0.0,Matches
41,Iyayi Atiemwen\Iyayi-Atiemwen,ng NGA,FW,hr Dinamo Zagreb,23,1996,0.1,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,10.0,10.0,0.00,100.0,Matches
42,Serge Aurier\Serge-Aurier,ci CIV,DF,eng Tottenham,26,1992,5.0,0.00,0.00,0.00,1.40,1.80,0.00,2.60,0.60,1.00,0.00,0.00,0.00,10.0,3.20,1.00,76.2,Matches
43,Sardar Azmoun\Sardar-Azmoun,ir IRN,FW,ru Zenit,24,1995,5.1,0.20,0.00,0.00,1.57,0.20,0.59,0.39,0.39,0.20,0.00,0.00,0.20,3.53,2.94,3.53,45.5,Matches
44,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,eng Chelsea,29,1989,6.8,0.29,0.00,0.00,1.62,0.15,0.00,2.94,0.44,1.32,0.00,0.00,0.00,8.68,2.21,1.03,68.2,Matches
45,Ryan Babel\Ryan-Babel,nl NED,FW,tr Galatasaray,32,1986,3.7,0.27,0.00,0.00,1.89,1.62,0.54,0.54,0.27,0.27,0.00,0.00,0.00,4.59,1.89,2.43,43.8,Matches
46,Leon Bailey\Leon-Bailey,jm JAM,FWMF,de Leverkusen,21,1997,1.3,0.00,0.00,0.00,0.77,2.31,0.00,2.31,0.77,0.77,0.00,0.00,0.00,7.69,0.77,0.77,50.0,Matches
47,Gareth Bale\Gareth-Bale,wal WAL,FW,es Real Madrid,30,1989,1.3,0.00,0.00,0.00,0.77,1.54,0.00,2.31,2.31,0.00,0.00,0.00,0.00,1.54,0.77,0.77,50.0,Matches
48,Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DF,de Dortmund,20,1999,0.1,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Matches
49,Jonathan Bamba\Jonathan-Bamba,fr FRA,FWMF,fr Lille,23,1996,3.1,0.00,0.00,0.00,0.65,0.65,0.00,2.90,0.32,0.97,0.00,0.00,0.00,8.06,0.97,1.61,37.5,Matches
50,Nicolò Barella\Nicolo-Barella,it ITA,MF,it Inter,22,1997,3.2,0.63,0.00,0.00,2.50,4.06,0.00,0.31,1.25,1.88,0.00,0.00,0.00,9.38,0.94,0.63,60.0,Matches
51,Dmitri Barinov\Dmitri-Barinov,ru RUS,MF,ru Loko Moscow,22,1996,5.0,0.60,0.00,0.00,3.20,1.00,0.00,0.40,0.60,1.00,0.00,0.00,0.00,7.40,1.00,1.00,50.0,Matches
52,Ross Barkley\Ross-Barkley,eng ENG,FWMF,eng Chelsea,25,1993,1.8,0.00,0.00,0.00,0.56,2.22,0.00,0.00,0.56,0.56,0.00,0.00,0.00,3.89,0.00,0.00,,Matches
53,Wílmar Barrios\Wilmar-Barrios,co COL,MF,ru Zenit,25,1993,6.0,0.33,0.00,0.00,1.50,2.50,0.00,0.00,2.00,2.50,0.00,0.00,0.00,12.0,0.67,1.17,36.4,Matches
54,Musa Barrow\Musa-Barrow,gm GAM,FW,it Atalanta,20,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
55,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,eng Chelsea,25,1993,1.0,0.00,0.00,0.00,5.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,6.00,2.00,3.00,40.0,Matches
56,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,de Leverkusen,31,1988,3.8,0.00,0.00,0.00,2.11,0.53,0.00,0.53,1.05,2.37,0.00,0.00,0.00,11.6,1.84,0.53,77.8,Matches
57,Ömer Bayram\Omer-Bayram,tr TUR,FWMF,tr Galatasaray,28,1991,2.8,0.00,0.00,0.00,0.71,2.14,0.00,2.50,0.71,0.36,0.00,0.00,0.00,7.14,0.00,2.86,0.0,Matches
58,Donny van de Beek\Donny-van-de-Beek,nl NED,MF,nl Ajax,22,1997,5.0,0.20,0.00,0.00,1.20,0.80,0.20,0.60,1.00,1.60,0.00,0.00,0.00,10.0,1.20,1.20,50.0,Matches
59,Younès Belhanda\Younes-Belhanda,ma MAR,MF,tr Galatasaray,29,1990,3.4,0.29,0.00,0.00,2.65,1.18,0.00,0.00,0.29,1.76,0.00,0.00,0.00,6.47,0.29,0.00,100.0,Matches
60,Karim Bellarabi\Karim-Bellarabi,de GER,FWMF,de Leverkusen,29,1990,4.6,0.43,0.00,0.00,1.96,0.22,0.65,5.00,0.65,0.87,0.00,0.00,0.00,10.9,0.00,0.43,0.0,Matches
61,Lars Bender\Lars-Bender,de GER,DF,de Leverkusen,30,1989,3.0,0.00,0.00,0.00,1.67,0.67,0.33,2.67,2.33,3.00,0.00,0.00,0.00,7.67,1.33,2.33,36.4,Matches
62,Sven Bender\Sven-Bender,de GER,DF,de Leverkusen,30,1989,6.0,0.00,0.00,0.00,1.00,0.50,0.00,0.00,2.83,1.33,0.00,0.00,0.00,11.3,2.83,0.83,77.3,Matches
63,Rodrigo Bentancur\Rodrigo-Bentancur,uy URU,MF,it Juventus,22,1997,4.7,0.43,0.00,0.00,2.34,1.70,0.21,0.64,1.70,2.77,0.00,0.21,0.00,10.0,2.34,1.28,64.7,Matches
64,Karim Benzema\Karim-Benzema,fr FRA,FW,es Real Madrid,31,1987,7.2,0.00,0.00,0.00,0.28,0.28,0.69,0.69,0.28,0.28,0.00,0.00,0.00,2.78,1.25,1.53,45.0,Matches
65,Yassine Benzia\Yassine-Benzia,dz ALG,MF,gr Olympiacos,24,1994,0.9,2.22,1.11,1.11,3.33,6.67,0.00,1.11,0.00,4.44,0.00,0.00,0.00,4.44,1.11,1.11,50.0,Matches
