Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
713,Niklas Süle\Niklas-Sule,de GER,DF,de Bayern Munich,23,1995,6,334,56,33.7,3.7,0.54,90,0.54,1.08,39,0.00,3.00,4.59,0.54,4.05,+4.04,+1.30,2.32,1.24,1.08,+1.07,-1.39,Matches
714,Bosko Sutalo\Bosko-Sutalo,hr CRO,DF,it Atalanta,19,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
715,Aleksei Sutormin\Aleksei-Sutormin,ru RUS,MF,ru Zenit,25,1994,2,27,14,5.0,0.3,0.00,,0.00,6.67,14,3.33,1.50,0.00,3.33,-3.33,-3.33,-3.16,0.33,1.00,-0.67,-0.71,-0.38,Matches
716,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,it Juventus,29,1990,7,630,90,87.5,7.0,1.00,90,1.00,0.00,,0.14,2.29,1.71,0.86,0.86,+0.86,-1.14,1.49,1.13,0.36,+0.36,-0.01,Matches
717,Dominik Szoboszlai\Dominik-Szoboszlai,hu HUN,MF,at RB Salzburg,18,2000,5,389,78,72.0,4.3,1.16,78,0.23,0.00,,0.23,1.40,2.79,2.09,0.70,+0.69,+0.69,1.95,2.19,-0.23,-0.24,-1.40,Matches
718,Adel Taarabt\Adel-Taarabt,ma MAR,MF,pt Benfica,30,1989,4,360,90,66.7,4.0,1.00,90,1.00,0.00,,0.50,1.00,1.75,1.75,0.00,0.00,+0.50,1.43,1.73,-0.30,-0.31,-0.29,Matches
719,Dušan Tadić\Dusan-Tadic,rs SRB,FW,nl Ajax,30,1988,6,540,90,100.0,6.0,1.00,90,1.00,0.00,,0.00,1.80,2.00,1.00,1.00,+1.00,,1.12,1.87,-0.75,-0.74,,Matches
720,Nicolás Tagliafico\Nicolas-Tagliafico,ar ARG,DF,nl Ajax,26,1992,6,538,90,99.6,6.0,1.00,90,0.83,0.00,,0.00,1.80,2.00,1.00,1.00,+1.00,+1.00,1.10,1.85,-0.75,-0.75,-2.53,Matches
721,Jonathan Tah\Jonathan-Tah,de GER,DF,de Leverkusen,23,1996,5,450,90,83.3,5.0,1.00,90,1.00,0.00,,0.20,1.20,1.00,1.40,-0.40,-0.40,+1.60,0.84,1.18,-0.34,-0.35,+0.02,Matches
722,Taison\Taison,br BRA,MFFW,ua Shakhtar,31,1988,5,450,90,83.3,5.0,1.00,90,1.00,0.00,,0.00,1.00,1.40,2.40,-1.00,-1.00,-1.00,1.22,2.24,-1.04,-1.03,-0.40,Matches
