Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Adrián\Adrian,es ESP,GK,eng Liverpool,32,1987,3.3,2.42,0.30,0.00,0.00,0.00,1.94,0.37,-0.48,-0.49,5.76,10.6,54.3,25.2,4.24,33.7,35.5,4.55,46.7,39.1,4.55,0.00,0.0,0.00,0.00,3.58,Matches
2,Alisson\Alisson,br BRA,GK,eng Liverpool,26,1992,5.0,0.80,0.00,0.00,0.40,0.00,0.82,0.26,0.02,+0.01,5.00,8.20,61.0,29.4,5.00,23.8,30.7,5.40,22.2,31.7,6.20,0.60,9.7,2.40,2.40,3.92,Matches
3,Alphonse Areola\Alphonse-Areola,fr FRA,GK,es Real Madrid,26,1993,1.5,0.67,0.00,0.00,0.00,0.00,1.07,0.52,0.40,+0.38,4.00,10.7,37.5,31.3,4.67,29.8,33.9,7.33,18.2,30.3,6.67,1.33,20.0,0.67,0.67,10.1,Matches
4,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,eng Chelsea,24,1994,6.0,1.50,0.00,0.00,0.17,0.33,1.22,0.37,0.05,+0.05,6.17,11.8,52.1,21.7,4.50,37.7,36.0,7.50,48.9,44.3,7.17,0.50,7.0,0.83,0.83,2.72,Matches
5,Milan Borjan\Milan-Borjan,ca CAN,GK,rs Red Star,31,1987,6.0,3.33,0.33,0.00,0.67,0.00,3.13,0.33,-0.20,-0.19,7.83,22.2,35.3,22.5,4.00,61.5,46.3,11.8,70.4,49.6,14.2,2.33,16.5,0.67,0.67,1.82,Matches
6,Claudio Bravo\Claudio-Bravo,cl CHI,GK,eng Manchester City,36,1983,1.4,1.43,0.00,0.00,0.00,0.00,0.79,0.35,-0.64,-0.68,3.57,7.86,45.5,28.6,3.57,22.5,29.5,5.71,25.0,26.9,7.14,1.43,20.0,1.43,1.44,11.4,Matches
7,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,it Juventus,41,1978,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,+0.03,8.00,14.0,57.1,28.0,7.00,35.7,32.1,11.0,36.4,33.2,15.0,0.00,0.0,0.00,0.00,9.40,Matches
8,Roman Bürki\Roman-Burki,ch SUI,GK,de Dortmund,28,1990,8.0,1.38,0.00,0.00,0.13,0.00,1.57,0.33,0.20,+0.19,3.63,12.4,29.3,25.3,5.38,40.6,36.8,5.00,42.5,46.2,5.13,0.50,9.8,0.50,0.50,1.69,Matches
9,Willy Caballero\Willy-Caballero,ar ARG,GK,eng Chelsea,37,1981,2.0,3.50,0.50,0.00,0.50,0.00,3.30,0.47,-0.20,-0.20,7.50,17.5,42.9,27.5,5.50,45.5,37.3,12.0,41.7,37.3,7.00,0.00,0.0,0.50,0.50,5.70,Matches
10,Leonardo César Jardim\Leonardo-Cesar-Jardim,br BRA,GK,fr Lille,24,1995,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,+0.11,5.00,20.0,25.0,20.0,0.00,50.0,46.0,10.0,100.0,68.0,5.00,0.00,0.0,5.00,4.74,97.5,Matches
