Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
27,Anthony Lopes\Anthony-Lopes,pt POR,GK,fr Lyon,28,1990,10,10,900,10.0,1.40,1.40,3.70,2.60,70.3,0.40,0.20,0.40,0.20,20.0,0.30,0.30,0.00,0.00,0.0,Matches
28,Andrey Lunyov\Andrey-Lunyov,ru RUS,GK,ru Zenit,27,1991,2,2,180,2.0,1.00,1.00,7.00,6.50,92.9,0.50,0.50,0.00,0.00,0.0,0.50,0.50,0.00,0.00,0.0,Matches
29,Mike Maignan\Mike-Maignan,fr FRA,GK,fr Lille,23,1995,6,6,521,5.8,2.41,2.42,5.34,3.28,58.1,0.00,0.17,0.86,0.00,0.0,0.17,0.17,0.00,0.00,0.0,Matches
30,Guilherme Marinato\Guilherme-Marinato,ru RUS,GK,ru Loko Moscow,33,1985,5,5,450,5.0,1.80,1.80,7.00,5.60,74.3,0.20,0.00,0.80,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
31,Alex Meret\Alex-Meret,it ITA,GK,it Napoli,22,1997,6,6,540,6.0,0.67,0.67,2.83,2.50,88.2,0.50,0.50,0.00,0.50,50.0,0.33,0.33,0.00,0.00,0.0,Matches
32,Simon Mignolet\Simon-Mignolet,be BEL,GK,be Club Brugge,31,1988,6,6,540,6.0,2.00,2.00,4.00,2.00,50.0,0.00,0.50,0.50,0.17,16.7,0.00,0.00,0.00,0.00,,Matches
33,Fernando Muslera\Fernando-Muslera,uy URU,GK,tr Galatasaray,33,1986,6,6,540,6.0,2.33,2.33,7.67,5.67,73.9,0.00,0.33,0.67,0.17,16.7,0.33,0.33,0.00,0.00,0.0,Matches
34,Yvon Mvogo\Yvon-Mvogo,ch SUI,GK,de RB Leipzig,25,1994,1,0,27,0.3,0.00,0.00,6.67,6.67,100.0,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,Matches
35,Keylor Navas\Keylor-Navas,cr CRC,GK,fr Paris S-G,32,1986,9,9,798,8.9,0.67,0.68,3.15,2.47,78.6,0.67,0.11,0.22,0.56,55.6,0.11,0.00,0.11,0.00,100.0,Matches
36,Neto\Neto,br BRA,GK,es Barcelona,30,1989,1,1,90,1.0,1.00,1.00,7.00,6.00,85.7,1.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
37,Manuel Neuer\Manuel-Neuer,de GER,GK,de Bayern Munich,33,1986,11,11,990,11.0,0.73,0.73,3.00,2.45,78.8,1.00,0.00,0.00,0.55,54.5,0.09,0.09,0.00,0.00,0.0,Matches
38,Jan Oblak\Jan-Oblak,si SVN,GK,es Atlético Madrid,26,1993,9,9,840,9.3,0.97,0.96,3.23,2.37,70.0,0.54,0.11,0.32,0.43,44.4,0.00,0.00,0.00,0.00,,Matches
39,André Onana\Andre-Onana,cm CMR,GK,nl Ajax,23,1996,6,6,540,6.0,1.00,1.00,4.67,4.00,85.7,0.50,0.17,0.33,0.50,50.0,0.50,0.33,0.00,0.17,0.0,Matches
40,David Ospina\David-Ospina,co COL,GK,it Napoli,30,1988,2,2,180,2.0,2.00,2.00,2.00,0.50,25.0,0.00,0.50,0.50,0.00,0.0,0.50,0.50,0.00,0.00,0.0,Matches
41,Andriy Pyatov\Andriy-Pyatov,ua UKR,GK,ua Shakhtar,35,1984,6,6,540,6.0,2.17,2.17,5.33,3.33,62.5,0.17,0.50,0.33,0.00,0.0,0.33,0.17,0.17,0.00,50.0,Matches
42,Sergio Rico\Sergio-Rico,es ESP,GK,fr Paris S-G,25,1993,3,2,192,2.1,0.00,0.00,1.43,1.43,100.0,0.95,0.00,0.00,0.95,100.0,0.00,0.00,0.00,0.00,,Matches
43,José Sá\Jose-Sa,pt POR,GK,gr Olympiacos,26,1993,6,6,540,6.0,2.33,2.33,5.67,3.50,61.8,0.17,0.17,0.67,0.17,16.7,0.33,0.17,0.00,0.17,0.0,Matches
44,Marco Sportiello\Marco-Sportiello,it ITA,GK,it Atalanta,27,1992,2,2,180,2.0,2.50,2.50,6.50,4.00,61.5,0.50,0.00,0.50,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
45,Cican Stankovic\Cican-Stankovic,at AUT,GK,at RB Salzburg,26,1992,4,4,302,3.4,2.65,2.68,5.29,2.65,50.0,0.29,0.00,0.88,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
46,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,it Juventus,29,1990,7,7,630,7.0,0.86,0.86,3.00,2.29,76.2,0.71,0.14,0.14,0.29,28.6,0.14,0.14,0.00,0.00,0.0,Matches
47,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,es Barcelona,27,1992,8,8,720,8.0,1.63,1.62,4.50,2.88,66.7,0.50,0.38,0.13,0.25,25.0,0.25,0.13,0.13,0.00,50.0,Matches
48,Maarten Vandevoordt\Maarten-Vandevoordt,be BEL,GK,be Genk,17,2002,1,1,90,1.0,4.00,4.00,3.00,1.00,33.3,0.00,0.00,1.00,0.00,0.0,2.00,2.00,0.00,0.00,0.0,Matches
49,Odisseas Vlachodimos\Odisseas-Vlachodimos,gr GRE,GK,pt Benfica,25,1994,6,6,540,6.0,1.83,1.83,4.50,3.00,63.0,0.33,0.17,0.50,0.17,16.7,0.17,0.17,0.00,0.00,0.0,Matches
50,Kyle Walker\Kyle-Walker,eng ENG,DF,eng Manchester City,29,1990,1,0,3,4.9,0.00,0.00,0.20,0.20,100.0,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,Matches
