Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
nl Ajax,19,6.0,542.8,494.3,48.5,12.8,1.33,122.2,13.2,11.7,6.00,1.17,3.00,0.33,375.2,72.3,95.3,251.2,234.8,19.8,19.5,6.50,435.7,1.50,8.83,8.00,13.5
it Atalanta,23,9.0,472.3,424.6,47.8,13.8,1.11,93.2,12.0,10.0,4.11,1.44,2.11,0.11,316.7,68.8,86.9,140.2,281.2,16.1,20.8,5.89,381.2,1.44,7.89,6.56,12.1
es Atlético Madrid,21,9.3,477.0,425.4,51.6,14.4,1.40,84.9,12.0,12.0,4.95,0.54,2.69,0.11,289.8,82.3,104.9,126.2,289.7,18.9,21.6,6.13,374.9,2.58,6.56,6.77,11.7
es Barcelona,24,9.0,665.9,622.3,43.6,15.7,3.56,108.8,13.6,7.33,3.89,1.78,1.00,0.11,504.2,88.4,73.2,228.0,391.9,16.6,13.9,10.4,580.3,1.56,6.89,11.3,12.2
de Bayern Munich,20,11.0,678.9,634.2,44.7,10.9,2.27,103.9,21.3,18.2,8.27,1.91,3.55,1.45,496.0,82.1,100.8,167.5,457.1,19.5,18.6,7.27,585.0,1.36,8.36,7.00,11.5
pt Benfica,23,6.0,519.8,468.0,51.8,12.5,0.83,108.2,14.3,9.67,5.67,0.83,2.83,0.83,364.0,75.3,80.5,162.7,306.3,15.2,21.3,8.50,423.5,1.17,9.67,9.50,11.8
eng Chelsea,22,8.0,530.4,482.9,47.5,10.4,0.63,93.3,16.9,14.1,6.13,2.13,2.88,0.25,352.0,75.9,102.5,94.0,380.6,18.1,19.4,8.50,442.5,1.63,6.88,7.63,11.5
be Club Brugge,22,6.0,424.0,375.2,48.8,11.7,2.00,79.8,10.5,11.3,4.17,0.67,2.67,0.50,258.8,72.5,92.7,137.5,232.5,18.8,20.2,6.50,327.8,3.17,10.7,4.33,13.3
hr Dinamo Zagreb,21,6.0,358.8,311.5,47.3,12.2,0.33,69.0,9.83,9.33,3.67,1.00,1.50,0.00,204.2,59.3,95.3,86.0,215.0,19.7,18.2,5.67,260.8,1.50,7.00,7.33,10.8
de Dortmund,24,8.0,614.8,575.1,39.6,12.9,2.00,89.0,11.8,10.8,3.00,1.00,1.38,0.13,466.1,69.6,79.0,162.6,403.4,17.1,16.4,8.75,525.4,1.63,5.50,11.8,11.9
tr Galatasaray,20,6.0,498.2,449.7,48.5,14.7,0.50,93.0,9.83,9.33,3.50,1.33,1.33,0.33,311.0,80.8,106.3,103.0,335.7,17.8,17.8,9.17,390.2,1.50,9.00,10.0,10.8
be Genk,20,6.0,402.7,347.5,55.2,14.8,0.67,79.3,12.8,12.0,5.50,1.83,1.83,0.33,214.3,80.3,108.0,90.7,257.3,16.0,21.0,7.83,304.5,2.17,7.83,7.33,11.7
it Inter,20,6.0,470.5,424.8,45.7,15.8,1.83,100.7,11.3,8.17,2.00,0.67,0.67,0.00,302.5,69.2,98.8,97.0,315.8,19.2,17.7,11.0,377.7,3.17,5.83,6.17,8.67
it Juventus,23,8.0,654.8,606.9,47.9,14.9,1.50,121.9,20.9,14.1,4.88,1.25,2.38,0.50,465.3,94.9,94.6,193.1,407.9,17.9,18.3,9.00,563.0,2.38,8.63,8.38,13.9
de Leverkusen,20,6.0,674.7,624.8,49.8,12.5,0.50,152.5,21.0,13.7,7.00,3.50,2.50,0.67,481.2,96.7,96.8,223.2,398.8,15.8,22.7,6.33,566.2,1.17,7.50,12.2,13.8
fr Lille,21,6.0,430.7,381.3,49.3,10.7,0.67,76.5,9.00,11.2,5.00,1.00,2.50,0.67,267.0,70.7,93.0,135.5,233.0,19.3,24.2,9.00,333.5,2.00,6.83,6.67,9.83
eng Liverpool,20,8.3,740.6,687.2,53.4,11.8,3.13,108.3,31.7,17.6,7.83,1.45,4.10,0.00,496.9,126.7,117.0,166.7,511.1,19.0,26.1,8.31,624.6,1.45,10.5,11.6,15.2
ru Loko Moscow,20,6.0,339.5,289.7,49.8,15.7,0.83,49.8,10.7,6.17,3.00,0.67,0.67,0.00,178.0,64.8,96.7,72.0,212.5,18.3,16.0,8.33,253.7,1.33,6.50,8.17,9.00
fr Lyon,24,10.0,465.8,415.1,50.7,12.9,0.90,85.0,16.6,13.2,5.10,1.70,1.30,0.30,289.6,84.2,92.0,127.2,282.3,16.1,21.2,8.60,371.5,1.50,8.60,5.80,11.6
eng Manchester City,23,9.0,693.1,653.3,39.8,9.22,3.33,102.2,14.9,14.4,6.89,2.11,1.11,0.67,523.1,93.0,77.0,252.4,392.3,15.6,17.6,8.00,608.1,1.67,7.33,8.44,12.9
it Napoli,24,8.0,529.3,478.0,51.3,13.5,1.75,83.6,19.3,11.6,4.63,1.38,2.75,0.38,347.1,87.6,94.5,174.1,303.5,17.5,21.5,4.75,436.0,1.63,9.00,8.25,13.8
gr Olympiacos,17,6.0,435.8,385.0,50.8,14.7,0.50,70.5,18.3,12.8,4.00,1.17,1.83,0.17,265.7,68.8,101.3,95.2,285.5,14.3,21.3,9.00,342.5,1.17,8.67,7.17,11.2
fr Paris S-G,24,11.0,601.8,552.4,49.5,18.7,2.55,101.6,9.64,9.00,4.36,1.36,1.64,0.27,443.0,83.8,75.0,196.4,358.1,15.5,17.2,7.45,516.8,2.00,6.36,8.45,11.3
de RB Leipzig,25,10.0,640.6,591.5,49.1,11.8,1.10,118.5,13.5,15.0,5.90,2.90,1.30,0.40,445.1,97.6,97.9,139.2,442.8,16.6,22.1,9.80,532.6,2.30,8.80,8.30,15.4
at RB Salzburg,21,6.0,453.0,405.0,48.0,7.33,1.83,79.0,8.50,8.83,5.67,1.50,2.83,0.83,284.3,78.8,89.8,127.2,267.8,22.3,21.3,5.33,346.0,2.17,8.83,8.17,12.3
es Real Madrid,25,8.0,651.8,605.0,46.8,13.1,1.38,115.8,20.3,13.8,5.25,1.75,1.13,0.38,475.9,88.0,87.9,144.4,459.5,13.3,19.1,9.00,564.4,1.00,7.75,9.75,13.6
rs Red Star,19,6.0,368.3,318.8,49.5,14.7,1.00,73.5,10.2,7.17,3.00,0.50,1.33,1.00,226.3,57.8,84.2,76.8,240.8,19.5,15.7,6.17,279.5,1.17,7.83,6.83,8.33
ua Shakhtar,18,6.0,532.3,483.7,48.7,19.3,1.17,108.3,14.2,7.33,2.83,0.83,1.00,0.33,385.3,72.8,74.2,193.2,296.3,10.7,15.0,9.17,454.2,1.50,7.33,9.00,10.8
cz Slavia Prague,20,6.0,509.8,462.7,47.2,11.7,0.33,86.3,17.7,9.17,5.33,1.50,2.50,0.33,327.3,80.0,102.5,71.3,377.0,23.2,19.5,9.50,406.0,1.17,10.2,9.17,16.0
eng Tottenham,28,8.0,535.9,488.8,47.1,13.0,2.50,104.1,10.5,11.1,4.00,1.00,1.63,0.63,394.6,60.4,80.9,151.6,331.9,16.9,18.5,6.38,444.0,1.00,7.50,10.6,11.0
es Valencia,23,8.0,474.5,418.8,55.8,20.8,1.75,93.4,16.1,11.6,4.38,1.25,1.25,0.38,287.9,84.9,101.8,125.8,299.8,13.3,17.6,7.63,376.9,1.88,8.00,9.00,12.6
ru Zenit,19,6.0,424.7,382.2,42.5,10.8,2.17,98.3,15.3,10.8,4.50,1.33,1.83,0.00,237.7,68.7,118.3,95.8,264.2,20.3,17.0,9.33,319.3,1.50,10.0,5.17,13.2
