Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
gr Olympiacos,1,6.0,2.33,0.17,0.00,0.50,0.00,2.13,0.36,-0.20,-0.20,4.00,19.3,20.7,28.0,6.33,49.4,41.7,7.50,73.3,58.6,9.67,1.33,13.8,0.17,0.17,2.33
fr Paris S-G,2,11.0,0.55,0.00,0.00,0.00,0.00,0.75,0.24,0.20,+0.20,4.09,11.9,34.4,22.5,4.73,38.5,34.7,7.64,42.9,35.8,7.91,0.27,3.4,0.27,0.27,0.99
de RB Leipzig,2,10.0,1.20,0.10,0.00,0.00,0.00,1.31,0.27,0.11,+0.11,6.20,12.6,49.2,30.3,4.80,35.0,34.5,7.10,28.2,34.1,7.30,0.50,6.8,1.00,1.00,1.68
at RB Salzburg,2,6.0,2.17,0.00,0.00,0.00,0.00,1.42,0.32,-0.75,-0.75,3.50,13.2,26.6,16.0,3.00,44.8,37.2,10.5,57.1,48.0,9.17,0.83,9.1,0.50,0.50,2.15
es Real Madrid,2,8.0,1.50,0.13,0.00,0.00,0.00,1.71,0.38,0.21,+0.21,2.88,8.00,35.9,29.1,5.50,21.5,29.8,6.75,25.9,32.7,6.00,0.75,12.5,0.75,0.75,1.98
rs Red Star,1,6.0,3.33,0.33,0.00,0.67,0.00,3.13,0.33,-0.20,-0.19,7.83,22.2,35.3,22.5,4.00,61.5,46.3,11.8,70.4,49.6,14.2,2.33,16.5,0.67,0.67,1.82
ua Shakhtar,1,6.0,2.17,0.17,0.00,0.00,0.00,2.15,0.38,-0.02,-0.02,9.50,17.3,54.8,32.0,7.33,42.2,38.2,8.33,46.0,40.3,10.5,1.00,9.5,0.33,0.33,2.08
cz Slavia Prague,1,6.0,1.67,0.00,0.00,0.00,0.17,1.97,0.34,0.47,+0.47,9.83,21.0,46.8,36.0,5.33,48.1,40.8,8.00,45.8,42.5,3.83,0.33,8.7,1.83,1.83,3.02
eng Tottenham,2,8.0,2.25,0.25,0.00,0.13,0.00,2.00,0.32,-0.25,-0.25,4.63,12.0,38.5,19.3,3.63,39.6,38.0,8.38,52.2,44.0,7.63,0.13,1.6,0.25,0.25,1.81
es Valencia,2,8.0,1.88,0.25,0.00,0.13,0.00,1.65,0.31,-0.23,-0.23,7.25,21.9,33.1,24.3,4.38,57.2,43.1,10.0,80.0,58.2,11.1,0.25,2.2,0.50,0.50,1.68
ru Zenit,2,6.0,1.50,0.33,0.00,0.00,0.17,1.50,0.19,0.17,+0.16,9.67,19.5,49.6,26.0,5.50,58.3,43.4,7.83,55.3,44.5,15.2,2.00,13.2,0.17,0.17,2.03
