Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
nl Ajax,1,6.0,1.00,0.33,0.00,0.17,0.00,1.75,0.32,0.75,+0.75,6.33,18.2,34.9,29.0,4.33,47.1,40.0,8.17,55.1,44.9,7.17,1.00,14.0,0.67,0.67,2.62
it Atalanta,2,9.0,2.00,0.11,0.00,0.11,0.00,1.90,0.37,-0.10,-0.10,5.00,12.8,39.1,18.4,3.78,41.0,38.6,6.11,85.5,61.5,7.00,0.56,7.9,1.11,1.11,1.74
es Atlético Madrid,1,9.3,0.97,0.00,0.11,0.00,0.11,0.74,0.24,-0.12,-0.12,7.53,18.3,41.2,17.0,3.12,64.6,46.8,8.60,85.0,59.3,11.2,0.65,5.8,0.22,0.21,1.46
es Barcelona,2,9.0,1.56,0.11,0.00,0.11,0.00,1.71,0.33,0.16,+0.15,4.11,9.78,42.0,28.9,5.89,27.7,30.9,7.44,23.9,29.2,6.78,0.33,4.9,0.44,0.44,1.36
de Bayern Munich,1,11.0,0.73,0.09,0.00,0.00,0.09,0.77,0.23,0.14,+0.13,7.82,12.3,63.7,39.0,5.27,29.6,31.7,5.18,14.0,26.4,5.09,0.27,5.4,0.82,0.82,1.40
pt Benfica,1,6.0,1.83,0.17,0.00,0.17,0.17,1.43,0.28,-0.23,-0.24,3.50,9.17,38.2,21.0,6.33,24.6,31.5,9.50,42.1,38.5,10.3,0.50,4.8,0.83,0.83,2.58
eng Chelsea,2,8.0,2.00,0.13,0.00,0.25,0.25,1.74,0.41,-0.01,-0.01,6.50,13.3,49.1,23.1,4.75,40.0,36.4,8.63,46.4,41.9,7.13,0.38,5.3,0.75,0.75,1.81
be Club Brugge,1,6.0,2.00,0.00,0.00,0.17,0.00,1.75,0.44,-0.25,-0.25,8.17,17.2,47.6,22.7,3.17,50.0,39.1,9.83,59.3,46.0,8.83,0.83,9.4,0.50,0.50,2.68
hr Dinamo Zagreb,1,6.0,2.17,0.33,0.00,0.17,0.00,2.27,0.37,0.10,+0.09,8.50,23.5,36.2,20.2,3.33,68.6,51.6,10.2,95.1,68.8,7.83,0.83,10.6,0.67,0.67,2.28
de Dortmund,1,8.0,1.38,0.00,0.00,0.13,0.00,1.57,0.33,0.20,+0.19,3.63,12.4,29.3,25.3,5.38,40.6,36.8,5.00,42.5,46.2,5.13,0.50,9.8,0.50,0.50,1.69
tr Galatasaray,1,6.0,2.33,0.33,0.00,0.00,0.00,2.68,0.31,0.35,+0.35,11.0,29.7,37.1,35.5,6.17,62.4,46.0,9.17,81.8,59.5,9.17,1.50,16.4,0.83,0.83,2.30
be Genk,2,6.0,3.33,0.33,0.00,0.00,0.00,2.80,0.40,-0.53,-0.54,10.2,23.3,43.6,32.7,4.33,52.6,40.9,9.50,64.9,48.1,9.50,0.67,7.0,1.50,1.50,2.70
it Inter,1,6.0,1.50,0.17,0.00,0.17,0.00,1.48,0.29,-0.02,-0.02,4.67,9.67,48.3,29.3,5.83,21.0,27.7,7.67,45.7,37.8,6.17,0.67,10.8,0.33,0.33,2.03
it Juventus,2,8.0,0.75,0.13,0.00,0.13,0.00,0.90,0.29,0.15,+0.15,3.88,6.13,63.3,21.3,5.88,19.4,29.1,8.13,24.6,29.0,9.75,0.75,7.7,0.38,0.38,1.50
de Leverkusen,1,6.0,1.50,0.00,0.00,0.00,0.00,1.53,0.33,0.03,+0.03,8.00,20.2,39.7,39.2,4.17,45.5,39.9,5.17,45.2,41.6,5.50,0.33,6.1,1.33,1.33,3.18
fr Lille,2,6.0,2.33,0.17,0.00,0.33,0.17,1.87,0.32,-0.30,-0.29,4.83,17.8,27.1,24.2,5.33,53.8,43.3,6.17,78.4,59.5,9.33,1.17,12.5,0.67,0.67,2.67
eng Liverpool,2,8.3,1.45,0.12,0.00,0.24,0.00,1.27,0.31,-0.18,-0.19,5.30,9.16,57.9,27.7,4.70,27.4,32.4,5.06,31.0,34.3,5.54,0.36,6.5,1.45,1.44,2.06
ru Loko Moscow,2,6.0,1.83,0.17,0.00,0.17,0.33,1.65,0.21,0.15,+0.14,9.50,21.8,43.5,19.8,4.83,58.8,45.3,12.3,82.4,53.1,10.5,0.67,6.3,0.17,0.17,1.92
fr Lyon,1,10.0,1.40,0.30,0.00,0.10,0.00,1.20,0.27,-0.20,-0.20,6.40,15.4,41.6,24.1,5.50,44.0,38.4,9.10,52.7,44.7,10.6,0.70,6.6,0.20,0.20,1.24
eng Manchester City,3,9.0,1.00,0.11,0.00,0.00,0.00,0.90,0.29,-0.10,-0.10,6.22,12.3,50.5,29.7,3.56,34.5,36.3,4.11,51.4,44.3,4.56,0.67,14.6,1.89,1.91,1.99
it Napoli,2,8.0,1.00,0.38,0.00,0.38,0.00,1.07,0.28,0.07,+0.08,5.25,10.4,50.6,20.5,2.63,26.2,30.2,9.63,51.9,39.2,10.0,1.00,10.0,0.25,0.25,1.27
