Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
nl Ajax,19,6.0,1.67,12.7,4.00,31.6,12.67,4.00,0.13,0.42,17.5,0.50,0.00,0.00,1.12,1.12,0.09,0.55,0.55
it Atalanta,23,9.0,1.89,12.6,4.44,35.4,12.56,4.44,0.12,0.33,15.9,0.56,0.44,0.56,1.83,1.42,0.12,0.06,0.02
es Atlético Madrid,21,9.3,1.40,12.8,4.62,36.1,12.75,4.61,0.09,0.26,18.8,0.22,0.22,0.32,1.40,1.15,0.09,0.00,0.03
es Barcelona,24,9.0,1.44,11.2,4.44,39.6,11.22,4.44,0.12,0.30,17.5,1.00,0.11,0.11,1.48,1.39,0.12,-0.03,-0.06
de Bayern Munich,20,11.0,3.91,21.5,8.73,40.5,21.55,8.73,0.17,0.43,16.5,0.64,0.18,0.18,2.97,2.84,0.14,0.94,0.89
pt Benfica,23,6.0,1.50,13.7,4.67,34.1,13.67,4.67,0.10,0.29,20.6,1.17,0.17,0.17,1.25,1.13,0.08,0.25,0.20
eng Chelsea,22,8.0,1.50,15.4,5.13,33.3,15.37,5.12,0.08,0.24,15.6,0.63,0.25,0.38,1.95,1.66,0.11,-0.45,-0.41
be Club Brugge,22,6.0,0.67,10.2,2.83,27.9,10.17,2.83,0.07,0.24,16.0,0.50,0.00,0.17,1.25,1.13,0.11,-0.58,-0.47
hr Dinamo Zagreb,21,6.0,1.67,8.00,3.00,37.5,8.00,3.00,0.19,0.50,17.1,0.50,0.17,0.17,1.00,0.87,0.11,0.67,0.63
de Dortmund,24,8.0,1.25,11.8,4.13,35.1,11.75,4.12,0.11,0.30,16.5,0.25,0.00,0.13,1.43,1.34,0.12,-0.17,-0.09
tr Galatasaray,20,6.0,0.17,8.33,1.67,20.0,8.33,1.67,0.02,0.10,19.8,0.67,0.00,0.00,0.50,0.50,0.06,-0.33,-0.33
be Genk,20,6.0,0.83,10.8,3.33,30.8,10.83,3.33,0.08,0.25,17.9,0.33,0.00,0.00,1.07,1.07,0.11,-0.23,-0.23
it Inter,20,6.0,1.67,12.5,4.50,36.0,12.50,4.50,0.13,0.37,17.0,0.33,0.00,0.17,1.42,1.28,0.10,0.25,0.38
it Juventus,23,8.0,1.75,13.6,4.50,33.0,13.62,4.50,0.12,0.36,18.1,1.63,0.13,0.13,1.45,1.36,0.10,0.30,0.26
de Leverkusen,20,6.0,0.33,13.3,2.50,18.8,13.33,2.50,0.03,0.13,18.8,0.50,0.00,0.00,0.82,0.82,0.06,-0.48,-0.48
fr Lille,21,6.0,0.67,14.0,4.17,29.8,14.00,4.17,0.05,0.16,17.6,0.17,0.00,0.00,1.18,1.18,0.09,-0.52,-0.52
eng Liverpool,20,8.3,1.81,17.6,5.42,30.8,17.52,5.40,0.10,0.33,16.7,0.36,0.00,0.00,1.75,1.75,0.10,0.06,0.06
ru Loko Moscow,20,6.0,0.67,9.17,3.50,38.2,9.17,3.50,0.07,0.19,18.5,0.17,0.00,0.00,0.93,0.93,0.11,-0.27,-0.27
fr Lyon,24,10.0,1.40,11.8,4.00,33.9,11.80,4.00,0.10,0.30,19.5,0.20,0.20,0.20,1.05,0.90,0.08,0.35,0.30
eng Manchester City,23,9.0,2.33,15.9,6.44,40.6,15.89,6.44,0.13,0.33,16.2,0.89,0.22,0.33,2.50,2.26,0.14,-0.17,-0.14
it Napoli,24,8.0,1.63,13.4,2.88,21.5,13.37,2.87,0.08,0.39,17.6,0.13,0.50,0.50,1.63,1.26,0.10,0.00,-0.14
gr Olympiacos,17,6.0,1.33,12.5,3.33,26.7,12.50,3.33,0.08,0.30,19.4,0.00,0.33,0.33,1.28,1.03,0.08,0.05,-0.03
fr Paris S-G,24,11.0,2.27,12.0,5.36,44.7,12.00,5.36,0.18,0.41,16.2,0.73,0.09,0.09,2.17,2.10,0.18,0.10,0.08
de RB Leipzig,25,10.0,1.60,15.1,4.80,31.8,15.10,4.80,0.08,0.25,17.8,0.30,0.40,0.40,1.62,1.32,0.09,-0.02,-0.12
at RB Salzburg,21,6.0,2.67,15.2,5.83,38.5,15.17,5.83,0.15,0.40,17.4,0.17,0.33,0.33,2.05,1.80,0.12,0.62,0.53
es Real Madrid,25,8.0,2.00,17.3,6.50,37.7,17.25,6.50,0.11,0.29,16.8,0.25,0.13,0.13,1.95,1.86,0.11,0.05,0.01
rs Red Star,19,6.0,0.50,9.17,2.83,30.9,9.17,2.83,0.05,0.18,19.2,0.33,0.00,0.17,0.67,0.55,0.06,-0.17,-0.05
ua Shakhtar,18,6.0,1.33,10.0,3.67,36.7,10.00,3.67,0.12,0.32,18.2,0.50,0.17,0.17,1.12,0.98,0.10,0.22,0.18
cz Slavia Prague,20,6.0,0.67,14.7,5.33,36.4,14.67,5.33,0.03,0.09,19.3,1.17,0.17,0.17,1.28,1.15,0.08,-0.62,-0.65
eng Tottenham,28,8.0,2.25,12.0,5.75,47.9,12.00,5.75,0.17,0.35,15.9,0.88,0.25,0.25,1.68,1.49,0.14,0.57,0.51
es Valencia,23,8.0,1.50,12.5,4.50,36.0,12.50,4.50,0.11,0.31,17.8,0.63,0.13,0.38,1.55,1.26,0.10,-0.05,0.11
ru Zenit,19,6.0,1.00,10.0,3.67,36.7,10.00,3.67,0.10,0.27,17.8,0.17,0.00,0.00,1.00,1.00,0.10,0.00,0.00
