Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
nl Ajax,19,6.0,22.8,14.8,9.17,9.67,4.00,10.0,26.3,38.0,16.3,169.8,48.7,28.7,45.7,79.8,44.3,14.7,4.00,0.00,10.7,10.2,33.0,20.2,0.17
it Atalanta,23,9.0,21.7,12.9,9.78,10.0,1.89,6.67,23.2,28.7,16.6,166.0,42.3,25.5,48.0,86.1,31.9,15.4,3.56,0.00,11.9,9.89,31.6,26.9,0.56
es Atlético Madrid,21,9.3,20.1,12.6,12.2,4.95,3.01,7.31,21.2,34.5,13.9,187.5,51.9,27.7,64.6,78.0,44.9,16.2,3.44,0.11,12.8,8.82,28.9,34.7,0.22
es Barcelona,24,9.0,16.3,10.6,7.00,6.22,3.11,5.67,16.6,34.2,10.9,171.7,46.9,27.3,50.4,72.3,48.9,14.7,4.44,0.11,10.2,9.89,26.2,16.6,0.56
de Bayern Munich,20,11.0,19.9,13.7,5.91,10.0,4.00,7.27,21.3,34.2,14.0,163.3,53.4,32.7,33.7,77.2,52.4,13.0,1.82,0.09,11.2,6.64,26.5,13.5,0.27
pt Benfica,23,6.0,19.5,11.7,9.50,8.17,1.83,7.17,22.5,31.9,15.3,210.0,54.5,26.0,72.8,95.3,41.8,18.7,4.17,0.00,14.5,6.67,26.2,24.8,0.00
eng Chelsea,22,8.0,19.3,10.3,8.50,7.88,2.88,6.13,15.8,38.9,9.63,190.0,56.6,29.8,49.5,92.0,48.5,14.1,2.13,0.00,12.0,5.13,24.4,21.6,0.25
be Club Brugge,22,6.0,21.7,13.5,11.3,8.17,2.17,10.5,26.0,40.4,15.5,227.7,49.7,21.8,61.3,109.0,57.3,14.7,2.50,0.00,12.2,11.8,33.5,21.0,0.17
hr Dinamo Zagreb,21,6.0,19.7,13.5,10.2,8.00,1.50,7.00,21.8,32.1,14.8,215.5,51.2,23.7,93.7,88.7,33.2,15.5,3.50,0.17,12.0,10.2,29.8,20.8,0.50
de Dortmund,24,8.0,19.5,12.4,11.5,5.50,2.50,5.75,18.6,30.9,12.9,212.3,56.1,26.4,66.0,94.6,51.6,13.1,2.50,0.13,10.6,10.1,29.6,18.4,0.25
tr Galatasaray,20,6.0,17.5,11.8,10.8,5.83,0.83,6.50,18.8,34.5,12.3,163.0,43.8,26.9,61.2,68.2,33.7,16.0,3.00,0.00,13.0,6.67,24.2,21.2,0.33
be Genk,20,6.0,20.0,11.7,11.0,6.17,2.83,8.00,21.3,37.5,13.3,201.8,52.5,26.0,78.3,84.2,39.3,20.7,6.50,0.17,14.2,8.67,28.7,29.5,0.50
it Inter,20,6.0,20.2,12.3,10.3,8.17,1.67,9.17,23.0,39.9,13.8,218.5,53.3,24.4,78.5,92.2,47.8,16.8,3.83,0.00,13.0,10.8,31.0,17.5,0.17
it Juventus,23,8.0,15.1,9.63,7.75,5.13,2.25,4.00,14.8,27.1,10.8,155.9,40.3,25.8,48.8,68.9,38.3,13.5,3.13,0.13,10.4,8.13,23.3,22.9,0.13
de Leverkusen,20,6.0,22.0,15.8,10.3,9.33,2.33,7.17,21.3,33.6,14.2,212.2,66.0,31.1,61.0,109.0,42.2,13.2,1.67,0.00,11.5,9.83,31.8,19.7,1.17
fr Lille,21,6.0,20.2,13.3,11.7,7.17,1.33,5.00,18.2,27.5,13.2,199.3,54.3,27.3,62.5,94.8,42.0,17.7,3.83,0.00,13.8,11.2,31.3,25.5,0.17
eng Liverpool,20,8.3,19.8,12.8,7.95,8.92,2.89,6.27,16.4,38.2,10.1,169.9,61.4,36.2,38.9,76.9,54.1,11.9,0.84,0.00,11.1,6.39,26.1,21.4,0.48
ru Loko Moscow,20,6.0,18.7,12.0,10.5,6.17,2.00,7.33,24.0,30.6,16.7,221.8,45.8,20.7,93.0,96.2,32.7,20.7,5.67,0.00,15.0,11.2,29.8,37.0,0.33
fr Lyon,24,10.0,16.6,9.10,8.50,5.80,2.30,6.40,17.7,36.2,11.3,180.9,50.1,27.7,64.9,79.9,36.1,17.9,4.30,0.20,13.6,7.60,24.2,28.0,0.20
eng Manchester City,23,9.0,17.4,12.4,7.22,7.67,2.56,7.00,18.3,38.2,11.3,159.2,51.6,32.4,35.0,75.7,48.6,11.0,1.89,0.11,9.11,8.44,25.9,14.6,0.44
it Napoli,24,8.0,18.0,10.6,11.0,4.88,2.13,6.75,21.9,30.9,15.1,169.3,46.9,27.7,68.9,67.3,33.1,17.5,3.38,0.13,14.1,8.13,26.1,22.6,0.25
gr Olympiacos,17,6.0,17.5,10.8,9.83,6.67,1.00,9.67,22.5,43.0,12.8,172.8,44.2,25.6,66.2,76.8,29.8,13.3,4.50,0.00,8.83,8.17,25.7,25.5,0.83
fr Paris S-G,24,11.0,19.3,12.0,9.36,7.09,2.82,7.36,20.6,35.7,13.3,176.8,48.9,27.7,61.2,76.1,39.5,16.8,3.64,0.00,13.2,7.91,27.2,19.4,0.09
de RB Leipzig,25,10.0,23.3,12.9,10.2,9.60,3.50,9.20,24.5,37.6,15.3,192.6,57.1,29.6,52.0,92.6,48.0,14.5,2.40,0.00,12.1,7.50,30.8,24.8,0.30
at RB Salzburg,21,6.0,20.8,13.2,10.8,7.33,2.67,6.17,26.3,23.4,20.2,194.0,57.0,29.4,59.0,92.2,42.8,18.0,4.50,0.00,13.5,11.0,31.8,26.7,0.50
es Real Madrid,25,8.0,17.3,12.4,8.00,6.88,2.38,6.50,22.4,29.1,15.9,177.5,48.5,27.3,55.1,79.0,43.4,15.5,3.38,0.00,12.1,8.50,25.8,15.4,0.75
rs Red Star,19,6.0,19.8,11.8,12.3,6.33,1.17,8.67,29.7,29.2,21.0,199.3,42.8,21.5,81.8,87.2,30.3,17.8,5.00,0.33,12.8,10.2,30.0,26.5,0.83
ua Shakhtar,18,6.0,17.3,11.5,11.0,4.50,1.83,6.17,20.0,30.8,13.8,169.0,44.8,26.5,78.3,69.2,21.5,12.7,2.83,0.17,9.83,6.33,23.7,20.0,1.00
cz Slavia Prague,20,6.0,16.2,11.2,6.33,5.50,4.33,4.67,22.0,21.2,17.3,184.8,56.7,30.7,43.0,87.5,54.3,17.2,3.00,0.00,14.2,9.67,25.8,21.7,0.33
eng Tottenham,28,8.0,16.0,9.88,6.63,7.50,1.88,5.50,19.1,28.8,13.6,177.1,45.4,25.6,47.4,84.5,45.3,15.4,3.63,0.00,11.8,8.13,24.1,21.0,0.25
es Valencia,23,8.0,16.6,11.8,8.00,7.75,0.88,6.75,19.3,35.1,12.5,168.3,48.5,28.8,61.9,71.6,34.8,17.9,4.88,0.38,13.0,5.13,21.8,31.4,0.38
ru Zenit,19,6.0,20.0,12.7,13.3,5.67,1.00,8.83,26.3,33.5,17.5,204.5,56.3,27.5,89.3,78.3,36.8,18.8,4.67,0.17,14.2,10.5,30.5,31.8,0.17
