Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
nl Ajax,19,54.7,6.0,660.2,67.0,207.3,302.8,190.8,30.5,612.3,11.2,19.2,58.3,11.7,1.17,447.8,2176.7,1155.5,48.7,15.0,4.67,11.8,11.5,514.2,435.7,84.7,50.7
it Atalanta,23,48.4,9.0,594.8,56.6,172.6,287.7,172.0,26.9,549.1,10.2,17.2,59.4,10.9,0.44,383.2,2035.9,1046.1,47.3,15.4,6.33,12.7,11.4,438.0,381.2,87.0,43.3
es Atlético Madrid,21,44.9,9.3,607.6,65.4,177.4,296.9,165.9,22.4,558.4,12.6,19.4,65.0,13.5,0.65,380.3,1835.7,947.0,38.9,12.6,3.12,10.3,12.6,452.7,374.9,82.8,45.9
es Barcelona,24,57.6,9.0,774.6,83.0,220.7,402.1,203.1,25.6,734.0,16.4,23.4,70.1,17.7,0.67,554.2,2694.2,1474.7,58.1,17.0,4.11,9.78,11.7,652.0,580.3,89.0,42.9
de Bayern Munich,20,64.3,11.0,786.6,62.0,211.2,392.3,235.1,41.8,743.3,13.5,21.1,63.8,14.4,0.27,553.9,2974.7,1654.5,71.9,19.7,8.27,10.1,8.73,652.3,585.0,89.7,59.2
pt Benfica,23,48.3,6.0,643.8,68.2,213.5,307.0,166.2,18.7,592.8,10.3,19.2,53.9,10.8,0.67,421.8,2070.3,1170.3,50.2,13.2,2.83,9.83,13.5,490.7,421.2,85.8,44.0
eng Chelsea,22,51.6,8.0,647.9,62.6,201.1,321.6,169.1,30.3,601.5,15.5,25.0,62.0,16.9,0.63,451.8,2238.0,1216.8,47.5,13.9,7.00,11.5,13.6,507.5,442.5,87.2,47.9
be Club Brugge,22,41.7,6.0,539.7,63.2,186.0,240.2,148.8,22.5,492.0,13.0,21.7,60.0,14.2,0.67,355.3,1939.2,1081.3,43.8,12.0,5.00,12.5,11.7,400.5,327.8,81.9,43.3
hr Dinamo Zagreb,21,34.7,6.0,477.5,64.8,169.3,227.0,110.7,16.5,431.5,13.2,22.2,59.4,14.5,1.67,272.5,1336.3,759.2,29.3,9.67,2.17,13.2,17.2,332.2,260.8,78.5,29.5
de Dortmund,24,51.6,8.0,723.3,59.4,225.0,347.1,201.8,28.3,685.5,13.4,21.5,62.2,14.3,0.75,523.1,2714.1,1393.9,59.3,20.8,6.38,8.38,13.9,588.8,525.4,89.2,39.3
tr Galatasaray,20,46.7,6.0,604.8,76.3,214.0,295.5,126.0,10.5,557.5,13.0,18.5,70.3,13.3,0.67,393.5,1724.3,835.3,33.5,11.0,1.50,12.8,11.8,470.8,390.2,82.9,33.0
be Genk,20,39.8,6.0,539.0,81.5,202.8,231.2,138.5,16.8,485.7,15.0,23.7,63.4,16.8,0.83,310.3,1631.7,862.5,35.2,8.50,2.83,13.7,15.3,378.5,304.5,80.4,34.8
it Inter,20,41.2,6.0,581.7,81.7,251.3,262.5,105.2,17.8,538.5,11.0,16.0,68.8,11.7,0.50,365.8,1976.3,1031.8,32.2,9.00,4.00,10.3,12.3,453.3,377.7,83.3,35.5
it Juventus,23,59.8,8.0,764.5,65.3,201.4,407.9,206.3,21.5,718.6,12.4,18.9,65.6,13.5,0.63,510.3,2533.4,1343.0,58.3,18.1,3.25,7.88,11.4,624.4,563.0,90.2,45.3
de Leverkusen,20,58.8,6.0,792.3,67.2,244.7,406.0,190.3,22.8,744.3,13.3,22.2,60.2,14.8,0.17,557.8,2763.3,1377.7,55.2,17.0,3.67,11.8,11.8,658.3,566.2,86.0,45.2
fr Lille,21,42.0,6.0,556.0,62.7,187.7,266.2,138.3,22.5,508.8,11.8,20.2,58.7,12.7,0.33,356.8,1858.5,1046.7,35.0,11.8,4.00,13.0,15.5,400.7,333.5,83.2,39.2
eng Liverpool,20,67.6,8.3,858.0,47.6,194.6,440.6,271.0,39.2,805.5,16.7,25.2,66.5,18.2,1.08,609.0,2781.9,1425.8,62.5,18.7,5.30,12.7,14.8,718.0,624.6,87.0,67.0
ru Loko Moscow,20,31.8,6.0,481.7,76.0,191.0,222.2,95.0,11.3,434.0,9.83,17.2,57.3,10.7,0.17,264.8,1315.0,704.5,24.3,7.50,1.67,12.2,13.8,316.5,253.7,80.1,26.8
fr Lyon,24,44.8,10.0,594.2,69.9,202.9,277.2,149.2,19.9,544.9,17.9,27.5,65.1,19.8,0.60,377.6,1830.5,1010.1,42.3,13.1,5.20,12.7,15.0,428.6,371.5,86.7,37.0
eng Manchester City,23,62.8,9.0,793.3,53.6,173.3,425.3,247.0,33.2,754.0,16.0,23.8,67.3,17.6,0.44,591.2,2938.0,1654.2,77.2,22.3,5.89,10.6,11.8,669.2,608.1,90.9,54.3
it Napoli,24,47.4,8.0,643.4,79.0,236.3,301.6,144.6,21.4,594.0,10.4,17.4,59.7,11.0,1.25,433.3,2090.8,1147.4,44.5,12.0,5.63,10.6,11.8,501.9,436.0,86.9,41.4
gr Olympiacos,17,44.8,6.0,548.0,75.2,216.0,259.3,106.0,18.7,499.8,14.8,22.2,66.9,15.5,1.67,364.5,1876.0,990.0,39.5,8.33,3.67,9.83,12.2,405.2,342.5,84.5,34.3
fr Paris S-G,24,53.3,11.0,718.1,70.8,238.2,370.5,152.1,23.2,672.0,14.5,22.5,64.8,15.4,1.09,485.7,2221.9,1194.9,46.4,14.5,3.91,11.5,11.4,576.0,516.8,89.7,39.5
de RB Leipzig,25,57.4,10.0,764.6,62.1,206.4,380.9,222.4,30.2,717.1,12.2,20.6,59.2,13.1,0.40,504.9,2550.3,1426.2,65.8,18.9,3.80,15.2,8.00,612.2,532.6,87.0,55.1
at RB Salzburg,21,44.7,6.0,587.5,64.5,191.7,277.0,152.5,29.3,540.0,9.83,17.8,55.1,10.5,0.83,353.8,1703.5,956.3,37.8,11.8,5.33,16.8,11.5,428.5,346.0,80.7,50.0
es Real Madrid,25,54.9,8.0,761.3,72.5,222.3,363.6,227.1,32.8,716.6,14.5,24.4,59.5,15.6,0.13,524.1,2796.4,1499.5,63.5,20.3,6.75,9.13,10.5,629.6,564.4,89.6,50.4
rs Red Star,19,36.2,6.0,491.2,81.2,209.2,223.5,85.5,14.5,443.5,9.33,17.2,54.4,10.3,0.17,284.8,1481.2,832.5,30.7,7.33,3.50,14.5,9.67,351.8,279.5,79.4,30.3
ua Shakhtar,18,50.0,6.0,641.7,74.0,221.5,328.8,138.7,21.5,596.0,13.8,23.3,59.3,15.3,1.33,462.0,2497.2,1361.0,54.3,16.8,5.17,11.3,10.0,509.5,454.2,89.1,29.2
cz Slavia Prague,20,48.8,6.0,634.3,68.2,205.7,275.2,190.0,27.0,587.5,8.33,18.2,45.9,9.33,0.50,414.2,1947.0,992.7,41.3,13.5,4.17,12.0,12.3,488.7,406.0,83.1,44.0
eng Tottenham,28,50.1,8.0,648.3,68.8,193.0,334.0,159.6,21.8,603.3,17.3,29.0,59.5,18.8,1.50,454.8,2122.1,1099.0,47.0,14.4,3.88,10.5,11.0,513.6,444.0,86.4,39.9
