Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
nl Ajax,19,6.0,435.7,542.8,80.3,7949.8,2843.7,196.3,223.7,87.8,177.7,202.3,87.8,50.8,91.3,55.7,1.67,0.98,0.68,9.83,34.2,11.8,2.00,43.8
it Atalanta,23,9.0,381.2,472.3,80.7,7102.8,2306.4,171.0,190.3,89.8,150.8,178.6,84.4,51.4,84.2,61.1,1.00,1.07,-0.07,9.89,28.8,9.44,1.56,33.0
es Atlético Madrid,21,9.3,374.9,477.0,78.6,7165.9,2506.5,164.4,186.3,88.2,147.6,177.1,83.4,53.7,92.2,58.2,0.97,0.88,0.09,9.35,29.5,8.82,1.18,35.5
es Barcelona,24,9.0,580.3,665.9,87.2,10807.4,2941.7,244.4,269.6,90.7,254.1,275.1,92.4,72.4,99.3,72.9,1.11,1.12,-0.01,8.33,42.4,9.56,1.22,38.7
de Bayern Munich,20,11.0,585.0,678.9,86.2,11814.6,3420.5,214.2,237.6,90.1,271.8,299.5,90.7,91.2,124.4,73.3,3.36,2.07,1.29,15.4,45.1,15.1,3.00,50.6
pt Benfica,23,6.0,423.5,519.8,81.5,7918.0,2698.3,191.8,215.2,89.2,162.0,189.0,85.7,60.7,95.7,63.4,0.83,0.88,-0.05,9.67,33.7,7.33,1.33,35.3
eng Chelsea,22,8.0,442.5,530.4,83.4,8790.6,2812.5,173.9,196.3,88.6,190.8,214.1,89.1,69.5,100.3,69.3,0.88,1.27,-0.40,12.3,30.6,9.88,3.25,38.4
be Club Brugge,22,6.0,327.8,424.0,77.3,6572.7,2427.0,126.5,148.0,85.5,143.8,169.2,85.0,51.7,89.8,57.5,0.50,0.77,-0.27,7.67,25.5,8.00,1.50,37.0
hr Dinamo Zagreb,21,6.0,260.8,358.8,72.7,5201.5,2050.0,115.2,137.5,83.8,95.5,122.5,78.0,44.2,82.3,53.6,1.50,0.77,0.73,5.83,18.3,5.33,1.83,21.8
de Dortmund,24,8.0,525.4,614.8,85.5,9436.9,2628.0,239.8,264.8,90.6,218.5,242.5,90.1,57.9,86.5,66.9,1.13,1.04,0.09,9.00,32.5,9.50,2.13,33.8
tr Galatasaray,20,6.0,390.2,498.2,78.3,7504.5,2736.5,164.2,187.8,87.4,166.2,193.3,85.9,53.3,98.0,54.4,0.17,0.35,-0.18,6.00,26.2,4.83,1.67,26.5
be Genk,20,6.0,304.5,402.7,75.6,6314.3,2272.8,120.3,137.0,87.8,122.2,149.7,81.6,55.8,97.0,57.6,0.67,0.77,-0.10,8.00,21.2,6.17,2.17,24.2
it Inter,20,6.0,377.7,470.5,80.3,7616.0,2503.0,136.3,156.2,87.3,172.3,203.0,84.9,60.2,95.3,63.1,1.50,1.13,0.37,9.00,20.2,6.67,1.67,29.0
it Juventus,23,8.0,563.0,654.8,86.0,10621.1,3125.3,236.0,256.5,92.0,243.3,268.6,90.6,73.4,105.6,69.5,1.25,0.93,0.33,8.75,40.9,9.25,2.38,37.0
de Leverkusen,20,6.0,566.2,674.7,83.9,10758.2,3051.2,247.5,273.0,90.7,229.5,257.5,89.1,80.3,120.8,66.5,0.33,0.72,-0.38,9.67,39.0,9.17,1.50,37.5
fr Lille,21,6.0,333.5,430.7,77.4,6301.0,2215.8,141.3,163.2,86.6,136.3,161.8,84.2,47.0,88.3,53.2,0.67,0.95,-0.28,11.3,27.3,7.17,1.50,30.2
eng Liverpool,20,8.3,624.6,740.6,84.3,12995.4,3780.8,226.3,253.6,89.2,281.9,313.4,90.0,109.4,151.9,72.0,1.33,1.29,0.04,13.0,59.4,14.6,3.37,56.6
ru Loko Moscow,20,6.0,253.7,339.5,74.7,5189.3,2099.8,100.5,119.8,83.9,100.0,118.7,84.3,45.2,83.3,54.2,0.33,0.53,-0.20,6.50,19.0,4.00,1.00,21.5
fr Lyon,24,10.0,371.5,465.8,79.8,7450.7,2497.0,148.4,167.6,88.5,156.8,182.8,85.8,60.4,99.3,60.8,0.90,0.61,0.29,7.90,28.9,5.10,1.30,29.8
eng Manchester City,23,9.0,608.1,693.1,87.7,11568.7,3213.9,250.0,271.4,92.1,268.1,292.2,91.7,81.4,110.0,74.0,2.00,1.81,0.19,12.3,51.9,12.8,1.78,48.1
it Napoli,24,8.0,436.0,529.3,82.4,8387.9,2716.8,185.6,205.6,90.3,180.6,207.5,87.0,61.5,93.9,65.5,0.75,0.86,-0.11,10.0,30.0,6.38,1.50,34.6
gr Olympiacos,17,6.0,342.5,435.8,78.6,6982.5,2233.3,134.7,153.0,88.0,141.0,164.3,85.8,62.0,103.8,59.7,0.83,0.80,0.03,9.67,18.5,5.67,3.33,24.0
fr Paris S-G,24,11.0,516.8,601.8,85.9,9017.0,2897.5,249.7,270.2,92.4,200.5,221.3,90.6,54.1,87.5,61.8,1.82,1.72,0.10,9.09,30.8,8.64,0.82,35.2
de RB Leipzig,25,10.0,532.6,640.6,83.1,9616.3,3128.8,239.6,265.4,90.3,223.4,253.9,88.0,58.6,96.0,61.0,1.00,0.90,0.10,10.8,45.0,12.9,3.20,46.3
at RB Salzburg,21,6.0,346.0,453.0,76.4,6417.7,2599.7,148.3,169.7,87.4,143.3,172.7,83.0,44.3,88.3,50.2,2.17,1.60,0.57,12.2,31.7,11.8,2.17,41.8
es Real Madrid,25,8.0,564.4,651.8,86.6,10517.5,3068.1,251.9,270.8,93.0,225.8,251.9,89.6,76.5,104.9,72.9,1.75,1.59,0.16,14.0,40.3,12.8,2.25,42.6
rs Red Star,19,6.0,279.5,368.3,75.9,5781.7,2098.7,104.7,121.0,86.5,123.7,148.0,83.6,47.8,88.0,54.4,0.33,0.33,0.00,5.83,18.3,4.33,1.67,22.5
ua Shakhtar,18,6.0,454.2,532.3,85.3,8763.2,2631.2,188.0,204.2,92.1,188.3,208.5,90.3,66.7,97.5,68.4,1.00,0.92,0.08,8.00,23.8,7.50,1.00,24.5
cz Slavia Prague,20,6.0,406.0,509.8,79.6,8184.0,2695.0,163.0,188.7,86.4,166.8,194.3,85.8,71.3,108.3,65.8,0.50,0.75,-0.25,9.17,27.3,8.83,1.67,32.8
eng Tottenham,28,8.0,444.0,535.9,82.9,8448.1,2589.9,179.9,199.5,90.2,202.6,227.6,89.0,55.1,90.9,60.7,1.88,1.25,0.63,9.00,29.6,9.13,2.88,32.6
es Valencia,23,8.0,376.9,474.5,79.4,7734.8,2593.6,144.3,162.4,88.8,159.9,183.5,87.1,66.5,110.3,60.3,1.13,1.01,0.11,8.50,27.3,6.63,1.88,32.3
ru Zenit,19,6.0,319.3,424.7,75.2,6636.3,2702.3,126.8,148.2,85.6,126.8,154.5,82.1,58.5,102.5,57.1,0.83,0.82,0.02,7.50,24.8,8.33,3.00,29.3
