Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
nl Ajax,1,6,6,540,6.0,1.00,1.00,4.67,4.00,85.7,0.50,0.17,0.33,0.50,50.0,0.50,0.33,0.00,0.17,0.0
it Atalanta,2,9,9,810,9.0,2.00,2.00,4.89,3.00,61.4,0.44,0.11,0.44,0.22,22.2,0.22,0.11,0.00,0.11,0.0
es Atlético Madrid,1,9,9,840,9.3,0.97,0.96,3.23,2.37,70.0,0.54,0.11,0.32,0.43,44.4,0.00,0.00,0.00,0.00,
es Barcelona,2,9,9,810,9.0,1.56,1.56,4.78,3.22,69.8,0.56,0.33,0.11,0.22,22.2,0.22,0.11,0.11,0.00,50.0
de Bayern Munich,1,11,11,990,11.0,0.73,0.73,3.00,2.45,78.8,1.00,0.00,0.00,0.55,54.5,0.09,0.09,0.00,0.00,0.0
pt Benfica,1,6,6,540,6.0,1.83,1.83,4.50,3.00,63.0,0.33,0.17,0.50,0.17,16.7,0.17,0.17,0.00,0.00,0.0
eng Chelsea,2,8,8,720,8.0,2.00,2.00,3.75,2.13,50.0,0.38,0.25,0.38,0.13,12.5,0.25,0.13,0.13,0.00,50.0
be Club Brugge,1,6,6,540,6.0,2.00,2.00,4.00,2.00,50.0,0.00,0.50,0.50,0.17,16.7,0.00,0.00,0.00,0.00,
hr Dinamo Zagreb,1,6,6,540,6.0,2.17,2.17,5.33,3.50,65.6,0.17,0.33,0.50,0.17,16.7,0.33,0.33,0.00,0.00,0.0
de Dortmund,1,8,8,720,8.0,1.38,1.37,4.50,3.13,69.4,0.50,0.13,0.38,0.25,25.0,0.13,0.00,0.13,0.00,100.0
tr Galatasaray,1,6,6,540,6.0,2.33,2.33,7.67,5.67,73.9,0.00,0.33,0.67,0.17,16.7,0.33,0.33,0.00,0.00,0.0
be Genk,2,6,6,540,6.0,3.33,3.33,6.33,3.17,52.6,0.00,0.17,0.83,0.17,16.7,0.33,0.33,0.00,0.00,0.0
it Inter,1,6,6,540,6.0,1.50,1.50,4.83,3.50,72.4,0.33,0.17,0.50,0.17,16.7,0.17,0.17,0.00,0.00,0.0
it Juventus,2,8,8,720,8.0,0.75,0.75,2.75,2.13,77.3,0.75,0.13,0.13,0.38,37.5,0.13,0.13,0.00,0.00,0.0
de Leverkusen,1,6,6,540,6.0,1.50,1.50,4.67,3.17,67.9,0.33,0.00,0.67,0.17,16.7,0.00,0.00,0.00,0.00,
fr Lille,2,6,6,540,6.0,2.33,2.33,5.33,3.33,59.4,0.00,0.17,0.83,0.00,0.0,0.17,0.17,0.00,0.00,0.0
eng Liverpool,2,8,8,750,8.3,1.45,1.44,3.73,2.41,64.5,0.48,0.12,0.36,0.12,12.5,0.12,0.12,0.00,0.00,0.0
ru Loko Moscow,2,6,6,540,6.0,1.83,1.83,6.50,5.17,74.4,0.17,0.00,0.83,0.00,0.0,0.33,0.17,0.17,0.00,50.0
fr Lyon,1,10,10,900,10.0,1.40,1.40,3.70,2.60,70.3,0.40,0.20,0.40,0.20,20.0,0.30,0.30,0.00,0.00,0.0
eng Manchester City,3,9,9,803,9.0,1.00,1.01,2.89,2.00,69.2,0.67,0.22,0.11,0.22,22.2,0.11,0.11,0.00,0.00,0.0
it Napoli,2,8,8,720,8.0,1.00,1.00,2.63,2.00,76.2,0.38,0.50,0.13,0.38,37.5,0.38,0.38,0.00,0.00,0.0
gr Olympiacos,1,6,6,540,6.0,2.33,2.33,5.67,3.50,61.8,0.17,0.17,0.67,0.17,16.7,0.33,0.17,0.00,0.17,0.0
fr Paris S-G,2,11,11,990,11.0,0.55,0.55,2.82,2.27,80.6,0.73,0.09,0.18,0.64,63.6,0.09,0.00,0.09,0.00,100.0
de RB Leipzig,2,10,10,900,10.0,1.20,1.20,4.60,3.40,76.1,0.60,0.20,0.20,0.30,30.0,0.10,0.10,0.00,0.00,0.0
at RB Salzburg,2,6,6,540,6.0,2.17,2.17,4.83,2.67,55.2,0.33,0.17,0.50,0.00,0.0,0.00,0.00,0.00,0.00,
es Real Madrid,2,8,8,720,8.0,1.50,1.50,4.25,2.88,67.6,0.38,0.25,0.38,0.25,25.0,0.13,0.13,0.00,0.00,0.0
rs Red Star,1,6,6,540,6.0,3.33,3.33,8.50,5.33,64.7,0.17,0.00,0.83,0.00,0.0,0.33,0.33,0.00,0.00,0.0
ua Shakhtar,1,6,6,540,6.0,2.17,2.17,5.33,3.33,62.5,0.17,0.50,0.33,0.00,0.0,0.33,0.17,0.17,0.00,50.0
cz Slavia Prague,1,6,6,540,6.0,1.67,1.67,5.83,4.33,71.4,0.00,0.33,0.67,0.17,16.7,0.00,0.00,0.00,0.00,
eng Tottenham,2,8,8,720,8.0,2.25,2.25,5.75,3.38,65.2,0.38,0.13,0.50,0.25,25.0,0.25,0.25,0.00,0.00,0.0
es Valencia,2,8,8,720,8.0,1.88,1.87,4.63,2.88,64.9,0.38,0.25,0.38,0.25,25.0,0.38,0.25,0.00,0.13,0.0
ru Zenit,2,6,6,540,6.0,1.50,1.50,6.33,5.17,81.6,0.33,0.17,0.50,0.17,16.7,0.33,0.33,0.00,0.00,0.0
