Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
243,Loris Karius\Loris-Karius,de GER,GK,Liverpool,24,1993,19.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
244,Orestis Karnezis\Orestis-Karnezis,gr GRE,GK,Watford,32,1985,14.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
245,Beram Kayal\Beram-Kayal,il ISR,MF,Brighton,29,1988,8.3,0.00,0.48,0.24,50.0,0.48,0.24,0.00,0.00,15.7,0.00,0.00,0.00,0.04,0.04,0.08,-0.04,-0.04,Matches
246,Michael Keane\Michael-Keane,eng ENG,DF,Everton,24,1993,28.4,0.00,0.56,0.04,6.3,0.56,0.04,0.00,0.00,10.4,0.00,0.00,0.00,0.04,0.04,0.07,-0.04,-0.04,Matches
247,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,27,1990,13.3,0.00,0.38,0.15,40.0,0.38,0.15,0.00,0.00,11.1,0.00,0.00,0.00,0.02,0.02,0.07,-0.02,-0.02,Matches
248,Kenedy\Kenedy,br BRA,MFFW,Newcastle Utd,21,1996,11.4,0.18,2.02,0.44,21.7,2.02,0.44,0.09,0.40,20.9,0.09,0.00,0.00,0.18,0.18,0.09,-0.01,-0.01,Matches
249,Jonjoe Kenny\Jonjoe-Kenny,eng ENG,DF,Everton,20,1997,17.7,0.00,0.17,0.06,33.3,0.17,0.06,0.00,0.00,17.8,0.00,0.00,0.00,0.01,0.01,0.07,-0.01,-0.01,Matches
250,Andy King\Andy-King,wal WAL,MF,Swansea City,28,1988,7.9,0.25,1.01,0.51,50.0,1.01,0.50,0.25,0.50,19.7,0.00,0.00,0.00,0.13,0.13,0.12,0.13,0.13,Matches
251,Andy King\Andy-King,wal WAL,MF,Leicester City,28,1988,6.0,0.17,1.00,0.33,33.3,1.01,0.34,0.17,0.50,13.4,0.00,0.00,0.00,0.15,0.15,0.14,0.02,0.02,Matches
252,Joshua King\Joshua-King,no NOR,FWMF,Bournemouth,25,1992,27.3,0.29,1.72,0.62,36.2,1.72,0.62,0.13,0.35,15.2,0.00,0.07,0.07,0.28,0.23,0.13,0.01,-0.01,Matches
253,Davy Klaassen\Davy-Klaassen,nl NED,MFFW,Everton,24,1993,2.8,0.00,0.36,0.36,100.0,0.36,0.36,0.00,0.00,28.6,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
254,Ragnar Klavan\Ragnar-Klavan,ee EST,DF,Liverpool,31,1985,16.1,0.06,0.06,0.00,0.0,0.06,0.00,1.00,,7.8,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.06,Matches
255,Anthony Knockaert\Anthony-Knockaert,fr FRA,MFFW,Brighton,25,1991,26.9,0.11,1.67,0.48,28.9,1.67,0.48,0.07,0.23,19.3,0.00,0.00,0.00,0.13,0.13,0.08,-0.02,-0.02,Matches
256,Sead Kolašinac\Sead-Kolasinac,ba BIH,DFMF,Arsenal,24,1993,23.9,0.08,0.88,0.25,28.6,0.88,0.25,0.10,0.33,12.7,0.00,0.00,0.00,0.10,0.10,0.12,-0.02,-0.02,Matches
257,Vincent Kompany\Vincent-Kompany,be BEL,DF,Manchester City,31,1986,15.5,0.06,0.39,0.13,33.3,0.39,0.13,0.17,0.50,9.6,0.00,0.00,0.00,0.03,0.03,0.08,0.03,0.03,Matches
258,Terence Kongolo\Terence-Kongolo,nl NED,DF,Huddersfield,23,1994,11.7,0.00,0.17,0.00,0.0,0.17,0.00,0.00,,14.4,0.00,0.00,0.00,0.03,0.03,0.13,-0.03,-0.03,Matches
259,Laurent Koscielny\Laurent-Koscielny,fr FRA,DF,Arsenal,31,1985,24.7,0.08,0.36,0.08,22.2,0.36,0.08,0.22,1.00,8.7,0.00,0.00,0.00,0.08,0.08,0.21,0.00,0.00,Matches
260,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MF,West Ham,27,1989,31.1,0.06,0.68,0.13,19.0,0.68,0.13,0.10,0.50,13.9,0.00,0.00,0.00,0.08,0.08,0.13,-0.02,-0.02,Matches
261,Bojan Krkić\Bojan-Krkic,es ESP,MF,Stoke City,26,1990,0.8,0.00,1.25,0.00,0.0,1.27,0.00,0.00,,22.7,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
262,Grzegorz Krychowiak\Grzegorz-Krychowiak,pl POL,MF,West Brom,27,1990,18.2,0.00,0.99,0.22,22.2,0.99,0.22,0.00,0.00,23.5,0.11,0.00,0.00,0.05,0.05,0.05,-0.05,-0.05,Matches
263,Rajiv van La Parra\Rajiv-van-La-Parra,nl NED,FWMF,Huddersfield,26,1991,23.7,0.13,1.77,0.55,31.0,1.77,0.55,0.05,0.15,21.3,0.00,0.04,0.04,0.15,0.11,0.06,-0.02,-0.03,Matches
264,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,26,1991,24.5,0.57,2.73,1.31,47.8,2.74,1.31,0.18,0.38,13.1,0.00,0.08,0.08,0.48,0.42,0.15,0.09,0.07,Matches
265,Freddie Ladapo\Freddie-Ladapo,eng ENG,FW,Crystal Palace,24,1993,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
266,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,29,1988,3.4,0.00,3.24,0.00,0.0,3.21,0.00,0.00,,17.8,0.00,0.00,0.00,0.41,0.41,0.12,-0.41,-0.41,Matches
267,Érik Lamela\Erik-Lamela,ar ARG,FWMF,Tottenham,25,1992,9.4,0.21,1.91,0.53,27.8,1.92,0.53,0.11,0.40,13.4,0.00,0.00,0.00,0.33,0.33,0.17,-0.12,-0.12,Matches
268,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,24,1993,22.7,0.22,1.89,0.70,37.2,1.90,0.71,0.12,0.31,20.6,0.31,0.00,0.04,0.17,0.14,0.07,0.05,0.08,Matches
269,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,23,1994,9.0,0.00,0.33,0.00,0.0,0.33,0.00,0.00,,26.2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
270,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,23,1993,32.5,0.09,0.43,0.28,64.3,0.43,0.28,0.21,0.33,11.1,0.00,0.00,0.00,0.04,0.04,0.09,0.05,0.05,Matches
271,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,26,1991,23.4,0.00,0.47,0.09,18.2,0.47,0.09,0.00,0.00,22.8,0.09,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
272,Mario Lemina\Mario-Lemina,ga GAB,MF,Southampton,23,1993,19.1,0.05,1.26,0.26,20.8,1.26,0.26,0.04,0.20,25.2,0.00,0.00,0.00,0.04,0.04,0.03,0.01,0.01,Matches
273,Aaron Lennon\Aaron-Lennon,eng ENG,FWMF,Everton,30,1987,8.8,0.00,0.45,0.11,25.0,0.45,0.11,0.00,0.00,15.1,0.00,0.00,0.00,0.03,0.03,0.06,-0.03,-0.03,Matches
274,Aaron Lennon\Aaron-Lennon,eng ENG,MFFW,Burnley,30,1987,12.4,0.00,0.81,0.32,40.0,0.81,0.32,0.00,0.00,16.3,0.00,0.00,0.00,0.05,0.05,0.06,-0.05,-0.05,Matches
275,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,23,1994,14.3,0.00,0.07,0.00,0.0,0.07,0.00,0.00,,38.0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
276,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,Manchester Utd,24,1992,20.2,0.40,2.82,1.19,42.1,2.82,1.19,0.14,0.33,16.8,0.00,0.00,0.00,0.38,0.38,0.14,0.01,0.01,Matches
277,Jake Livermore\Jake-Livermore,eng ENG,MF,West Brom,27,1989,29.7,0.07,0.51,0.13,26.7,0.50,0.13,0.13,0.50,17.4,0.00,0.00,0.00,0.07,0.07,0.14,-0.00,-0.00,Matches
278,Fernando Llorente\Fernando-Llorente,es ESP,FWDF,Tottenham,32,1985,2.6,0.38,2.69,0.77,28.6,2.65,0.76,0.14,0.50,11.4,0.00,0.00,0.00,0.42,0.42,0.16,-0.04,-0.04,Matches
279,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,30,1986,36.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
280,Jürgen Locadia\Jurgen-Locadia,nl NED,FWMF,Brighton,23,1993,2.5,0.40,2.00,0.40,20.0,2.01,0.40,0.20,1.00,15.2,0.00,0.00,0.00,0.40,0.40,0.20,0.00,0.00,Matches
281,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Crystal Palace,21,1996,20.8,0.10,1.54,0.34,21.9,1.54,0.34,0.06,0.29,15.8,0.00,0.00,0.00,0.16,0.16,0.10,-0.06,-0.06,Matches
282,Joe Lolley\Joe-Lolley,eng ENG,MFFW,Huddersfield,24,1992,2.5,0.40,1.20,1.20,100.0,1.22,1.22,0.33,0.33,20.4,0.00,0.00,0.00,0.08,0.08,0.05,0.32,0.32,Matches
283,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,26,1990,16.0,0.06,0.63,0.06,10.0,0.62,0.06,0.10,1.00,6.7,0.00,0.00,0.00,0.08,0.08,0.13,-0.02,-0.02,Matches
284,Shane Long\Shane-Long,ie IRL,FW,Southampton,30,1987,17.6,0.11,1.87,0.74,39.4,1.88,0.74,0.06,0.15,12.1,0.00,0.00,0.00,0.28,0.28,0.15,-0.16,-0.16,Matches
285,Ademola Lookman\Ademola-Lookman,eng ENG,MFFW,Everton,19,1997,1.8,0.00,1.67,0.00,0.0,1.70,0.00,0.00,,20.0,0.00,0.00,0.00,0.06,0.06,0.04,-0.06,-0.06,Matches
286,Jonas Lössl\Jonas-Lossl,dk DEN,GK,Huddersfield,28,1989,38.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
