Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
21,Marko Arnautović\Marko-Arnautovic,at AUT,FWMF,West Ham,28,1989,25.7,29.2,27.4,1.79,0.39,0.00,6.81,0.43,2.18,0.12,0.04,0.00,0.00,19.0,4.59,5.64,4.59,20.5,2.72,0.51,0.70,19.7,0.08,0.51,0.89,1.91,Matches
22,Harry Arter\Harry-Arter,ie IRL,MF,Bournemouth,27,1989,10.7,53.0,51.5,1.50,1.31,0.00,8.50,1.40,0.37,0.09,0.00,0.00,0.09,42.6,2.71,7.66,28.5,22.8,1.40,0.09,0.09,45.4,0.00,0.93,0.93,0.56,Matches
23,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,25,1992,19.8,26.0,25.3,0.71,0.20,0.00,6.36,0.40,2.22,0.15,0.00,0.00,0.00,17.5,3.28,5.25,20.0,3.18,2.22,0.35,0.10,18.3,0.05,0.81,0.81,1.77,Matches
24,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,28,1989,11.7,27.3,25.5,1.79,0.00,0.00,6.92,0.17,1.97,0.00,0.00,0.00,0.00,18.7,3.68,4.87,1.79,22.9,1.97,0.17,0.09,18.7,0.09,0.77,1.37,1.79,Matches
25,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,24,1992,15.9,63.7,53.8,9.87,0.00,0.00,10.8,0.50,3.02,0.06,0.00,0.00,0.00,37.5,13.1,13.0,5.79,42.3,4.21,9.81,0.00,47.7,0.13,1.19,1.82,2.52,Matches
26,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,28,1989,11.5,20.4,19.8,0.61,0.00,0.00,3.83,0.09,0.17,0.00,0.00,0.00,0.00,10.6,3.65,6.17,1.83,12.5,4.00,0.09,0.09,14.5,0.35,0.52,0.17,0.52,Matches
27,André Ayew\Andre-Ayew,gh GHA,FWMF,Swansea City,27,1989,10.6,30.0,28.5,1.51,0.09,0.00,9.34,0.19,0.28,0.00,0.00,0.00,0.00,20.8,4.34,4.91,22.2,3.49,2.55,0.28,0.38,23.7,0.00,0.28,0.19,0.85,Matches
28,André Ayew\Andre-Ayew,gh GHA,FWMF,West Ham,27,1989,9.9,28.9,27.8,1.11,0.10,0.00,6.06,0.10,0.40,0.00,0.00,0.00,0.00,19.9,3.43,5.56,21.8,2.63,2.32,0.20,0.20,21.5,0.20,0.61,0.51,1.41,Matches
29,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Swansea City,25,1991,31.7,27.8,26.9,0.85,0.09,0.00,7.57,0.44,1.20,0.00,0.00,0.00,0.00,21.3,2.62,3.91,1.45,23.7,1.48,0.09,0.25,22.0,0.06,0.44,0.60,1.23,Matches
30,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,27,1989,37.0,77.4,75.0,2.35,0.86,0.05,7.92,1.54,1.46,0.00,0.00,0.00,0.00,56.5,5.84,15.0,4.68,64.9,5.24,1.49,0.41,65.0,0.35,1.00,1.27,1.14,Matches
31,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,23,1994,11.1,38.6,38.1,0.54,0.45,0.00,3.06,0.27,0.00,0.00,0.00,0.00,0.00,29.4,2.43,6.85,4.77,30.5,2.43,0.09,0.36,33.8,0.09,0.72,0.18,0.18,Matches
32,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,32,1984,21.2,46.0,38.0,8.02,0.90,0.00,7.50,1.42,2.36,0.94,0.00,0.00,0.00,27.1,5.19,13.8,30.0,7.36,2.17,6.18,0.09,34.4,0.28,0.90,0.99,1.70,Matches
33,Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Chelsea,22,1994,23.6,46.5,46.3,0.25,0.17,0.00,6.78,1.31,0.47,0.00,0.00,0.00,0.00,35.8,4.53,6.19,8.14,34.5,2.63,0.04,0.25,39.8,0.13,0.72,1.02,0.64,Matches
34,Sam Baldock\Sam-Baldock,eng ENG,FWMF,Brighton,28,1989,0.4,17.5,15.0,2.50,2.50,0.00,2.50,0.00,5.00,0.00,0.00,0.00,0.00,12.5,2.50,2.50,2.50,15.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,2.50,Matches
35,Beni Baningime\Beni-Baningime,cd COD,MF,Everton,18,1998,2.2,37.3,37.3,0.00,0.00,0.00,9.09,0.45,0.45,0.00,0.00,0.00,0.00,27.7,3.64,5.91,6.36,28.2,2.27,0.00,0.00,30.5,0.00,0.45,1.82,0.91,Matches
36,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,32,1985,12.5,46.3,35.0,11.4,0.80,0.00,8.00,0.56,1.92,0.00,0.00,0.00,0.00,17.3,6.96,22.1,4.08,26.2,4.64,10.6,0.08,31.2,0.16,2.08,0.64,1.04,Matches
37,Ross Barkley\Ross-Barkley,eng ENG,MFFW,Chelsea,23,1993,1.4,36.4,36.4,0.00,0.00,0.00,3.57,0.71,2.14,0.00,0.00,0.00,0.00,31.4,2.14,2.86,7.86,27.9,0.71,0.00,0.00,27.1,0.71,0.71,0.71,1.43,Matches
38,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,27,1989,24.1,21.1,20.6,0.50,0.00,0.00,5.98,0.08,0.71,0.00,0.00,0.00,0.00,10.7,4.27,6.14,3.57,11.1,3.78,0.04,1.04,12.7,0.12,0.83,0.62,0.83,Matches
39,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,19,1997,0.1,70.0,60.0,10.0,0.00,0.00,10.0,0.00,10.0,10.0,0.00,0.00,0.00,50.0,10.0,10.0,10.0,50.0,10.0,0.00,0.00,60.0,0.00,0.00,0.00,0.00,Matches
40,Gareth Barry\Gareth-Barry,eng ENG,MF,West Brom,36,1981,21.4,43.6,42.1,1.50,0.89,0.09,6.40,1.96,0.84,0.56,0.14,0.00,0.00,25.3,4.81,13.5,31.9,5.51,4.91,0.05,0.42,32.5,0.19,1.21,1.07,0.61,Matches
41,Kyle Bartley\Kyle-Bartley,eng ENG,DF,Swansea City,26,1991,2.6,44.2,44.2,0.00,0.00,0.00,6.92,1.15,0.00,0.00,0.00,0.00,0.00,31.2,2.31,10.8,3.08,33.5,5.77,0.00,0.00,33.8,0.00,1.54,0.77,0.77,Matches
