Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG
Arsenal,29,27.0,18.3,18.33,13.5,1.11,1.19,0.96,1.26,0.30,2.26,2.26,1.56,0.07,0.22,0.15,0.22,0.04,0.00
Aston Villa,21,26.0,22.7,22.69,16.3,2.19,1.46,1.04,1.35,0.38,2.54,2.54,1.85,0.23,0.04,0.15,0.19,0.08,0.00
Brighton,26,27.0,20.6,20.56,15.3,1.67,0.93,1.26,1.00,0.37,1.44,1.44,1.07,0.11,0.00,0.07,0.19,0.00,0.00
Burnley,24,28.0,13.6,13.61,9.64,1.50,0.61,0.71,0.86,0.29,0.89,0.89,0.46,0.14,0.07,0.11,0.07,0.04,0.00
Chelsea,27,28.0,23.9,23.89,17.9,2.14,1.00,1.14,1.25,0.50,2.64,2.64,1.79,0.21,0.14,0.18,0.29,0.04,0.00
Crystal Palace,22,28.0,13.8,13.75,9.82,1.25,1.04,0.36,1.04,0.25,1.79,1.79,1.25,0.14,0.14,0.07,0.14,0.04,0.00
Everton,26,27.0,15.4,15.41,11.3,1.52,0.74,0.59,0.96,0.30,2.41,2.41,1.59,0.26,0.07,0.33,0.15,0.00,0.00
Fulham,25,28.0,19.5,19.54,14.7,1.68,1.25,0.75,0.89,0.29,1.43,1.43,1.04,0.07,0.14,0.07,0.07,0.04,0.00
Leeds United,22,27.0,22.4,22.41,16.9,1.81,1.11,1.22,0.81,0.56,2.70,2.70,2.00,0.11,0.19,0.22,0.15,0.04,0.00
Leicester City,26,28.0,19.1,19.11,13.8,1.07,1.18,1.07,1.21,0.79,2.82,2.82,1.96,0.07,0.21,0.18,0.32,0.07,0.00
Liverpool,28,28.0,22.8,22.82,17.4,1.57,1.07,1.32,1.11,0.39,2.18,2.18,1.43,0.14,0.14,0.29,0.14,0.04,0.00
Manchester City,23,28.0,25.9,25.86,19.2,1.50,2.11,1.25,1.04,0.79,3.29,3.29,2.36,0.07,0.32,0.29,0.14,0.11,0.00
Manchester Utd,25,28.0,22.8,22.82,16.4,2.04,1.07,1.18,1.50,0.61,3.25,3.25,2.29,0.25,0.07,0.21,0.32,0.11,0.00
Newcastle Utd,27,27.0,15.3,15.33,10.2,2.11,0.81,0.37,1.37,0.48,1.56,1.56,1.15,0.11,0.07,0.04,0.19,0.00,0.00
Sheffield Utd,24,28.0,13.5,13.46,10.2,1.14,0.82,0.54,0.43,0.32,0.71,0.71,0.43,0.07,0.04,0.07,0.11,0.00,0.00
Southampton,29,27.0,15.3,15.26,10.7,1.41,0.96,0.67,1.15,0.33,2.11,2.11,1.30,0.19,0.19,0.07,0.26,0.11,0.00
Tottenham,24,27.0,18.4,18.41,12.7,1.37,1.37,0.93,1.48,0.52,3.07,3.07,2.26,0.22,0.22,0.15,0.15,0.07,0.00
West Brom,30,28.0,12.0,12.00,8.75,1.25,0.68,0.61,0.57,0.14,1.21,1.21,0.82,0.11,0.04,0.11,0.11,0.04,0.00
West Ham,24,27.0,18.7,18.67,12.6,2.19,0.81,1.41,1.41,0.22,2.41,2.41,1.41,0.37,0.00,0.44,0.19,0.00,0.00
Wolves,25,28.0,19.4,19.39,13.0,1.79,1.75,1.14,1.21,0.50,1.50,1.50,0.71,0.14,0.21,0.29,0.14,0.00,0.00
