Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Arsenal,29,52.8,27.0,653.9,71.7,227.7,306.1,164.0,25.6,612.3,8.11,14.6,55.7,8.67,0.70,442.9,2379.1,1373.9,51.3,13.8,4.74,8.44,9.67,528.4,457.0,86.5,35.7
Aston Villa,21,48.9,26.0,554.6,68.7,182.0,236.8,167.0,28.9,505.2,11.1,16.6,66.7,11.6,0.50,329.2,1757.2,942.0,38.5,11.3,6.12,11.3,11.0,417.4,338.6,81.1,34.7
Brighton,26,51.8,27.0,615.1,68.6,216.2,265.0,173.7,27.6,570.0,9.11,14.7,62.1,9.78,0.48,395.4,2204.2,1162.2,44.8,14.1,3.59,11.2,11.3,484.5,403.6,83.3,35.5
Burnley,24,41.3,28.0,503.7,61.1,162.0,240.5,126.7,18.1,459.6,6.54,10.6,61.8,7.04,0.50,266.6,1319.9,635.0,25.0,8.93,1.96,10.8,8.86,365.4,282.3,77.2,25.4
Chelsea,27,61.6,28.0,780.4,71.5,246.9,382.8,199.5,27.9,738.1,9.32,16.1,57.7,9.86,0.71,520.0,2586.9,1463.3,59.5,16.8,6.11,11.5,10.5,647.9,572.1,88.3,42.1
Crystal Palace,22,40.5,28.0,525.1,60.1,186.9,244.3,126.3,17.9,479.2,9.50,16.1,59.0,10.1,0.54,304.1,1575.5,812.6,33.8,11.2,3.32,10.9,14.5,382.8,310.0,81.0,26.8
Everton,26,46.7,27.0,607.1,76.5,234.0,279.2,131.6,18.6,565.0,9.22,15.9,58.2,9.78,0.96,370.3,1986.7,1082.1,35.3,10.2,3.33,11.1,12.7,464.4,394.3,84.9,28.3
Fulham,25,49.6,28.0,628.5,67.1,214.2,296.6,158.3,21.2,584.7,13.5,20.3,66.5,14.1,0.82,397.2,2105.5,1133.1,41.8,14.0,3.79,14.8,12.7,481.5,406.4,84.4,32.4
Leeds United,22,60.7,27.0,677.1,79.7,252.8,294.6,172.5,27.3,630.0,8.04,14.0,57.4,8.89,1.11,418.9,2402.1,1360.6,46.4,13.9,4.15,13.4,10.9,537.5,452.8,84.2,42.3
Leicester City,26,52.8,28.0,642.7,67.1,221.4,303.9,155.3,21.4,598.6,8.96,16.6,54.0,9.57,0.71,406.4,1998.7,1087.0,41.6,12.5,3.82,12.4,11.6,499.5,421.8,84.4,32.9
Liverpool,28,63.5,28.0,805.3,54.8,205.8,409.4,239.4,34.8,758.5,10.6,17.6,60.4,11.4,0.68,554.3,2643.6,1428.6,61.1,18.5,5.36,12.9,11.9,671.5,589.9,87.8,53.1
Manchester City,23,64.7,28.0,813.6,55.3,185.6,443.4,240.1,36.6,773.2,12.7,22.0,57.7,13.6,0.82,588.8,3157.0,1819.1,83.1,21.1,8.82,9.89,10.3,697.1,630.5,90.4,45.3
Manchester Utd,25,55.6,28.0,692.9,61.9,209.6,324.6,205.6,26.7,648.5,10.7,18.2,58.9,11.6,0.86,449.0,2469.1,1391.6,57.4,18.3,4.64,10.5,12.0,560.3,484.3,86.4,40.5
Newcastle Utd,27,38.7,27.0,490.6,66.6,192.0,204.0,121.6,16.2,443.5,8.74,14.6,60.1,9.44,0.41,278.1,1371.3,698.3,25.7,8.93,2.74,9.74,10.3,351.4,278.9,79.4,21.6
Sheffield Utd,24,41.4,28.0,530.1,62.1,169.2,226.8,162.5,19.3,486.4,7.71,13.2,58.4,8.54,0.75,295.4,1544.4,822.2,31.6,9.93,2.43,10.9,9.93,385.7,314.2,81.5,28.9
Southampton,29,53.0,27.0,625.0,61.7,208.9,314.1,140.1,20.3,577.6,9.52,16.4,58.0,10.1,0.37,368.4,1852.2,985.9,40.4,12.7,3.33,12.6,11.6,479.6,395.1,82.4,29.8
Tottenham,24,50.5,27.0,633.1,70.9,216.5,317.4,137.6,19.0,587.7,9.96,16.4,60.9,10.6,0.81,396.0,1949.1,1030.4,40.4,12.7,3.33,9.93,11.7,490.7,418.3,85.3,31.9
West Brom,30,37.6,28.0,489.0,70.8,183.0,211.8,117.3,15.5,444.1,7.39,13.6,54.3,7.96,0.57,261.9,1355.6,693.6,26.1,7.32,2.68,11.4,10.9,341.1,266.8,78.2,24.4
West Ham,24,41.3,27.0,525.0,62.9,178.7,245.2,133.4,21.6,482.1,8.48,13.9,60.9,8.93,0.52,306.7,1723.6,885.5,34.4,11.0,3.67,10.1,10.2,389.4,316.4,81.2,27.4
Wolves,25,47.3,28.0,587.2,60.8,194.2,286.8,144.0,18.9,542.2,13.5,20.9,64.5,14.6,0.75,367.1,1960.3,1100.6,45.9,13.6,4.50,11.6,9.89,453.0,387.6,85.6,27.4
