Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Arsenal,29,27.0,551.6,508.9,42.7,11.7,1.15,70.3,13.4,14.0,5.19,2.04,1.70,0.41,398.2,69.1,84.3,200.9,298.0,18.9,17.5,7.22,457.0,1.41,8.74,8.19,12.2
Aston Villa,21,26.0,442.2,390.4,51.8,16.0,0.54,64.9,14.3,14.8,5.96,2.35,1.69,0.62,266.6,65.9,109.7,156.1,218.6,22.4,21.1,5.85,338.6,1.81,8.92,9.96,10.7
Brighton,26,27.0,509.0,462.3,46.6,10.9,0.93,63.4,16.0,13.6,6.00,1.89,2.85,0.15,333.7,67.3,108.0,116.7,327.4,22.8,21.1,8.19,403.6,1.52,10.4,9.30,12.1
Burnley,24,28.0,397.5,352.3,45.3,12.5,0.54,65.3,13.8,10.9,3.93,3.36,0.14,0.07,203.1,63.0,131.4,124.4,197.9,28.4,18.9,6.57,282.3,2.07,8.79,6.21,9.96
Chelsea,27,28.0,666.7,623.2,43.5,10.3,0.96,66.3,18.2,13.5,6.21,1.86,3.00,0.29,502.9,72.1,91.7,148.7,463.3,19.1,18.8,6.68,572.1,1.39,8.50,9.21,13.8
Crystal Palace,22,28.0,407.6,360.6,47.1,12.4,0.32,59.5,7.82,9.61,3.82,1.79,1.18,0.39,256.1,56.1,95.4,109.5,239.9,17.6,19.9,6.00,310.0,1.68,6.96,8.89,11.8
Everton,26,27.0,490.5,447.4,43.0,11.8,0.56,58.1,13.2,11.0,4.15,1.81,1.63,0.22,331.1,63.7,95.7,142.3,292.6,18.4,17.7,6.22,394.3,1.56,7.96,10.1,12.1
Fulham,25,28.0,504.3,458.7,45.6,12.1,0.57,58.9,13.5,12.8,4.00,1.11,1.64,0.57,346.1,59.1,99.0,113.0,332.1,20.3,20.6,6.79,406.4,1.00,8.32,9.11,13.1
Leeds United,22,27.0,561.0,511.9,49.1,12.0,1.15,61.6,16.4,14.2,5.78,2.44,2.37,0.22,381.2,78.4,101.4,233.6,263.7,21.9,21.6,10.1,452.8,1.56,9.78,11.6,14.5
Leicester City,26,28.0,524.3,479.0,45.4,13.1,1.46,62.4,12.0,10.4,5.11,1.25,2.00,0.29,360.4,68.0,96.0,103.3,362.7,21.4,18.9,6.68,421.8,1.54,8.75,11.0,12.3
Liverpool,28,28.0,698.5,651.3,47.1,11.1,1.29,72.8,19.9,15.4,6.61,1.61,3.07,0.61,512.6,80.7,105.1,171.0,467.1,21.1,21.8,7.39,589.9,1.50,6.71,11.3,15.2
Manchester City,23,28.0,715.6,674.4,41.2,10.7,1.75,78.2,16.5,11.3,6.86,1.89,2.07,0.68,565.1,66.3,84.2,246.1,418.2,17.9,17.4,6.39,630.5,1.43,6.64,10.5,12.7
Manchester Utd,25,28.0,578.1,532.5,45.6,11.0,1.36,68.8,16.6,11.5,5.14,1.39,2.46,0.64,434.2,61.5,82.4,167.0,359.8,16.9,20.0,5.50,484.3,2.07,6.46,12.7,14.6
Newcastle Utd,27,27.0,378.1,330.4,47.7,12.7,0.74,53.0,12.0,10.3,4.41,1.30,1.85,0.56,220.3,55.8,102.1,98.6,223.3,18.0,18.9,6.11,278.9,1.33,6.93,8.30,12.0
Sheffield Utd,24,28.0,417.9,373.3,44.6,9.43,0.93,59.1,11.9,11.5,4.64,2.93,0.82,0.54,252.7,57.9,107.3,121.6,230.6,21.6,20.9,4.68,314.2,1.68,8.57,6.96,10.3
Southampton,29,27.0,505.8,457.7,48.1,13.6,1.00,76.5,8.67,7.96,4.37,2.04,1.89,0.30,332.7,61.3,111.8,99.6,341.0,24.9,21.9,7.00,395.1,1.78,8.11,9.81,13.0
Tottenham,24,27.0,517.1,470.5,46.6,14.4,1.30,55.7,12.9,8.37,3.93,2.52,1.04,0.11,355.0,65.5,96.6,130.4,326.1,22.7,18.9,5.78,418.3,0.85,6.07,9.30,10.8
West Brom,30,28.0,371.2,325.5,45.7,12.3,0.50,50.9,10.3,10.3,3.54,1.43,0.79,0.54,211.1,50.2,109.9,87.3,220.9,21.4,19.0,6.36,266.8,1.64,9.29,7.11,10.5
West Ham,24,27.0,417.5,373.9,43.6,11.0,0.52,55.5,12.7,12.7,4.63,2.11,1.96,0.26,253.4,58.4,105.7,126.7,231.9,20.3,18.0,5.37,316.4,1.74,8.00,8.22,11.1
Wolves,25,28.0,477.1,431.0,46.0,12.2,0.79,58.3,14.8,12.9,5.32,1.75,1.50,0.18,304.5,75.1,97.5,139.0,282.6,18.6,19.0,5.68,387.6,0.79,7.50,8.29,11.8
