Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Arsenal,29,25.8,38,3420,90,100,38.0,11.0,83,,3.24,21,4.29,1.47,1.47,1.26,0.21,+0.21,1.29,1.49,-0.19,-0.19
Aston Villa,28,25.7,38,3420,90,100,38.0,11.0,84,,2.97,22,4.55,0.92,1.08,1.76,-0.68,-0.68,1.06,1.73,-0.68,-0.68
Bournemouth,27,25.2,38,3420,90,100,38.0,11.0,84,,2.84,23,4.63,0.89,1.05,1.71,-0.66,-0.66,1.12,1.51,-0.39,-0.39
Brighton,25,26.4,38,3420,90,100,38.0,11.0,84,,3.37,20,4.08,1.08,1.03,1.42,-0.39,-0.39,1.08,1.43,-0.35,-0.35
Burnley,22,28.0,38,3420,90,100,38.0,11.0,86,,1.95,20,5.42,1.42,1.13,1.32,-0.18,-0.18,1.16,1.27,-0.12,-0.12
Chelsea,27,25.5,38,3420,90,100,38.0,11.0,84,,3.08,20,4.37,1.74,1.82,1.42,0.39,+0.39,1.75,1.00,0.75,+0.75
Crystal Palace,25,29.4,38,3420,90,100,38.0,11.0,85,,2.58,20,4.87,1.13,0.82,1.32,-0.50,-0.50,0.89,1.35,-0.46,-0.46
Everton,24,25.5,38,3420,90,100,38.0,11.0,83,,3.16,24,4.32,1.29,1.16,1.47,-0.32,-0.32,1.30,1.27,0.02,+0.02
Leicester City,24,26.1,38,3420,90,100,38.0,11.0,84,,2.95,21,4.53,1.63,1.76,1.08,0.68,+0.68,1.62,1.17,0.45,+0.45
Liverpool,24,26.6,38,3420,90,100,38.0,11.0,85,,3.34,17,4.13,2.61,2.24,0.87,1.37,+1.37,1.88,1.05,0.83,+0.83
Manchester City,24,26.9,38,3420,90,100,38.0,11.0,83,,3.16,22,4.37,2.13,2.68,0.92,1.76,+1.76,2.45,0.91,1.53,+1.53
Manchester Utd,29,24.8,38,3420,90,100,38.0,11.0,85,,3.13,16,4.34,1.74,1.74,0.95,0.79,+0.79,1.56,0.98,0.58,+0.58
Newcastle Utd,28,26.5,38,3420,90,100,38.0,11.0,84,,3.11,20,4.37,1.16,1.00,1.53,-0.53,-0.53,0.87,1.53,-0.66,-0.66
Norwich City,30,26.0,38,3420,90,100,38.0,11.0,85,,3.32,17,4.13,0.55,0.68,1.97,-1.29,-1.29,1.00,1.63,-0.63,-0.63
Sheffield Utd,26,26.9,38,3420,90,100,38.0,11.0,84,,2.89,22,4.50,1.42,1.03,1.03,0.00,0.00,1.09,1.26,-0.17,-0.17
Southampton,25,25.9,38,3420,90,100,38.0,11.0,85,,2.92,18,4.50,1.37,1.34,1.58,-0.24,-0.24,1.42,1.40,0.02,+0.02
Tottenham,29,26.7,38,3420,90,100,38.0,11.0,85,,2.97,18,4.50,1.55,1.61,1.24,0.37,+0.37,1.21,1.37,-0.16,-0.16
Watford,26,28.9,38,3420,90,100,38.0,11.0,84,,2.97,20,4.50,0.89,0.95,1.68,-0.74,-0.74,1.19,1.51,-0.32,-0.32
West Ham,29,27.4,38,3420,90,100,38.0,11.0,85,,2.82,21,4.66,1.03,1.29,1.63,-0.34,-0.34,1.22,1.61,-0.39,-0.39
Wolves,21,26.6,38,3420,90,100,38.0,11.0,86,,2.55,19,4.92,1.55,1.34,1.05,0.29,+0.29,1.24,0.92,0.32,+0.32
