Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,29,38.0,2.32,0.13,0.03,11.1,11.5,1.95,12.6,6.42,9.82,0.05,0.16,0.00,81.2,13.1,15.1,46.5
Aston Villa,28,38.0,1.84,0.03,0.03,11.9,13.8,1.61,12.9,6.68,10.2,0.05,0.16,0.03,87.4,17.6,19.8,47.0
Bournemouth,27,38.0,2.05,0.08,0.05,9.71,10.2,1.79,10.5,7.58,9.18,0.05,0.13,0.00,96.3,19.7,21.2,48.1
Brighton,25,38.0,1.55,0.05,0.03,10.1,8.50,1.87,12.9,7.87,10.8,0.05,0.05,0.05,93.6,17.3,14.8,53.9
Burnley,22,38.0,1.76,0.00,0.00,10.8,9.76,2.32,10.8,6.63,8.95,0.03,0.13,0.03,94.1,24.4,23.2,51.3
Chelsea,27,38.0,1.58,0.00,0.00,10.2,10.1,1.66,14.9,7.05,11.8,0.16,0.05,0.08,98.8,17.6,17.6,50.1
Crystal Palace,25,38.0,1.63,0.05,0.00,11.2,12.6,1.39,9.58,7.29,11.3,0.05,0.03,0.05,92.2,18.9,19.1,49.8
Everton,24,38.0,2.00,0.08,0.08,12.4,10.4,1.53,13.2,7.34,11.1,0.00,0.11,0.08,94.7,22.0,21.6,50.5
Leicester City,24,38.0,1.13,0.08,0.03,11.0,11.7,1.71,12.5,8.13,12.6,0.16,0.26,0.05,92.8,17.7,16.3,52.0
Liverpool,24,38.0,1.00,0.03,0.00,8.71,7.71,1.39,15.0,6.47,9.87,0.11,0.03,0.03,103.4,16.6,14.8,52.9
Manchester City,24,38.0,1.68,0.11,0.05,9.50,7.76,1.76,16.2,5.97,9.61,0.26,0.05,0.03,90.8,13.5,12.3,52.3
Manchester Utd,29,38.0,1.92,0.00,0.00,11.1,11.3,1.47,10.3,7.89,9.45,0.32,0.08,0.03,92.1,15.3,12.6,54.9
Newcastle Utd,28,38.0,1.74,0.08,0.00,9.74,11.1,1.97,10.1,7.71,10.3,0.00,0.05,0.05,86.8,19.0,20.0,48.7
Norwich City,30,38.0,1.79,0.08,0.00,9.55,11.3,1.32,6.82,7.11,11.4,0.03,0.18,0.08,87.6,13.6,17.3,43.9
Sheffield Utd,26,38.0,1.66,0.05,0.03,10.8,8.05,2.05,13.9,6.84,10.3,0.03,0.08,0.00,96.7,23.4,22.6,50.9
Southampton,25,38.0,1.45,0.11,0.03,11.8,10.2,1.53,11.2,7.76,12.7,0.11,0.11,0.03,104.4,20.8,23.7,46.8
Tottenham,29,38.0,2.21,0.08,0.03,11.1,11.2,1.74,10.2,6.82,11.7,0.11,0.18,0.05,93.8,16.6,16.9,49.5
Watford,26,38.0,2.11,0.08,0.05,12.7,9.00,1.79,12.8,8.18,11.3,0.18,0.24,0.08,97.4,21.2,20.8,50.4
West Ham,29,38.0,1.68,0.03,0.03,10.2,9.08,1.74,12.4,7.66,12.4,0.08,0.16,0.08,93.1,21.3,20.6,50.8
Wolves,21,38.0,1.61,0.05,0.05,10.7,9.50,1.29,12.5,6.92,11.1,0.11,0.08,0.03,93.9,18.9,18.4,50.6
