Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Vincent Aboubakar\Vincent-Aboubakar,cm CMR,FW,pt Porto,26,1992,0.7,0.00,0.00,0.00,0.00,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.86,0.00,5.71,0.0,Matches
2,Michel Aebischer\Michel-Aebischer,ch SUI,MF,ch Young Boys,21,1997,2.5,0.00,0.00,0.00,2.00,1.60,0.00,0.00,1.20,2.80,0.00,0.00,0.00,9.20,0.00,0.40,0.0,Matches
3,Sergio Agüero\Sergio-Aguero,ar ARG,FW,eng Manchester City,30,1988,5.6,0.54,0.00,0.00,0.89,0.54,0.54,0.89,0.18,0.89,0.00,0.00,0.00,2.68,0.36,0.71,33.3,Matches
4,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MFFW,fr Monaco,24,1994,2.0,0.00,0.00,0.00,1.50,0.50,0.00,0.00,2.00,0.00,0.00,0.00,0.00,8.50,1.00,0.50,66.7,Matches
5,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,fr Monaco,22,1996,2.7,0.00,0.00,0.00,0.37,1.11,0.00,0.37,0.37,1.85,0.00,0.00,0.00,14.1,0.37,0.00,100.0,Matches
6,Manuel Akanji\Manuel-Akanji,ch SUI,DF,de Dortmund,23,1995,5.0,0.20,0.00,0.00,0.20,0.40,0.00,0.00,1.20,1.00,0.00,0.00,0.00,10.2,0.80,0.20,80.0,Matches
7,Emre Akbaba\Emre-Akbaba,tr TUR,FW,tr Galatasaray,25,1992,1.0,0.00,0.00,0.00,0.00,4.00,0.00,3.00,0.00,1.00,1.00,0.00,0.00,7.00,0.00,2.00,0.0,Matches
8,Yunus Akgün\Yunus-Akgun,tr TUR,MF,tr Galatasaray,18,2000,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.0,Matches
9,Ilzat Akhmetov\Ilzat-Akhmetov,ru RUS,MF,ru CSKA Moscow,20,1997,3.3,0.30,0.00,0.00,1.21,0.61,0.00,0.30,0.00,1.21,0.00,0.00,0.00,10.0,0.00,0.30,0.0,Matches
10,Igor Akinfeev\Igor-Akinfeev,ru RUS,GK,ru CSKA Moscow,32,1986,5.0,0.20,0.20,0.20,0.00,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,3.40,0.00,0.00,,Matches
11,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,de Hoffenheim,23,1995,2.0,0.00,0.00,0.00,0.50,1.00,0.00,0.00,1.00,1.50,0.00,0.00,0.00,8.50,0.00,1.00,0.0,Matches
12,David Alaba\David-Alaba,at AUT,DF,de Bayern Munich,26,1992,7.0,0.00,0.00,0.00,0.86,0.00,0.14,1.57,2.14,1.14,0.00,0.00,0.00,9.43,0.86,0.29,75.0,Matches
13,Jordi Alba\Jordi-Alba,es ESP,DF,es Barcelona,29,1989,11.0,0.18,0.00,0.00,0.55,0.27,0.18,3.27,1.27,0.73,0.00,0.00,0.00,9.64,0.45,0.09,83.3,Matches
14,Raúl Albiol\Raul-Albiol,es ESP,DF,it Napoli,32,1985,5.5,0.18,0.00,0.00,0.55,0.73,0.00,0.00,0.91,0.55,0.00,0.00,0.00,10.4,1.45,0.73,66.7,Matches
15,Paco Alcácer\Paco-Alcacer,es ESP,FW,de Dortmund,24,1993,4.0,0.25,0.00,0.00,1.00,0.00,1.25,0.25,0.25,0.25,0.00,0.00,0.00,3.00,0.75,0.25,75.0,Matches
16,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,de Bayern Munich,27,1991,4.3,0.23,0.00,0.00,1.16,1.86,0.00,0.23,2.56,2.09,0.23,0.00,0.00,12.3,1.63,0.93,63.6,Matches
17,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,eng Tottenham,29,1989,12.0,0.17,0.00,0.00,0.50,0.25,0.00,0.17,0.58,0.58,0.00,0.00,0.00,8.92,1.83,1.42,56.4,Matches
18,Alef\Alef,br BRA,MF,gr AEK Athens,23,1995,2.2,0.45,0.00,0.00,3.18,0.45,0.00,0.00,1.82,0.91,0.00,0.00,0.00,10.9,1.36,1.36,50.0,Matches
19,Carles Aleñá\Carles-Alena,es ESP,MF,es Barcelona,20,1998,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,5.00,0.00,1.00,0.0,Matches
20,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,eng Liverpool,19,1998,10.2,0.00,0.00,0.00,0.69,0.29,0.10,4.12,1.18,1.08,0.00,0.00,0.00,11.4,0.69,0.49,58.3,Matches
21,Alisson\Alisson,br BRA,GK,eng Liverpool,25,1992,13.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.69,0.00,0.00,,Matches
22,Allan\Allan,br BRA,MF,it Napoli,27,1991,5.7,0.18,0.00,0.00,2.11,2.11,0.00,0.18,1.40,4.39,0.00,0.00,0.00,10.9,0.35,0.18,66.7,Matches
23,Dele Alli\Dele-Alli,eng ENG,MF,eng Tottenham,22,1996,7.9,0.00,0.00,0.00,0.76,1.39,0.13,0.51,0.63,0.38,0.00,0.00,0.00,8.35,0.76,2.03,27.3,Matches
24,André Almeida\Andre-Almeida,pt POR,DF,pt Benfica,27,1990,6.0,0.17,0.00,0.00,1.83,2.00,0.17,1.67,1.67,1.17,0.00,0.00,0.00,11.3,0.67,0.33,66.7,Matches
