Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Vincent Aboubakar\Vincent-Aboubakar,cm CMR,FW,pt Porto,26,1992,1,59,59,6.3,0.7,1.43,59,0.00,0.00,,0.00,1.00,0.00,0.00,0.00,0.00,-0.52,2.14,0.43,1.71,+1.77,+2.03,Matches
2,Antonio Adán\Antonio-Adan,es ESP,GK,es Atlético Madrid,31,1987,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
3,Michel Aebischer\Michel-Aebischer,ch SUI,MF,ch Young Boys,21,1997,4,228,57,42.2,2.5,0.80,91,0.80,0.80,23,0.80,1.17,0.80,1.20,-0.40,-0.39,+1.62,1.12,2.24,-1.12,-1.11,-0.24,Matches
4,Sergio Agüero\Sergio-Aguero,ar ARG,FW,eng Manchester City,30,1988,7,507,72,56.3,5.6,1.07,80,0.36,0.18,27,0.36,1.86,2.50,1.43,1.07,+1.07,-1.68,2.04,1.18,0.88,+0.86,-0.67,Matches
5,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MFFW,fr Monaco,24,1994,3,176,59,32.6,2.0,1.00,80,0.50,0.50,17,0.00,0.33,0.50,2.50,-2.00,-2.05,-0.07,0.60,2.40,-1.80,-1.86,-1.30,Matches
6,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,fr Monaco,22,1996,3,247,82,45.7,2.7,1.11,82,0.74,0.00,,1.11,0.33,0.37,2.22,-1.85,-1.82,+0.33,0.85,2.04,-1.22,-1.19,-0.38,Matches
7,Manuel Akanji\Manuel-Akanji,ch SUI,DF,de Dortmund,23,1995,5,450,90,62.5,5.0,1.00,90,1.00,0.00,,0.20,1.40,0.80,0.60,0.20,+0.20,-0.80,1.38,0.78,0.62,+0.61,-0.15,Matches
8,Emre Akbaba\Emre-Akbaba,tr TUR,FW,tr Galatasaray,25,1992,1,90,90,16.7,1.0,1.00,90,1.00,0.00,,0.00,3.00,3.00,0.00,3.00,+3.00,+4.20,2.00,1.00,0.90,+0.94,+1.17,Matches
9,Yunus Akgün\Yunus-Akgun,tr TUR,MF,tr Galatasaray,18,2000,1,5,5,0.9,0.1,0.00,,0.00,10.0,4,10.0,0.00,0.00,0.00,0.00,0.00,+0.50,0.00,2.00,-2.00,-3.32,-3.31,Matches
10,Ilzat Akhmetov\Ilzat-Akhmetov,ru RUS,MF,ru CSKA Moscow,20,1997,4,300,75,55.6,3.3,0.91,85,0.61,0.30,45,0.00,1.00,1.21,1.52,-0.30,-0.30,-0.30,1.21,1.76,-0.55,-0.55,-0.27,Matches
11,Igor Akinfeev\Igor-Akinfeev,ru RUS,GK,ru CSKA Moscow,32,1986,5,449,90,83.1,5.0,1.00,90,0.80,0.00,,0.00,1.40,1.60,1.20,0.40,+0.40,+3.37,1.30,1.42,-0.12,-0.12,+1.85,Matches
12,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,de Hoffenheim,23,1995,2,180,90,33.3,2.0,1.00,90,1.00,0.00,,1.00,0.50,2.00,2.50,-0.50,-0.50,0.00,2.00,2.35,-0.35,-0.34,-0.20,Matches
