Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Vincent Aboubakar\Vincent-Aboubakar,cm CMR,FW,pt Porto,26,1992,0.7,8.57,21.4,40.0,88.6,7.14,5.71,14.3,40.0,1.43,4.29,33.3,0.00,0.00,,0.00,0.00,0.00,1.43,0.00,1.43,0.00,1.43,Matches
2,Michel Aebischer\Michel-Aebischer,ch SUI,MF,ch Young Boys,21,1997,2.5,44.0,51.6,85.3,827.6,263.2,16.4,17.6,93.2,20.4,22.8,89.5,6.00,8.00,75.0,0.00,0.00,0.00,0.40,7.20,0.00,0.00,5.60,Matches
3,Sergio Agüero\Sergio-Aguero,ar ARG,FW,eng Manchester City,30,1988,5.6,25.4,29.8,85.0,335.2,53.0,17.3,19.3,89.8,6.79,8.21,82.6,0.54,0.71,75.0,0.18,0.05,0.13,0.89,0.71,1.79,0.18,2.14,Matches
4,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MFFW,fr Monaco,24,1994,2.0,26.5,31.0,85.5,517.0,148.5,11.5,13.5,85.2,11.0,13.0,84.6,3.50,4.00,87.5,0.00,0.05,-0.05,1.00,4.50,1.50,0.00,4.00,Matches
5,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,fr Monaco,22,1996,2.7,63.7,73.3,86.9,1362.2,329.3,17.4,19.6,88.7,32.2,35.2,91.6,13.7,17.0,80.4,0.00,0.00,0.00,0.37,5.93,0.37,0.00,7.04,Matches
6,Manuel Akanji\Manuel-Akanji,ch SUI,DF,de Dortmund,23,1995,5.0,107.8,113.6,94.9,2263.2,603.2,30.2,31.6,95.6,61.4,62.8,97.8,15.8,18.8,84.0,0.00,0.04,-0.04,0.20,9.40,0.40,0.00,6.00,Matches
7,Emre Akbaba\Emre-Akbaba,tr TUR,FW,tr Galatasaray,25,1992,1.0,19.0,31.0,61.3,363.0,89.0,7.00,10.0,70.0,9.00,13.0,69.2,3.00,6.00,50.0,1.00,0.20,0.80,4.00,0.00,0.00,0.00,1.00,Matches
8,Yunus Akgün\Yunus-Akgun,tr TUR,MF,tr Galatasaray,18,2000,0.1,10.0,10.0,100.0,180.0,0.00,0.00,0.00,,10.0,10.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
9,Ilzat Akhmetov\Ilzat-Akhmetov,ru RUS,MF,ru CSKA Moscow,20,1997,3.3,45.2,55.8,81.0,755.2,184.2,22.4,28.5,78.7,17.0,19.1,88.9,4.55,6.06,75.0,0.30,0.06,0.24,1.21,1.82,0.91,0.00,4.24,Matches
10,Igor Akinfeev\Igor-Akinfeev,ru RUS,GK,ru CSKA Moscow,32,1986,5.0,17.4,35.4,49.2,812.4,643.2,0.40,0.40,100.0,4.40,4.40,100.0,12.6,30.6,41.2,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,Matches
11,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,de Hoffenheim,23,1995,2.0,41.5,48.0,86.5,859.0,387.5,12.5,13.0,96.2,23.0,26.0,88.5,6.00,8.00,75.0,0.00,0.00,0.00,0.00,4.00,0.50,0.00,6.00,Matches
12,David Alaba\David-Alaba,at AUT,DF,de Bayern Munich,26,1992,7.0,51.4,63.6,80.9,910.0,350.9,23.9,26.1,91.3,21.0,25.0,84.0,6.00,9.71,61.8,0.29,0.09,0.20,1.00,4.43,1.14,0.14,4.71,Matches
13,Jordi Alba\Jordi-Alba,es ESP,DF,es Barcelona,29,1989,11.0,80.3,93.4,86.0,1258.7,434.8,42.7,46.8,91.3,32.0,36.4,88.0,4.36,7.64,57.1,0.45,0.27,0.18,2.00,3.82,2.00,0.82,7.27,Matches
14,Raúl Albiol\Raul-Albiol,es ESP,DF,it Napoli,32,1985,5.5,67.8,75.6,89.7,1566.4,472.9,17.8,18.9,94.2,33.3,35.5,93.8,16.5,20.9,79.1,0.00,0.00,0.00,0.00,4.91,0.00,0.00,3.64,Matches
15,Paco Alcácer\Paco-Alcacer,es ESP,FW,de Dortmund,24,1993,4.0,17.0,23.5,72.3,236.0,46.3,10.5,14.0,75.0,5.00,7.00,71.4,1.00,1.00,100.0,0.25,0.17,0.07,1.75,0.75,1.00,0.00,1.50,Matches
16,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,de Bayern Munich,27,1991,4.3,64.7,76.0,85.0,1353.3,295.1,24.0,26.3,91.2,27.0,30.2,89.2,13.0,17.4,74.7,0.23,0.09,0.14,1.86,5.35,0.70,0.00,5.35,Matches
17,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,eng Tottenham,29,1989,12.0,52.1,60.8,85.6,1291.5,376.6,11.2,12.0,93.1,26.6,28.4,93.5,14.2,19.8,71.7,0.00,0.02,-0.02,0.17,4.42,0.42,0.00,2.92,Matches
18,Alef\Alef,br BRA,MF,gr AEK Athens,23,1995,2.2,28.6,35.0,81.8,578.2,65.5,10.5,12.3,85.2,12.3,14.5,84.4,5.45,6.82,80.0,0.00,0.00,0.00,0.00,2.73,0.00,0.00,1.36,Matches
19,Carles Aleñá\Carles-Alena,es ESP,MF,es Barcelona,20,1998,1.0,53.0,56.0,94.6,903.0,210.0,25.0,27.0,92.6,25.0,26.0,96.2,3.00,3.00,100.0,0.00,0.00,0.00,2.00,0.00,0.00,0.00,3.00,Matches
20,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,eng Liverpool,19,1998,10.2,46.4,71.1,65.2,996.2,413.7,16.4,20.5,79.9,20.9,28.7,72.7,8.63,19.4,44.4,0.20,0.27,-0.08,2.25,4.02,2.45,1.18,6.57,Matches
21,Alisson\Alisson,br BRA,GK,eng Liverpool,25,1992,13.0,27.4,34.3,79.8,767.4,417.6,2.77,2.85,97.3,15.5,15.6,99.5,9.08,15.8,57.3,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,Matches
22,Allan\Allan,br BRA,MF,it Napoli,27,1991,5.7,59.6,66.8,89.2,1078.2,273.7,27.9,30.2,92.4,22.6,24.4,92.8,8.42,11.2,75.0,0.00,0.02,-0.02,1.05,7.02,0.53,0.00,5.79,Matches
23,Dele Alli\Dele-Alli,eng ENG,MF,eng Tottenham,22,1996,7.9,31.8,39.9,79.7,521.8,165.8,16.5,18.4,89.7,11.9,14.1,84.7,2.53,4.43,57.1,0.38,0.23,0.15,1.90,2.53,2.15,0.13,4.81,Matches
24,André Almeida\Andre-Almeida,pt POR,DF,pt Benfica,27,1990,6.0,42.7,55.2,77.3,756.3,315.3,21.0,23.7,88.7,15.3,19.2,80.0,5.67,10.8,52.3,0.00,0.03,-0.03,0.67,3.83,0.50,0.00,3.83,Matches
25,Dani Alves\Dani-Alves,br BRA,MFDF,fr Paris S-G,35,1983,2.3,67.0,78.7,85.1,1044.8,411.7,38.7,42.2,91.8,22.2,25.7,86.4,4.78,6.96,68.8,0.00,0.09,-0.09,1.30,6.52,4.35,0.87,9.13,Matches
26,Mohamed Aly Camara\Mohamed-Aly-Camara,gn GUI,DF,ch Young Boys,20,1997,3.9,28.5,36.9,77.1,593.6,245.4,8.97,10.0,89.7,14.1,16.2,87.3,4.87,9.74,50.0,0.00,0.00,0.00,0.00,3.59,0.00,0.00,1.79,Matches
27,Nadiem Amiri\Nadiem-Amiri,de GER,MF,de Hoffenheim,21,1996,0.3,60.0,70.0,85.7,863.3,193.3,33.3,33.3,100.0,26.7,26.7,100.0,0.00,6.67,0.0,0.00,0.33,-0.33,3.33,3.33,0.00,0.00,3.33,Matches
28,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MFDF,be Club Brugge,21,1996,2.0,40.5,53.5,75.7,661.5,225.0,21.0,24.5,85.7,16.5,21.0,78.6,3.00,5.50,54.5,0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.50,Matches
29,Angeliño\Angelino,es ESP,DF,nl PSV Eindhoven,21,1997,6.0,23.8,36.2,65.9,455.2,225.3,10.7,13.2,81.0,9.50,12.8,74.0,3.50,9.67,36.2,0.17,0.12,0.05,1.17,2.50,1.00,0.67,2.50,Matches
