Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
38,Serdar Aziz\Serdar-Aziz,tr TUR,DF,tr Galatasaray,27,1990,4.0,0.75,0.75,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
39,Srđan Babić\Srdjan-Babic,rs SRB,DF,rs Red Star,22,1996,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
40,Loic Badiashile\Loic-Badiashile,fr FRA,GK,fr Monaco,20,1998,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
41,Eric Bailly\Eric-Bailly,ci CIV,DF,eng Manchester Utd,24,1994,3.4,0.29,0.30,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
42,Michalis Bakakis\Michalis-Bakakis,gr GRE,DFFW,gr AEK Athens,27,1991,5.8,1.38,1.39,1.03,0.00,0.17,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
43,Anastasios Bakasetas\Anastasios-Bakasetas,gr GRE,FW,gr AEK Athens,25,1993,2.0,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,Matches
44,Keita Baldé\Keita-Balde,sn SEN,FWMF,it Inter,23,1995,0.8,6.25,5.92,5.00,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
45,Gareth Bale\Gareth-Bale,wal WAL,FW,es Real Madrid,29,1989,5.4,3.15,3.15,2.59,0.00,0.19,0.19,0.00,0.19,0.37,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,Matches
46,David von Ballmoos\David-von-Ballmoos,ch SUI,GK,ch Young Boys,23,1994,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
47,Dmitri Barinov\Dmitri-Barinov,ru RUS,MF,ru Loko Moscow,21,1996,3.2,2.50,2.54,1.56,0.31,0.31,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
48,Vasilios Barkas\Vasilios-Barkas,gr GRE,GK,gr AEK Athens,24,1994,6.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
49,Antonio Barreca\Antonio-Barreca,it ITA,DF,fr Monaco,23,1995,1.0,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
50,Andrea Barzagli\Andrea-Barzagli,it ITA,DF,it Juventus,37,1981,1.2,2.50,2.50,2.50,0.00,0.00,0.00,0.00,0.00,0.83,0.83,0.83,0.00,0.00,0.00,0.00,0.00,0.00,Matches
51,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,es Valencia,24,1993,3.8,2.89,2.87,2.11,0.00,0.53,0.00,0.00,0.00,0.53,0.52,0.00,0.00,0.26,0.00,0.00,0.00,0.26,Matches
52,Oliver Baumann\Oliver-Baumann,de GER,GK,de Hoffenheim,28,1990,6.0,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
53,Ömer Bayram\Omer-Bayram,tr TUR,DF,tr Galatasaray,27,1991,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
54,Riechedly Bazoer\Riechedly-Bazoer,nl NED,MF,pt Porto,21,1996,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
55,Rodrigo Becão\Rodrigo-Becao,br BRA,DF,ru CSKA Moscow,22,1996,6.0,0.17,0.17,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
56,Donny van de Beek\Donny-van-de-Beek,nl NED,MF,nl Ajax,21,1997,10.9,2.66,2.66,2.11,0.00,0.28,0.09,0.09,0.09,0.46,0.46,0.28,0.00,0.09,0.00,0.09,0.00,0.00,Matches
57,Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,de Hoffenheim,26,1992,3.8,3.42,3.38,3.16,0.00,0.00,0.26,0.00,0.00,0.26,0.26,0.26,0.00,0.00,0.00,0.00,0.00,0.00,Matches
58,Younès Belhanda\Younes-Belhanda,ma MAR,MF,tr Galatasaray,28,1990,3.6,1.67,1.66,0.56,0.83,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
59,Diego Benaglio\Diego-Benaglio,ch SUI,GK,fr Monaco,34,1983,4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
60,Medhi Benatia\Medhi-Benatia,ma MAR,DF,it Juventus,31,1987,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
61,Loris Benito\Loris-Benito,ch SUI,DF,ch Young Boys,26,1992,6.0,1.00,1.00,0.67,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
62,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,de Schalke 04,23,1994,4.7,0.85,0.85,0.43,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
63,Rodrigo Bentancur\Rodrigo-Bentancur,uy URU,MFFW,it Juventus,21,1997,6.1,3.11,3.10,2.62,0.00,0.16,0.16,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
64,Karim Benzema\Karim-Benzema,fr FRA,FW,es Real Madrid,30,1987,6.5,3.38,3.40,2.46,0.00,0.62,0.15,0.00,0.15,0.46,0.46,0.31,0.00,0.15,0.00,0.00,0.00,0.00,Matches
65,Steve von Bergen\Steve-von-Bergen,ch SUI,DF,ch Young Boys,35,1983,4.5,0.22,0.22,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
66,Steven Bergwijn\Steven-Bergwijn,nl NED,FW,nl PSV Eindhoven,20,1997,4.4,3.64,3.60,2.27,0.00,0.45,0.45,0.23,0.23,0.45,0.45,0.23,0.00,0.00,0.00,0.00,0.23,0.00,Matches
67,Federico Bernardeschi\Federico-Bernardeschi,it ITA,MFFW,it Juventus,24,1994,6.1,4.26,4.24,1.97,0.49,0.16,0.66,0.82,0.16,0.66,0.65,0.16,0.00,0.16,0.16,0.16,0.00,0.00,Matches
68,Juan Bernat\Juan-Bernat,es ESP,DFMF,fr Paris S-G,25,1993,7.5,1.73,1.73,1.60,0.13,0.00,0.00,0.00,0.00,0.27,0.27,0.27,0.00,0.00,0.00,0.00,0.00,0.00,Matches
69,Leonardo Bertone\Leonardo-Bertone,ch SUI,MF,ch Young Boys,24,1994,1.2,1.67,1.68,0.83,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
70,Giulian Biancone\Giulian-Biancone,fr FRA,DF,fr Monaco,18,2000,1.9,1.58,1.62,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
71,Ermin Bičakčić\Ermin-Bicakcic,ba BIH,DF,de Hoffenheim,28,1990,2.8,0.71,0.71,0.71,0.00,0.00,0.00,0.00,0.00,0.36,0.36,0.36,0.00,0.00,0.00,0.00,0.00,0.00,Matches
72,Jaka Bijol\Jaka-Bijol,si SVN,MF,ru CSKA Moscow,19,1999,3.0,1.00,1.00,0.67,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
73,Kristijan Bistrović\Kristijan-Bistrovic,hr CRO,MF,ru CSKA Moscow,20,1998,2.0,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
74,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MF,de Hoffenheim,24,1993,1.6,4.38,4.47,3.13,0.63,0.00,0.00,0.00,0.63,0.63,0.64,0.63,0.00,0.00,0.00,0.00,0.00,0.00,Matches
75,Daley Blind\Daley-Blind,nl NED,DFMF,nl Ajax,28,1990,12.0,1.33,1.33,1.17,0.00,0.00,0.17,0.00,0.00,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,Matches
76,Richmond Boakye\Richmond-Boakye,gh GHA,FW,rs Red Star,25,1993,2.1,0.95,0.95,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
77,Jérôme Boateng\Jerome-Boateng,de GER,DF,de Bayern Munich,29,1988,5.0,1.40,1.40,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
78,Serhiy Bolbat\Serhiy-Bolbat,ua UKR,FWMF,ua Shakhtar,25,1993,1.9,2.63,2.62,2.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
79,Leonardo Bonucci\Leonardo-Bonucci,it ITA,DF,it Juventus,31,1987,10.0,1.30,1.30,1.20,0.00,0.00,0.00,0.10,0.00,0.30,0.30,0.20,0.00,0.00,0.00,0.10,0.00,0.00,Matches
80,Milan Borjan\Milan-Borjan,ca CAN,GK,rs Red Star,30,1987,6.0,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
81,Lucas Boyé\Lucas-Boye,ar ARG,FW,gr AEK Athens,22,1996,1.4,1.43,1.45,0.00,0.00,0.71,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
82,Yacine Brahimi\Yacine-Brahimi,dz ALG,FWMF,pt Porto,28,1990,6.9,2.75,2.76,2.03,0.00,0.43,0.29,0.00,0.00,0.58,0.58,0.43,0.00,0.14,0.00,0.00,0.00,0.00,Matches
83,Joshua Brenet\Joshua-Brenet,nl NED,DFFW,de Hoffenheim,24,1994,1.5,0.67,0.67,0.67,0.00,0.00,0.00,0.00,0.00,0.67,0.67,0.67,0.00,0.00,0.00,0.00,0.00,0.00,Matches
84,Marcelo Brozović\Marcelo-Brozovic,hr CRO,MF,it Inter,25,1992,5.9,3.22,3.20,2.88,0.17,0.00,0.00,0.00,0.17,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,Matches
85,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,de Schalke 04,26,1991,2.0,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
86,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FW,de Dortmund,19,1998,1.7,4.71,4.74,4.12,0.00,0.59,0.00,0.00,0.00,1.18,1.18,0.59,0.00,0.59,0.00,0.00,0.00,0.00,Matches
87,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,fr Paris S-G,40,1978,5.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
88,Guido Burgstaller\Guido-Burgstaller,at AUT,FW,de Schalke 04,29,1989,2.6,0.77,0.77,0.77,0.00,0.00,0.00,0.00,0.00,0.38,0.39,0.38,0.00,0.00,0.00,0.00,0.00,0.00,Matches
89,Roman Bürki\Roman-Burki,ch SUI,GK,de Dortmund,27,1990,7.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
90,Sergio Busquets\Sergio-Busquets,es ESP,MF,es Barcelona,30,1988,11.5,1.83,1.83,1.57,0.00,0.09,0.09,0.09,0.00,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,Matches
91,Bohdan Butko\Bohdan-Butko,ua UKR,DF,ua Shakhtar,27,1991,1.5,0.67,0.66,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
92,Daniel Caligiuri\Daniel-Caligiuri,it ITA,DFMF,de Schalke 04,30,1988,5.7,2.28,2.29,1.40,0.53,0.00,0.18,0.18,0.00,0.35,0.35,0.18,0.00,0.00,0.18,0.00,0.00,0.00,Matches
93,José Callejón\Jose-Callejon,es ESP,MFFW,it Napoli,31,1987,5.7,4.04,4.03,2.98,0.70,0.00,0.00,0.18,0.18,0.53,0.53,0.35,0.00,0.00,0.00,0.18,0.00,0.00,Matches
94,Emre Can\Emre-Can,de GER,MFDF,it Juventus,24,1994,3.8,1.84,1.86,1.84,0.00,0.00,0.00,0.00,0.00,0.26,0.27,0.26,0.00,0.00,0.00,0.00,0.00,0.00,Matches
95,João Cancelo\Joao-Cancelo,pt POR,DF,it Juventus,24,1994,5.3,3.02,3.00,2.26,0.00,0.19,0.19,0.19,0.19,0.94,0.94,0.57,0.00,0.00,0.00,0.19,0.19,0.00,Matches
96,Antonio Candreva\Antonio-Candreva,it ITA,FWMF,it Inter,31,1987,1.5,3.33,3.26,2.67,0.67,0.00,0.00,0.00,0.00,0.67,0.65,0.00,0.67,0.00,0.00,0.00,0.00,0.00,Matches
97,Dani Carvajal\Dani-Carvajal,es ESP,DF,es Real Madrid,26,1992,4.7,2.98,3.01,2.77,0.00,0.21,0.00,0.00,0.00,0.21,0.21,0.21,0.00,0.00,0.00,0.00,0.00,0.00,Matches
98,Casemiro\Casemiro,br BRA,MF,es Real Madrid,26,1992,5.6,2.50,2.50,2.14,0.00,0.18,0.00,0.18,0.00,0.18,0.18,0.18,0.00,0.00,0.00,0.00,0.00,0.00,Matches
99,Iker Casillas\Iker-Casillas,es ESP,GK,pt Porto,37,1981,10.3,0.10,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
100,Nicolás Castillo\Nicolas-Castillo,cl CHI,FW,pt Benfica,25,1993,0.2,5.00,6.43,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
101,Goran Čaušić\Goran-Causic,rs SRB,MF,rs Red Star,26,1992,3.5,1.43,1.44,1.14,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
102,Edinson Cavani\Edinson-Cavani,uy URU,FW,fr Paris S-G,31,1987,4.6,1.52,1.53,0.65,0.00,0.43,0.43,0.00,0.00,0.65,0.65,0.00,0.00,0.43,0.22,0.00,0.00,0.00,Matches
103,Dani Ceballos\Dani-Ceballos,es ESP,MF,es Real Madrid,21,1996,2.1,3.81,3.87,3.81,0.00,0.00,0.00,0.00,0.00,0.48,0.48,0.48,0.00,0.00,0.00,0.00,0.00,0.00,Matches
104,Muğdat Çelik\Mugdat-Celik,tr TUR,FW,tr Galatasaray,28,1990,0.5,2.00,2.20,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
105,Aleš Čermák\Ales-Cermak,cz CZE,MF,cz Viktoria Plzeň,23,1994,3.9,3.33,3.36,2.82,0.26,0.00,0.00,0.26,0.00,0.77,0.78,0.77,0.00,0.00,0.00,0.00,0.00,0.00,Matches
106,Franco Cervi\Franco-Cervi,ar ARG,FW,pt Benfica,24,1994,3.4,1.76,1.74,1.47,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
107,Nacer Chadli\Nacer-Chadli,be BEL,MFFW,fr Monaco,28,1989,3.5,1.14,1.15,0.57,0.29,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
108,Fyodor Chalov\Fyodor-Chalov,ru RUS,FW,ru CSKA Moscow,20,1998,5.6,1.79,1.78,1.43,0.00,0.18,0.18,0.00,0.00,0.18,0.18,0.18,0.00,0.00,0.00,0.00,0.00,0.00,Matches
109,Pape Cheikh Diop\Pape-Cheikh-Diop,sn SEN,MF,fr Lyon,20,1997,1.2,3.33,3.43,2.50,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
110,Nikita Chernov\Nikita-Chernov,ru RUS,DF,ru CSKA Moscow,22,1996,3.9,0.26,0.25,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
111,Denis Cheryshev\Denis-Cheryshev,ru RUS,MFFW,es Valencia,27,1990,1.2,3.33,3.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
112,Giorgio Chiellini\Giorgio-Chiellini,it ITA,DF,it Juventus,33,1984,6.0,1.50,1.50,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
113,Tahith Chong\Tahith-Chong,nl NED,MF,eng Manchester Utd,18,1999,0.1,10.0,8.18,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
114,Tomáš Chorý\Tomas-Chory,cz CZE,FW,cz Viktoria Plzeň,23,1995,2.7,0.37,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
