Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Vincent Aboubakar\Vincent-Aboubakar,cm CMR,FW,pt Porto,26,1992,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,8.57,1.43,16.7,0.00,4.29,4.29,0.00,0.00,0.00,0.00,0.00,0.00,1.43,0.00,Matches
2,Michel Aebischer\Michel-Aebischer,ch SUI,MF,ch Young Boys,21,1997,2.5,2.80,2.80,1.20,1.60,0.00,0.40,4.40,9.1,4.00,41.2,11.2,27.2,18.4,19.6,3.20,2.00,0.80,0.00,1.20,1.20,4.00,0.40,0.00,Matches
3,Sergio Agüero\Sergio-Aguero,ar ARG,FW,eng Manchester City,30,1988,5.6,0.89,0.89,0.00,0.36,0.54,0.00,0.71,0.0,0.71,17.1,4.11,24.0,0.54,7.86,8.75,0.18,0.00,0.00,0.18,0.18,1.07,0.18,0.00,Matches
4,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MFFW,fr Monaco,24,1994,2.0,0.50,0.00,0.00,0.50,0.00,0.00,0.50,0.0,0.50,22.5,3.50,15.6,6.50,14.0,2.00,2.00,0.00,0.00,2.00,2.00,2.50,0.00,0.00,Matches
5,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,fr Monaco,22,1996,2.7,2.96,1.85,1.85,1.11,0.00,0.74,3.33,22.2,2.59,26.3,5.93,22.5,9.63,15.2,1.48,1.48,0.37,0.00,1.11,0.37,3.33,3.70,0.37,Matches
6,Manuel Akanji\Manuel-Akanji,ch SUI,DF,de Dortmund,23,1995,5.0,1.80,1.00,1.00,0.60,0.20,0.80,1.40,57.1,0.60,6.60,1.60,24.2,4.00,2.20,0.40,1.80,0.20,0.00,1.60,1.20,3.00,2.80,0.00,Matches
7,Emre Akbaba\Emre-Akbaba,tr TUR,FW,tr Galatasaray,25,1992,1.0,3.00,1.00,1.00,2.00,0.00,0.00,2.00,0.0,2.00,25.0,5.00,20.0,8.00,15.0,2.00,1.00,0.00,0.00,1.00,0.00,3.00,0.00,0.00,Matches
8,Yunus Akgün\Yunus-Akgun,tr TUR,MF,tr Galatasaray,18,2000,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,10.0,0.00,0.0,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
9,Ilzat Akhmetov\Ilzat-Akhmetov,ru RUS,MF,ru CSKA Moscow,20,1997,3.3,3.03,1.21,1.82,0.91,0.30,0.91,2.12,42.9,1.21,18.5,5.15,27.9,10.3,7.27,0.91,1.52,0.30,0.00,1.21,0.00,3.03,0.91,0.00,Matches
10,Igor Akinfeev\Igor-Akinfeev,ru RUS,GK,ru CSKA Moscow,32,1986,5.0,0.20,0.20,0.20,0.00,0.00,0.20,0.20,100.0,0.00,0.20,0.00,0.0,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,Matches
11,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,de Hoffenheim,23,1995,2.0,3.00,1.50,2.50,0.50,0.00,0.50,2.50,20.0,2.00,14.0,5.00,35.7,9.00,5.00,0.00,1.50,0.50,0.00,1.00,1.00,4.00,1.50,0.00,Matches
12,David Alaba\David-Alaba,at AUT,DF,de Bayern Munich,26,1992,7.0,1.43,1.14,0.29,1.00,0.14,0.43,2.00,21.4,1.57,10.9,3.43,31.6,4.00,5.14,1.71,1.71,0.14,0.00,1.57,2.14,3.57,2.14,0.14,Matches
13,Jordi Alba\Jordi-Alba,es ESP,DF,es Barcelona,29,1989,11.0,1.18,0.73,0.64,0.45,0.09,0.55,1.64,33.3,1.09,13.0,4.18,32.2,6.18,4.45,2.36,2.09,0.27,0.00,1.82,1.27,2.45,2.09,0.09,Matches
14,Raúl Albiol\Raul-Albiol,es ESP,DF,it Napoli,32,1985,5.5,0.55,0.55,0.18,0.36,0.00,0.00,0.00,,0.00,5.09,1.64,32.1,3.09,1.82,0.18,1.09,0.91,0.00,0.18,0.91,1.45,4.91,0.00,Matches
15,Paco Alcácer\Paco-Alcacer,es ESP,FW,de Dortmund,24,1993,4.0,0.25,0.25,0.00,0.25,0.00,0.00,0.00,,0.00,12.0,3.25,27.1,0.25,4.00,7.75,1.00,0.00,0.00,1.00,0.25,0.50,0.00,0.00,Matches
