Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
21,Alisson\Alisson,br BRA,GK,eng Liverpool,25,1992,13.0,36.2,32.0,36.0,0.15,0.00,0.00,27.5,0.08,0.08,100.0,0.08,0.00,20.3,85.0,38.4,0.00,0.00,0.00,0.00,0.00,17.0,16.9,99.5,0.00,Matches
22,Allan\Allan,br BRA,MF,it Napoli,27,1991,5.7,79.5,1.93,18.1,55.4,11.6,0.35,77.7,1.75,2.98,58.8,2.11,0.35,64.6,233.2,131.9,5.26,1.75,0.00,1.05,1.40,61.4,56.5,92.0,2.81,Matches
23,Dele Alli\Dele-Alli,eng ENG,MF,eng Tottenham,22,1996,7.9,52.7,1.01,6.71,24.4,24.4,5.06,50.4,0.89,1.77,50.0,0.89,0.00,40.5,193.5,99.5,4.68,1.65,0.76,1.77,2.66,52.2,37.0,70.9,9.24,Matches
24,André Almeida\Andre-Almeida,pt POR,DF,pt Benfica,27,1990,6.0,70.5,3.67,25.2,33.8,14.8,0.67,58.8,0.67,1.67,40.0,0.67,0.00,39.2,158.7,89.0,4.33,1.00,0.33,0.83,1.00,37.5,34.5,92.0,1.83,Matches
25,Dani Alves\Dani-Alves,br BRA,MFDF,fr Paris S-G,35,1983,2.3,92.2,1.30,10.0,47.0,40.4,2.61,87.0,2.17,2.61,83.3,2.17,0.00,72.6,300.4,153.0,10.4,3.91,0.43,1.30,1.74,80.0,72.2,90.2,3.91,Matches
26,Mohamed Aly Camara\Mohamed-Aly-Camara,gn GUI,DF,ch Young Boys,20,1997,3.9,46.7,9.49,27.4,21.0,2.31,0.51,45.6,0.00,0.00,,0.00,0.00,29.7,183.6,101.3,3.08,1.28,0.00,0.00,0.00,29.5,28.2,95.7,0.51,Matches
27,Nadiem Amiri\Nadiem-Amiri,de GER,MF,de Hoffenheim,21,1996,0.3,96.7,6.67,26.7,50.0,26.7,3.33,90.0,3.33,3.33,100.0,3.33,3.33,63.3,360.0,230.0,10.0,3.33,0.00,3.33,0.00,70.0,60.0,85.7,6.67,Matches
28,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MFDF,be Club Brugge,21,1996,2.0,68.0,4.00,23.5,38.0,13.0,0.50,59.0,1.50,2.50,60.0,1.50,0.00,40.5,211.0,121.5,4.50,0.50,0.50,2.00,1.00,40.5,37.0,91.4,0.50,Matches
29,Angeliño\Angelino,es ESP,DF,nl PSV Eindhoven,21,1997,6.0,47.0,6.50,20.5,18.8,9.83,0.67,40.0,0.50,1.00,50.0,0.67,0.17,25.7,131.3,78.2,3.50,0.67,0.33,0.17,0.33,24.7,23.2,93.9,1.00,Matches
30,Houssem Aouar\Houssem-Aouar,fr FRA,MFFW,fr Lyon,20,1998,7.0,59.1,2.57,11.1,38.7,13.7,3.29,58.6,2.29,3.43,66.7,2.57,0.86,48.3,230.7,123.0,5.14,1.71,0.00,1.14,1.29,50.6,43.9,86.7,3.57,Matches
