Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
21,Alisson\Alisson,br BRA,GK,eng Liverpool,25,1992,13.0,34.3,25.6,8.69,2.08,0.00,3.69,1.23,0.00,0.00,0.00,0.00,0.00,21.4,2.23,10.7,2.77,24.3,0.00,0.00,5.77,27.4,0.15,1.00,0.15,0.00,Matches
22,Allan\Allan,br BRA,MF,it Napoli,27,1991,5.7,66.8,64.9,1.93,1.05,0.18,9.30,1.58,0.18,0.00,0.00,0.00,0.00,48.9,7.02,10.9,4.39,60.5,1.23,0.18,0.18,59.6,0.18,0.35,1.05,0.35,Matches
23,Dele Alli\Dele-Alli,eng ENG,MF,eng Tottenham,22,1996,7.9,39.9,37.5,2.41,0.89,0.38,11.1,0.51,0.51,0.25,0.00,0.00,0.00,30.4,4.68,4.81,1.65,35.6,1.14,0.38,0.63,31.8,0.00,0.25,1.52,2.15,Matches
24,André Almeida\Andre-Almeida,pt POR,DF,pt Benfica,27,1990,6.0,55.2,42.8,12.3,1.17,0.00,5.00,1.83,1.67,0.00,0.00,0.00,0.00,29.8,11.8,13.5,3.17,38.0,2.33,11.2,0.17,42.7,0.00,1.00,2.17,0.67,Matches
25,Dani Alves\Dani-Alves,br BRA,MFDF,fr Paris S-G,35,1983,2.3,78.7,73.9,4.78,0.87,3.04,11.7,1.74,4.35,0.00,0.00,0.00,0.00,58.3,12.2,8.26,5.65,68.7,0.00,3.91,0.43,67.0,0.87,0.87,1.30,3.48,Matches
26,Mohamed Aly Camara\Mohamed-Aly-Camara,gn GUI,DF,ch Young Boys,20,1997,3.9,36.9,35.9,1.03,1.03,0.00,5.38,1.28,0.00,0.00,0.00,0.00,0.00,26.7,2.82,7.44,2.31,32.6,1.79,0.00,0.00,28.5,0.00,1.28,1.03,0.51,Matches
27,Nadiem Amiri\Nadiem-Amiri,de GER,MF,de Hoffenheim,21,1996,0.3,70.0,63.3,6.67,0.00,0.00,13.3,0.00,0.00,6.67,0.00,0.00,0.00,53.3,10.0,6.67,6.67,63.3,0.00,0.00,0.00,60.0,0.00,0.00,0.00,3.33,Matches
28,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MFDF,be Club Brugge,21,1996,2.0,53.5,44.0,9.50,1.50,0.00,3.50,0.00,0.50,0.00,0.00,0.00,0.00,29.0,13.0,11.5,3.50,37.0,4.00,8.00,0.00,40.5,0.00,0.50,0.50,3.50,Matches
29,Angeliño\Angelino,es ESP,DF,nl PSV Eindhoven,21,1997,6.0,36.2,28.8,7.33,1.33,0.00,4.67,0.67,2.00,0.00,0.00,0.00,0.00,16.5,5.67,14.0,27.5,1.17,1.33,6.00,0.00,23.8,0.17,0.67,0.83,1.83,Matches
30,Houssem Aouar\Houssem-Aouar,fr FRA,MFFW,fr Lyon,20,1998,7.0,45.3,44.4,0.86,0.57,0.43,9.29,0.71,0.71,0.00,0.00,0.00,0.00,40.0,2.86,2.43,2.43,41.9,0.57,0.29,0.00,40.1,0.43,0.43,0.57,0.57,Matches
31,Alphonse Areola\Alphonse-Areola,fr FRA,GK,fr Paris S-G,25,1993,3.0,29.3,21.7,7.67,1.67,0.00,3.33,0.67,0.00,0.00,0.00,0.00,0.00,21.7,1.67,6.00,3.33,22.3,0.00,0.00,3.67,27.3,0.33,0.33,0.00,0.00,Matches
32,Santiago Arias\Santiago-Arias,co COL,DFMF,es Atlético Madrid,26,1992,3.8,47.1,41.1,6.05,0.00,0.26,6.58,0.79,1.84,0.00,0.00,0.00,0.00,32.1,6.32,8.68,2.11,35.8,2.37,6.05,0.53,36.1,0.26,1.05,0.79,1.05,Matches
33,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,it Inter,29,1988,5.8,55.0,46.9,8.10,1.38,0.17,9.14,0.86,1.72,0.00,0.00,0.00,0.00,34.3,9.66,11.0,40.3,4.66,2.59,6.72,0.69,45.2,0.00,0.69,1.03,2.07,Matches
34,Marco Asensio\Marco-Asensio,es ESP,FW,es Real Madrid,22,1996,3.4,60.0,57.4,2.65,0.59,0.00,15.3,2.06,4.71,1.47,0.00,0.00,0.00,46.5,5.00,8.53,51.2,6.76,0.29,0.59,0.59,48.2,0.00,0.59,1.18,2.06,Matches
