Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
31,Antonio Mirante\Antonio-Mirante,it ITA,GK,it Roma,35,1983,2,2,180,2.0,1.50,1.50,3.50,2.00,57.1,0.50,0.00,0.50,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
32,Fernando Muslera\Fernando-Muslera,uy URU,GK,tr Galatasaray,32,1986,6,6,540,6.0,1.33,1.33,3.83,2.83,69.6,0.17,0.17,0.67,0.33,33.3,0.17,0.17,0.00,0.00,0.0,Matches
33,Keylor Navas\Keylor-Navas,cr CRC,GK,es Real Madrid,31,1986,3,3,270,3.0,0.67,0.67,3.00,2.33,77.8,0.67,0.00,0.33,0.33,33.3,0.00,0.00,0.00,0.00,,Matches
34,Neto\Neto,br BRA,GK,es Valencia,29,1989,5,5,450,5.0,1.00,1.00,4.20,3.80,90.5,0.20,0.40,0.40,0.20,20.0,0.60,0.60,0.00,0.00,0.0,Matches
35,Manuel Neuer\Manuel-Neuer,de GER,GK,de Bayern Munich,32,1986,8,8,720,8.0,1.00,1.00,3.63,2.75,75.9,0.50,0.38,0.13,0.50,50.0,0.13,0.13,0.00,0.00,0.0,Matches
36,Alexander Nübel\Alexander-Nubel,de GER,GK,de Schalke 04,21,1996,2,2,180,2.0,0.00,0.00,1.50,1.50,100.0,0.50,0.50,0.00,1.00,100.0,0.00,0.00,0.00,0.00,,Matches
37,Jan Oblak\Jan-Oblak,si SVN,GK,es Atlético Madrid,25,1993,8,8,720,8.0,1.13,1.13,2.38,1.38,57.9,0.63,0.13,0.25,0.50,50.0,0.25,0.13,0.00,0.13,0.0,Matches
38,Robin Olsen\Robin-Olsen,se SWE,GK,it Roma,28,1990,6,6,570,6.3,1.43,1.42,5.87,4.60,78.4,0.48,0.00,0.48,0.32,33.3,0.16,0.16,0.00,0.00,0.0,Matches
39,André Onana\Andre-Onana,cm CMR,GK,nl Ajax,22,1996,12,12,1080,12.0,1.08,1.08,4.17,3.17,76.0,0.50,0.33,0.17,0.33,33.3,0.08,0.08,0.00,0.00,0.0,Matches
40,David Ospina\David-Ospina,co COL,GK,it Napoli,29,1988,6,6,540,6.0,0.83,0.83,3.50,2.83,76.2,0.33,0.50,0.17,0.33,33.3,0.00,0.00,0.00,0.00,,Matches
41,Ilya Pomazun\Ilya-Pomazun,ru RUS,GK,ru CSKA Moscow,21,1996,1,1,90,1.0,3.00,3.00,13.0,10.0,76.9,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
42,Andriy Pyatov\Andriy-Pyatov,ua UKR,GK,ua Shakhtar,34,1984,6,6,540,6.0,2.67,2.67,5.67,3.33,58.8,0.17,0.50,0.33,0.00,0.0,0.33,0.33,0.00,0.00,0.0,Matches
43,Sergio Romero\Sergio-Romero,ar ARG,GK,eng Manchester Utd,31,1987,1,1,90,1.0,2.00,2.00,4.00,3.00,50.0,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
44,Danijel Subašić\Danijel-Subasic,hr CRO,GK,fr Monaco,33,1984,1,0,45,0.5,6.00,6.00,10.0,4.00,40.0,,,,0.00,,2.00,0.00,0.00,2.00,,Matches
45,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,it Juventus,28,1990,10,10,900,10.0,0.90,0.90,3.10,2.40,74.2,0.50,0.10,0.40,0.50,50.0,0.20,0.10,0.00,0.10,0.0,Matches
46,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,es Barcelona,26,1992,11,11,990,11.0,0.82,0.82,3.36,2.55,75.7,0.73,0.18,0.09,0.55,54.5,0.00,0.00,0.00,0.00,,Matches
47,Odisseas Vlachodimos\Odisseas-Vlachodimos,gr GRE,GK,pt Benfica,24,1994,6,6,540,6.0,1.83,1.83,6.00,4.17,69.4,0.33,0.17,0.50,0.17,16.7,0.00,0.00,0.00,0.00,,Matches
48,Michel Vorm\Michel-Vorm,nl NED,GK,eng Tottenham,34,1983,2,1,99,1.1,2.73,2.73,4.55,1.82,40.0,0.00,0.00,0.91,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
49,Marco Wölfli\Marco-Wolfli,ch SUI,GK,ch Young Boys,35,1982,2,2,180,2.0,1.00,1.00,5.00,4.00,80.0,0.50,0.50,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
50,Jeroen Zoet\Jeroen-Zoet,nl NED,GK,nl PSV Eindhoven,27,1991,6,6,540,6.0,2.17,2.17,8.50,6.33,74.5,0.00,0.33,0.67,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
