Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
21,Samir Handanović\Samir-Handanovic,si SVN,GK,it Inter,34,1984,6.0,1.17,0.00,0.00,0.00,0.00,1.72,0.24,0.55,+0.55,5.83,11.7,50.0,26.8,6.67,28.0,29.8,7.17,58.1,43.2,7.00,0.33,4.8,0.33,0.33,2.35,Matches
22,Marwin Hitz\Marwin-Hitz,ch SUI,GK,de Dortmund,30,1987,1.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,1.00,5.00,20.0,29.0,4.00,10.3,26.1,4.00,50.0,38.5,12.0,2.00,16.7,1.00,1.00,17.3,Matches
23,Ethan Horvath\Ethan-Horvath,us USA,GK,be Club Brugge,23,1995,3.0,0.00,0.00,0.00,0.00,0.00,0.67,0.18,0.67,+0.67,7.33,23.0,31.9,22.3,5.00,65.7,46.1,9.67,86.2,58.6,10.0,0.33,3.3,0.33,0.33,4.67,Matches
24,Aleš Hruška\Ales-Hruska,cz CZE,GK,cz Viktoria Plzeň,32,1985,4.0,2.25,0.25,0.00,0.75,0.00,1.93,0.31,-0.33,-0.32,14.3,27.5,51.8,28.0,6.25,64.3,45.9,11.5,82.6,57.8,11.5,0.50,4.3,0.25,0.25,3.30,Matches
25,Matúš Kozáčik\Matus-Kozacik,sk SVK,GK,cz Viktoria Plzeň,34,1983,2.0,3.50,0.50,0.00,0.50,0.00,3.35,0.31,-0.15,-0.14,7.00,23.0,30.4,29.5,7.00,66.1,42.8,5.50,63.6,44.7,8.50,1.00,11.8,0.00,0.00,6.40,Matches
26,Georgii Kyrnats\Georgii-Kyrnats,ru RUS,GK,ru CSKA Moscow,20,1998,0.0,0,0,0,0,0,0.0,,0.0,0.00,0,0,,0,0,,,0,,,0,0,,0,,,Matches
27,Karlo Letica\Karlo-Letica,hr CRO,GK,be Club Brugge,21,1997,3.0,1.67,0.00,0.00,0.33,0.00,1.17,0.27,-0.50,-0.51,7.67,16.0,47.9,17.3,4.00,55.8,46.8,8.33,76.0,57.4,7.00,0.33,4.8,0.00,0.00,3.20,Matches
28,Hugo Lloris\Hugo-Lloris,fr FRA,GK,eng Tottenham,31,1986,10.9,1.38,0.09,0.00,0.18,0.00,1.32,0.30,-0.06,-0.06,7.52,15.1,49.7,27.6,4.22,38.9,35.6,7.43,59.3,46.1,6.42,0.55,8.6,0.46,0.46,1.41,Matches
29,Anthony Lopes\Anthony-Lopes,pt POR,GK,fr Lyon,27,1990,7.4,1.76,0.14,0.00,0.14,0.00,1.96,0.28,0.20,+0.20,6.35,16.9,37.6,22.0,3.92,48.5,41.3,9.05,68.7,53.5,10.0,0.27,2.7,0.54,0.54,1.84,Matches
30,Guilherme Marinato\Guilherme-Marinato,ru RUS,GK,ru Loko Moscow,32,1985,6.0,2.00,0.33,0.17,0.50,0.00,1.27,0.19,-0.73,-0.73,8.50,20.8,40.8,24.0,5.00,63.9,45.5,6.67,82.5,55.7,8.33,1.67,20.0,0.67,0.67,2.50,Matches
31,Antonio Mirante\Antonio-Mirante,it ITA,GK,it Roma,35,1983,2.0,1.50,0.00,0.00,0.00,0.00,1.25,0.36,-0.25,-0.26,4.00,10.0,40.0,22.5,3.50,22.2,27.2,7.00,71.4,48.5,7.00,0.50,7.1,1.00,1.00,8.90,Matches
32,Fernando Muslera\Fernando-Muslera,uy URU,GK,tr Galatasaray,32,1986,6.0,1.33,0.17,0.00,0.33,0.17,1.82,0.44,0.65,+0.65,7.33,18.5,39.6,28.0,4.33,50.0,41.7,8.00,56.3,48.4,7.50,0.50,6.7,0.67,0.67,2.32,Matches
33,Keylor Navas\Keylor-Navas,cr CRC,GK,es Real Madrid,31,1986,3.0,0.67,0.00,0.00,0.00,0.00,0.83,0.28,0.17,+0.17,4.00,6.33,63.2,18.3,3.33,18.2,29.7,5.33,56.3,45.9,6.00,0.33,5.6,1.00,1.00,7.17,Matches
