Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
gr AEK Athens,20,26.0,6,540,90,100,6.0,11.0,85,,3.00,18,4.00,0.00,0.33,2.17,-1.83,-1.83,0.68,2.07,-1.38,-1.39
nl Ajax,22,24.3,12,1080,90,100,12.0,11.0,87,,2.08,15,4.92,1.83,1.83,1.08,0.75,+0.75,1.82,1.31,0.52,+0.52
es Atlético Madrid,21,26.4,8,720,90,100,8.0,11.0,84,,2.50,28,4.50,2.00,1.38,1.13,0.25,+0.25,0.96,0.99,-0.03,-0.02
es Barcelona,23,27.7,12,1080,90,100,12.0,11.0,86,,2.75,14,4.25,2.25,2.17,0.83,1.33,+1.33,1.90,1.18,0.72,+0.72
de Bayern Munich,20,28.3,8,720,90,100,8.0,11.0,86,,3.00,12,4.00,1.88,2.00,1.00,1.00,+1.00,1.61,1.26,0.35,+0.35
pt Benfica,20,25.5,6,540,90,100,6.0,11.0,83,,2.83,26,4.17,1.17,1.00,1.83,-0.83,-0.83,1.37,1.68,-0.32,-0.32
be Club Brugge,25,24.9,6,540,90,100,6.0,11.0,85,,3.00,18,4.00,1.00,1.00,0.83,0.17,+0.17,0.85,1.07,-0.22,-0.22
ru CSKA Moscow,22,23.9,6,540,90,100,6.0,11.0,84,,2.83,21,4.00,1.17,1.33,1.50,-0.17,-0.17,1.18,1.62,-0.43,-0.43
de Dortmund,24,25.0,8,720,90,100,8.0,11.0,85,,3.00,18,4.00,1.63,1.25,0.75,0.50,+0.50,1.46,0.80,0.68,+0.67
tr Galatasaray,21,28.4,6,540,90,100,6.0,11.0,85,,2.83,18,4.17,0.67,0.83,1.33,-0.50,-0.50,1.52,1.57,-0.03,-0.04
de Hoffenheim,25,25.6,6,540,90,100,6.0,11.0,84,,3.00,19,4.00,0.50,1.83,2.33,-0.50,-0.50,1.83,2.03,-0.20,-0.20
it Inter,17,28.1,6,540,90,100,6.0,11.0,85,,2.83,18,4.17,1.33,1.00,1.17,-0.17,-0.17,1.45,1.32,0.13,+0.14
it Juventus,22,28.4,10,900,90,100,10.0,11.0,84,,2.80,21,4.10,1.60,1.40,0.90,0.50,+0.50,1.80,0.96,0.84,+0.84
eng Liverpool,20,26.1,13,1170,90,100,13.0,11.0,85,,2.77,20,4.62,1.92,1.85,0.92,0.92,+0.92,1.85,1.04,0.81,+0.81
ru Loko Moscow,19,29.0,6,540,90,100,6.0,11.0,86,,2.17,17,4.83,0.50,0.67,2.00,-1.33,-1.33,1.13,1.43,-0.30,-0.30
fr Lyon,21,24.4,8,720,90,100,8.0,11.0,87,,3.00,12,4.00,1.13,1.63,2.00,-0.38,-0.37,1.51,2.14,-0.63,-0.62
eng Manchester City,21,26.7,10,900,90,100,10.0,11.0,85,,2.80,17,4.20,2.20,3.00,1.20,1.80,+1.80,2.22,1.07,1.15,+1.15
eng Manchester Utd,26,26.2,10,900,90,100,10.0,11.0,85,,2.50,22,4.50,1.30,1.00,1.10,-0.10,-0.10,1.09,1.15,-0.06,-0.06
fr Monaco,29,25.0,6,540,90,100,6.0,11.0,83,,3.00,26,4.00,0.17,0.33,2.33,-2.00,-2.00,0.78,1.77,-0.98,-0.99
it Napoli,18,28.2,6,540,90,100,6.0,11.0,85,,3.00,18,4.00,1.50,1.17,0.83,0.33,+0.33,1.68,0.98,0.68,+0.69
fr Paris S-G,20,27.0,8,720,90,100,8.0,11.0,87,,2.63,13,4.38,1.75,2.50,1.50,1.00,+1.00,1.88,1.27,0.60,+0.60
pt Porto,25,27.9,10,930,93,100,10.3,10.7,88,,3.01,17,3.79,1.90,1.94,1.46,0.49,+0.48,1.54,1.67,-0.13,-0.13
nl PSV Eindhoven,18,24.4,6,540,90,100,6.0,11.0,87,,2.33,14,4.67,0.33,1.00,2.17,-1.17,-1.17,1.23,2.10,-0.88,-0.88
es Real Madrid,24,27.0,8,720,90,100,8.0,11.0,83,,3.00,24,4.00,1.88,1.88,1.25,0.63,+0.62,1.77,1.30,0.47,+0.48
rs Red Star,20,26.8,6,540,90,100,6.0,11.0,84,,3.00,22,4.00,0.67,0.83,2.83,-2.00,-2.00,0.45,2.83,-2.38,-2.39
it Roma,24,27.4,8,750,94,100,8.3,10.6,87,,3.01,23,3.73,1.50,1.69,1.45,0.24,+0.24,1.64,1.45,0.20,+0.20
de Schalke 04,27,26.2,8,720,90,100,8.0,11.0,84,,3.00,23,4.00,1.38,1.00,1.75,-0.75,-0.75,1.30,1.52,-0.23,-0.23
ua Shakhtar,20,27.5,6,540,90,100,6.0,11.0,86,,2.83,15,4.17,1.00,1.33,2.67,-1.33,-1.33,0.95,2.18,-1.23,-1.24
eng Tottenham,24,27.0,13,1170,90,100,13.0,11.0,85,,3.00,17,4.38,1.54,1.54,1.46,0.08,+0.08,1.48,1.10,0.38,+0.38
es Valencia,22,25.9,6,540,90,100,6.0,11.0,84,,2.83,21,4.17,1.33,1.00,1.00,0.00,0.00,1.10,1.75,-0.65,-0.66
cz Viktoria Plzeň,21,29.6,6,540,90,100,6.0,11.0,85,,3.00,19,4.00,1.17,1.17,2.67,-1.50,-1.50,1.17,1.97,-0.80,-0.79
ch Young Boys,20,26.1,6,540,90,100,6.0,11.0,84,,3.00,20,4.00,0.67,0.67,2.00,-1.33,-1.33,1.18,2.15,-0.97,-0.97
