Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG
gr AEK Athens,20,6.0,10.0,10.00,7.17,0.83,0.83,0.33,0.50,0.33,0.67,0.67,0.67,0.00,0.00,0.00,0.00,0.00,0.00
nl Ajax,22,12.0,25.7,25.67,18.3,1.92,1.83,1.50,1.50,0.58,3.25,3.25,2.08,0.25,0.42,0.25,0.25,0.00,0.00
es Atlético Madrid,21,8.0,18.6,18.62,14.1,2.13,0.63,0.63,0.75,0.38,2.25,2.25,1.75,0.13,0.13,0.25,0.00,0.00,0.00
es Barcelona,23,12.0,28.3,28.25,20.7,1.25,2.33,1.50,1.75,0.67,3.92,3.92,2.50,0.08,0.67,0.25,0.25,0.08,0.08
de Bayern Munich,20,8.0,21.3,21.25,14.5,2.00,1.75,1.25,0.88,0.75,3.50,3.50,2.00,0.50,0.38,0.25,0.25,0.00,0.13
pt Benfica,20,6.0,20.3,20.33,11.2,3.17,1.67,2.17,1.17,1.00,1.50,1.50,0.67,0.17,0.00,0.17,0.17,0.33,0.00
be Club Brugge,25,6.0,11.8,11.83,9.33,0.83,0.50,0.33,0.67,0.17,1.33,1.33,1.17,0.00,0.00,0.17,0.00,0.00,0.00
ru CSKA Moscow,22,6.0,23.2,23.17,16.5,2.33,1.83,1.17,0.83,0.50,2.33,2.33,1.17,0.17,0.17,0.17,0.33,0.33,0.00
de Dortmund,24,8.0,19.3,19.25,15.1,1.13,1.13,1.00,0.50,0.38,2.00,2.00,1.63,0.00,0.38,0.00,0.00,0.00,0.00
tr Galatasaray,21,6.0,19.7,19.67,13.3,2.17,1.67,0.50,2.00,0.00,1.67,1.67,1.17,0.00,0.00,0.00,0.50,0.00,0.00
de Hoffenheim,25,6.0,24.2,24.17,18.7,1.17,1.67,1.33,1.00,0.33,2.67,2.67,1.83,0.17,0.17,0.33,0.17,0.00,0.00
it Inter,17,6.0,25.5,25.50,20.2,1.83,0.83,1.33,0.67,0.67,1.67,1.67,1.00,0.17,0.17,0.33,0.00,0.00,0.00
it Juventus,22,10.0,27.5,27.50,20.3,2.40,1.00,1.70,1.70,0.40,2.40,2.40,1.60,0.10,0.10,0.20,0.30,0.10,0.00
eng Liverpool,20,13.0,23.2,23.23,17.4,1.69,1.62,1.15,1.08,0.31,3.46,3.46,2.46,0.23,0.31,0.15,0.23,0.08,0.00
ru Loko Moscow,19,6.0,18.7,18.67,12.7,2.00,1.33,1.00,1.00,0.50,0.83,0.83,0.17,0.17,0.00,0.17,0.00,0.17,0.17
fr Lyon,21,8.0,23.8,23.75,17.1,1.25,1.75,1.63,1.38,0.63,2.50,2.50,1.88,0.13,0.13,0.13,0.00,0.25,0.00
eng Manchester City,21,10.0,30.2,30.20,22.8,1.80,2.30,1.10,1.60,0.60,5.80,5.80,3.90,0.30,0.50,0.30,0.50,0.30,0.00
eng Manchester Utd,26,10.0,19.2,19.20,14.4,0.90,1.40,0.70,1.30,0.40,1.70,1.70,0.90,0.00,0.20,0.20,0.20,0.10,0.10
fr Monaco,29,6.0,14.7,14.67,11.3,0.67,1.00,0.33,0.83,0.50,0.33,0.33,0.17,0.00,0.00,0.00,0.00,0.17,0.00
it Napoli,18,6.0,23.8,23.83,19.8,1.50,1.00,0.50,0.33,0.67,2.00,2.00,1.50,0.17,0.00,0.17,0.17,0.00,0.00
fr Paris S-G,20,8.0,25.4,25.37,18.4,1.50,2.13,1.50,1.63,0.13,4.00,4.00,2.50,0.25,0.50,0.25,0.38,0.00,0.13
pt Porto,25,10.3,18.3,18.29,11.5,2.52,1.17,1.26,1.26,0.68,3.11,3.10,1.75,0.39,0.19,0.19,0.49,0.10,0.00
nl PSV Eindhoven,18,6.0,17.7,17.67,11.8,1.50,0.83,1.00,2.00,0.50,1.33,1.33,0.83,0.17,0.00,0.17,0.00,0.17,0.00
es Real Madrid,24,8.0,30.9,30.87,24.3,2.38,2.13,1.00,0.50,0.63,3.25,3.25,2.50,0.13,0.50,0.00,0.13,0.00,0.00
rs Red Star,20,6.0,10.2,10.17,7.33,1.33,0.33,0.67,0.33,0.17,1.17,1.17,0.67,0.17,0.17,0.17,0.00,0.00,0.00
it Roma,24,8.3,23.6,23.52,16.0,2.77,1.20,1.69,1.69,0.24,2.65,2.64,1.81,0.24,0.12,0.36,0.12,0.00,0.00
de Schalke 04,27,8.0,15.3,15.25,9.00,1.75,1.63,1.00,1.00,0.88,1.75,1.75,1.13,0.13,0.00,0.25,0.25,0.00,0.00
ua Shakhtar,20,6.0,19.7,19.67,16.0,1.17,1.00,0.50,0.67,0.33,2.67,2.67,2.33,0.00,0.17,0.00,0.00,0.17,0.00
eng Tottenham,24,13.0,25.4,25.38,17.2,2.46,1.85,2.15,1.31,0.38,2.77,2.77,2.00,0.15,0.46,0.15,0.00,0.00,0.00
es Valencia,22,6.0,20.3,20.33,15.7,1.17,1.50,1.00,0.67,0.17,1.50,1.50,1.00,0.00,0.17,0.17,0.00,0.00,0.17
cz Viktoria Plzeň,21,6.0,16.3,16.33,13.3,1.00,0.50,0.83,0.50,0.17,2.17,2.17,1.83,0.17,0.00,0.17,0.00,0.00,0.00
ch Young Boys,20,6.0,18.2,18.17,14.2,0.67,1.00,0.83,1.00,0.50,1.17,1.17,0.50,0.00,0.17,0.17,0.33,0.00,0.00
