Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
gr AEK Athens,20,26.0,40.5,6,66,540,6.0,0.33,0.33,0.33,0.00,0.00,2.17,0.33,0.33,0.33,0.67,0.33,0.67,0.68,0.68,0.62,1.30,0.68,0.62,1.30,0.68,1.30
nl Ajax,22,24.3,53.3,12,132,1080,12.0,1.83,1.42,1.67,0.17,0.17,1.42,0.08,1.83,1.42,3.25,1.67,3.08,1.82,1.70,1.38,3.08,1.83,1.39,3.21,1.70,3.08
es Atlético Madrid,21,26.4,49.0,8,88,720,8.0,1.38,1.00,1.38,0.00,0.00,2.13,0.13,1.37,1.00,2.37,1.37,2.37,0.96,0.96,0.72,1.69,0.96,0.73,1.69,0.96,1.69
es Barcelona,23,27.7,61.3,12,132,1080,12.0,2.08,1.50,2.00,0.08,0.08,0.25,0.08,2.08,1.50,3.58,2.00,3.50,1.90,1.83,1.43,3.26,1.90,1.42,3.32,1.84,3.26
de Bayern Munich,20,28.3,56.8,8,88,720,8.0,1.88,1.13,1.63,0.25,0.25,1.13,0.13,1.87,1.13,3.00,1.62,2.75,1.61,1.43,1.13,2.56,1.62,1.13,2.75,1.43,2.56
pt Benfica,20,25.5,44.5,6,66,540,6.0,1.00,0.50,1.00,0.00,0.00,2.33,0.17,1.00,0.50,1.50,1.00,1.50,1.37,1.37,1.12,2.48,1.36,1.11,2.48,1.36,2.48
be Club Brugge,25,24.9,40.2,6,66,540,6.0,1.00,0.50,0.83,0.17,0.17,1.33,0.00,1.00,0.50,1.50,0.83,1.33,0.85,0.73,0.53,1.27,0.85,0.53,1.38,0.73,1.26
ru CSKA Moscow,22,23.9,44.7,6,66,540,6.0,1.33,0.83,1.00,0.33,0.33,2.33,0.33,1.33,0.83,2.17,1.00,1.83,1.18,0.93,0.78,1.72,1.19,0.78,1.97,0.93,1.71
de Dortmund,24,25.0,60.6,8,88,720,8.0,1.25,1.00,1.25,0.00,0.13,1.25,0.00,1.25,1.00,2.25,1.25,2.25,1.46,1.38,1.20,2.58,1.47,1.20,2.66,1.37,2.57
tr Galatasaray,21,28.4,53.8,6,66,540,6.0,0.83,0.33,0.50,0.33,0.50,2.33,0.17,0.83,0.33,1.17,0.50,0.83,1.52,1.13,0.95,2.10,1.52,0.95,2.48,1.14,2.09
de Hoffenheim,25,25.6,44.8,6,66,540,6.0,1.83,1.17,1.67,0.17,0.17,2.17,0.33,1.83,1.17,3.00,1.67,2.83,1.83,1.70,1.30,3.00,1.83,1.30,3.12,1.70,3.00
it Inter,17,28.1,47.0,6,66,540,6.0,1.00,0.67,1.00,0.00,0.00,2.50,0.00,1.00,0.67,1.67,1.00,1.67,1.45,1.45,1.13,2.58,1.45,1.13,2.58,1.45,2.58
it Juventus,22,28.4,55.0,10,110,900,10.0,1.40,1.10,1.10,0.30,0.30,1.10,0.10,1.40,1.10,2.50,1.10,2.20,1.80,1.59,1.20,2.79,1.80,1.20,3.00,1.59,2.79
eng Liverpool,20,26.1,51.6,13,143,1170,13.0,1.85,1.31,1.54,0.31,0.38,1.00,0.00,1.85,1.31,3.15,1.54,2.85,1.85,1.55,1.12,2.66,1.85,1.11,2.96,1.55,2.66
ru Loko Moscow,19,29.0,45.7,6,66,540,6.0,0.50,0.33,0.50,0.00,0.17,2.67,0.17,0.50,0.33,0.83,0.50,0.83,1.13,1.02,0.78,1.78,1.14,0.78,1.92,1.01,1.79
fr Lyon,21,24.4,43.9,8,88,720,8.0,1.63,1.13,1.63,0.00,0.00,0.50,0.00,1.62,1.13,2.75,1.62,2.75,1.51,1.51,1.13,2.64,1.51,1.13,2.64,1.51,2.64
eng Manchester City,21,26.7,63.2,10,110,900,10.0,3.00,2.00,2.70,0.30,0.40,0.30,0.10,3.00,2.00,5.00,2.70,4.70,2.22,1.92,1.62,3.55,2.22,1.62,3.85,1.92,3.55
