Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
gr AEK Athens,20,6.0,2.17,0.33,0.33,13.5,9.83,2.00,6.17,10.0,9.83,0.00,0.17,0.00,78.2,7.50,11.3,39.8
nl Ajax,22,12.0,1.42,0.08,0.00,13.7,13.3,3.75,9.42,9.58,14.7,0.08,0.08,0.00,104.4,12.1,12.4,49.3
es Atlético Madrid,21,8.0,2.13,0.13,0.13,11.6,10.8,2.38,11.8,11.3,14.4,0.00,0.13,0.00,90.9,11.4,9.63,54.2
es Barcelona,23,12.0,0.25,0.08,0.08,10.2,14.8,1.92,8.83,8.33,10.3,0.08,0.00,0.00,83.1,7.67,6.75,53.2
de Bayern Munich,20,8.0,1.13,0.13,0.00,11.1,11.3,2.75,11.8,14.5,12.0,0.25,0.13,0.00,96.9,10.4,8.25,55.7
pt Benfica,20,6.0,2.33,0.17,0.17,12.7,13.2,0.83,9.00,11.7,14.0,0.00,0.00,0.00,91.7,7.50,8.17,47.9
be Club Brugge,25,6.0,1.33,0.00,0.00,10.2,8.33,2.50,9.83,8.50,10.7,0.00,0.00,0.00,87.8,7.00,10.0,41.2
ru CSKA Moscow,22,6.0,2.33,0.33,0.33,13.8,11.2,1.67,8.00,6.50,10.7,0.33,0.17,0.00,85.8,11.2,11.5,49.3
de Dortmund,24,8.0,1.25,0.00,0.00,7.25,8.38,2.38,9.13,8.75,11.1,0.13,0.00,0.00,90.4,5.75,5.88,49.5
tr Galatasaray,21,6.0,2.33,0.17,0.17,14.3,15.5,2.67,8.67,5.67,13.2,0.33,0.17,0.17,87.5,10.0,8.67,53.6
de Hoffenheim,25,6.0,2.17,0.33,0.33,14.0,9.83,4.00,14.7,8.67,9.83,0.17,0.00,0.00,82.5,6.33,7.50,45.8
it Inter,17,6.0,2.50,0.00,0.00,14.0,12.3,1.33,17.2,10.3,11.7,0.00,0.00,0.00,81.3,7.67,11.7,39.7
it Juventus,22,10.0,1.10,0.10,0.00,12.6,14.2,1.40,14.4,9.50,10.6,0.30,0.20,0.10,87.5,12.4,10.9,53.2
eng Liverpool,20,13.0,1.00,0.00,0.00,12.1,9.62,2.31,11.9,9.31,12.3,0.23,0.00,0.08,104.6,10.5,12.1,46.6
ru Loko Moscow,19,6.0,2.67,0.17,0.00,15.2,13.7,2.17,7.83,13.5,13.5,0.17,0.17,0.00,104.8,11.5,10.8,51.5
fr Lyon,21,8.0,0.50,0.00,0.00,10.5,12.3,3.13,9.75,11.0,13.1,0.00,0.13,0.00,79.5,6.63,8.88,42.7
eng Manchester City,21,10.0,0.30,0.10,0.10,12.0,8.80,2.70,13.7,8.50,10.8,0.30,0.30,0.00,85.5,10.9,8.30,56.8
eng Manchester Utd,26,10.0,0.30,0.10,0.10,15.6,10.9,2.80,13.0,10.6,11.3,0.00,0.00,0.20,77.0,10.0,6.10,62.1
fr Monaco,29,6.0,2.17,0.00,0.00,11.7,11.8,2.00,11.3,11.3,11.5,0.00,0.17,0.00,86.0,8.50,8.00,51.5
it Napoli,18,6.0,2.17,0.00,0.00,11.3,11.5,2.83,13.7,9.33,12.5,0.17,0.00,0.17,97.0,7.67,7.83,49.5
fr Paris S-G,20,8.0,1.38,0.00,0.00,10.6,15.6,3.00,12.3,9.63,10.3,0.00,0.50,0.00,81.8,8.25,5.88,58.4
pt Porto,25,10.3,1.17,0.00,0.00,14.6,13.6,1.75,13.3,9.61,11.4,0.39,0.49,0.00,100.7,13.5,15.5,46.5
nl PSV Eindhoven,18,6.0,2.33,0.00,0.00,14.0,12.2,2.00,9.17,10.0,9.83,0.00,0.00,0.00,78.7,13.0,12.5,51.0
es Real Madrid,24,8.0,1.00,0.13,0.13,10.1,10.4,2.75,18.3,9.63,12.5,0.00,0.00,0.00,88.9,10.1,9.13,52.6
rs Red Star,20,6.0,2.83,0.00,0.00,14.8,10.0,2.67,7.17,11.3,8.17,0.00,0.33,0.00,85.8,6.83,12.0,36.3
it Roma,24,8.3,0.72,0.12,0.12,12.0,11.1,1.81,12.0,10.4,9.76,0.12,0.12,0.00,91.6,14.6,12.7,53.5
de Schalke 04,27,8.0,1.50,0.00,0.00,13.1,11.8,2.88,9.25,15.8,16.3,0.13,0.25,0.00,88.8,10.3,8.75,53.9
ua Shakhtar,20,6.0,1.67,0.00,0.00,9.17,12.7,0.67,7.33,11.2,10.3,0.00,0.17,0.00,67.3,4.50,7.67,37.0
eng Tottenham,24,13.0,0.15,0.00,0.00,12.7,9.38,2.23,11.8,9.54,10.8,0.00,0.15,0.00,94.8,14.6,11.2,56.7
es Valencia,22,6.0,3.33,0.00,0.00,13.5,18.3,3.67,11.5,11.7,9.17,0.17,0.50,0.00,82.5,7.17,10.2,41.3
cz Viktoria Plzeň,21,6.0,1.67,0.00,0.00,12.8,12.8,2.33,9.00,7.50,10.3,0.17,0.33,0.00,84.5,10.5,12.8,45.0
ch Young Boys,20,6.0,2.50,0.33,0.17,18.2,10.7,2.17,11.8,9.00,14.5,0.33,0.17,0.00,86.2,9.67,12.5,43.6
