Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,26,1990,24.3,0.29,0.00,0.00,0.74,0.41,0.12,1.73,1.48,1.23,0.00,0.00,0.00,9.26,0.08,0.25,25.0,Matches
2,Rolando Aarons\Rolando-Aarons,eng ENG,FWMF,Newcastle Utd,21,1995,1.5,0.00,0.00,0.00,0.67,2.00,0.67,1.33,1.33,2.67,0.00,0.00,0.00,8.00,1.33,1.33,50.0,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,19,1997,19.2,0.00,0.00,0.00,0.78,1.41,0.47,0.57,0.21,0.26,0.00,0.00,0.00,3.18,1.56,1.56,50.0,Matches
4,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,31,1985,4.6,0.43,0.22,0.00,1.74,1.74,0.00,3.04,0.43,1.09,0.00,0.00,0.00,13.3,1.09,0.22,83.3,Matches
5,Adrián\Adrian,es ESP,GK,West Ham,30,1987,19.0,0.11,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.05,0.00,0.00,,Matches
6,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,31,1986,1.8,0.56,0.00,0.00,0.56,0.00,0.00,0.00,1.11,1.11,0.00,0.00,0.00,8.33,0.00,0.00,,Matches
7,Benik Afobe\Benik-Afobe,cd COD,FWMF,Bournemouth,24,1993,6.8,0.00,0.00,0.00,1.32,1.91,0.59,0.00,0.15,0.44,0.15,0.00,0.00,3.53,2.50,3.53,41.5,Matches
8,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,29,1988,21.8,0.09,0.00,0.00,0.46,0.78,0.73,0.78,0.37,0.23,0.00,0.00,0.00,4.13,0.28,0.69,28.6,Matches
9,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,22,1995,37.3,0.13,0.00,0.00,0.72,0.51,0.05,0.19,1.02,0.72,0.00,0.00,0.00,12.5,1.64,1.45,53.0,Matches
10,Marc Albrighton\Marc-Albrighton,eng ENG,MFFW,Leicester City,27,1989,28.2,0.18,0.04,0.00,0.71,0.89,0.04,4.89,0.89,1.06,0.00,0.04,0.00,8.62,0.21,0.39,35.3,Matches
11,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,28,1989,13.1,0.23,0.00,0.00,0.61,0.15,0.00,0.31,0.53,0.61,0.00,0.00,0.00,11.0,0.46,0.69,40.0,Matches
12,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,17.5,0.17,0.00,0.00,0.69,0.06,0.17,3.83,1.83,1.03,0.00,0.00,0.00,11.1,0.23,0.57,28.6,Matches
13,Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,27,1990,34.9,0.23,0.00,0.00,1.40,1.40,0.00,0.63,1.43,1.78,0.00,0.00,0.00,12.5,0.46,1.00,31.4,Matches
14,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,21,1996,32.9,0.21,0.00,0.00,1.37,2.58,0.15,0.70,0.88,0.88,0.03,0.00,0.00,7.54,0.61,1.03,37.0,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DFMF,Chelsea,26,1990,31.7,0.19,0.00,0.00,0.82,0.98,0.25,2.46,1.04,0.85,0.00,0.00,0.00,8.90,1.45,1.23,54.1,Matches
16,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,22,1994,5.4,0.19,0.37,0.19,0.74,1.30,0.00,0.00,1.11,0.00,0.00,0.00,0.00,12.2,0.56,0.56,50.0,Matches
