Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Rayhaan Tulloch\Rayhaan-Tulloch,eng ENG,MF,West Brom,16,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,26,1990,28,2184,78,63.9,24.3,1.03,,0.86,0.12,,0.33,1.21,1.28,1.56,-0.29,-0.29,-0.07,1.31,1.36,-0.05,-0.05,-0.55,Matches
3,Rolando Aarons\Rolando-Aarons,eng ENG,FWMF,Newcastle Utd,21,1995,4,139,35,4.1,1.5,0.67,,0.00,2.00,,4.67,0.25,0.67,1.33,-0.67,-0.65,-0.46,0.27,1.87,-1.60,-1.57,-1.39,Matches
4,Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,19,1997,31,1726,56,50.5,19.2,0.78,,0.47,0.83,,0.10,0.81,0.78,1.61,-0.83,-0.83,-0.20,0.78,1.60,-0.83,-0.83,-0.18,Matches
5,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,31,1985,11,411,37,12.0,4.6,1.09,,0.22,1.30,,4.57,0.91,0.43,1.52,-1.09,-1.09,-0.26,1.37,2.02,-0.65,-0.65,-0.06,Matches
6,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Manchester City,19,1997,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
7,Adrián\Adrian,es ESP,GK,West Ham,30,1987,19,1710,90,50.0,19.0,1.00,,1.00,0.00,,1.00,1.42,1.58,1.53,0.05,+0.05,+1.16,1.05,1.58,-0.53,-0.53,+0.02,Matches
8,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,31,1986,6,166,28,4.9,1.8,0.56,,0.00,2.78,,5.56,1.00,0.56,5.00,-4.44,-4.34,-3.65,0.44,2.61,-2.17,-2.13,-1.61,Matches
9,Benik Afobe\Benik-Afobe,cd COD,FWMF,Bournemouth,24,1993,17,611,36,17.9,6.8,0.74,,0.15,1.76,,0.59,1.06,0.74,1.76,-1.03,-1.03,-0.74,1.00,1.96,-0.96,-1.10,-0.80,Matches
10,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,29,1988,25,1963,79,57.4,21.8,1.01,,0.60,0.14,,0.18,2.52,2.89,0.55,2.34,+2.34,+0.61,2.15,0.62,1.53,+1.53,+0.05,Matches
11,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,22,1995,38,3353,88,98.0,37.3,0.99,,0.97,0.03,,0.00,1.16,1.18,1.58,-0.40,-0.40,+0.94,1.12,1.51,-0.39,-0.39,+1.33,Matches
12,Marc Albrighton\Marc-Albrighton,eng ENG,MFFW,Leicester City,27,1989,34,2538,75,74.2,28.2,1.06,,0.67,0.14,,0.04,1.29,1.24,1.38,-0.14,-0.14,-0.14,1.16,1.28,-0.11,-0.11,-0.14,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,28,1989,14,1178,84,34.4,13.1,0.99,,0.99,0.08,,0.08,1.93,1.91,0.99,0.92,+0.92,-0.13,1.73,0.83,0.89,+0.90,+0.01,Matches
14,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,19,1573,83,46.0,17.5,1.03,,0.80,0.06,,0.91,1.89,2.23,0.97,1.26,+1.26,+0.09,1.91,0.85,1.07,+1.07,+0.17,Matches
15,Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,27,1990,36,3139,87,91.8,34.9,1.03,,0.95,0.00,,0.03,0.92,0.89,1.58,-0.69,-0.69,+2.19,0.99,1.46,-0.47,-0.47,+1.57,Matches
16,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,21,1996,36,2958,82,86.5,32.9,1.03,,0.55,0.06,,0.00,2.03,1.91,0.85,1.06,+1.06,+0.48,1.72,0.78,0.95,+0.94,+0.40,Matches
17,Marcos Alonso\Marcos-Alonso,es ESP,DFMF,Chelsea,26,1990,33,2855,87,83.5,31.7,1.04,,0.88,0.00,,0.03,1.85,1.51,0.95,0.57,+0.57,-0.39,1.42,0.83,0.59,+0.59,-0.12,Matches
18,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,22,1994,8,487,61,14.2,5.4,1.11,,0.74,0.37,,2.04,1.13,1.30,1.30,0.00,0.00,+0.12,1.35,1.19,0.17,+0.17,+0.29,Matches
19,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,Chelsea,16,2000,1,11,11,0.3,0.1,0.00,,0.00,10.0,,110.0,3.00,0.00,10.0,-10.00,-8.18,-8.84,0.00,1.00,-1.00,-0.56,-1.17,Matches
20,Nordin Amrabat\Nordin-Amrabat,ma MAR,FW,Watford,30,1987,3,198,66,5.8,2.2,1.36,,0.45,0.00,,0.00,1.67,1.82,1.36,0.45,+0.45,+1.04,1.73,2.00,-0.27,-0.29,-0.01,Matches
21,Keshi Anderson\Keshi-Anderson,eng ENG,FWMF,Crystal Palace,22,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,27,1990,21,1354,64,39.6,15.0,1.07,,0.53,0.33,,0.00,1.05,0.87,1.53,-0.67,-0.66,-0.23,0.87,1.47,-0.59,-0.59,-0.08,Matches
23,Scott Arfield\Scott-Arfield,ca CAN,FWMF,Burnley,28,1988,18,1333,74,39.0,14.8,1.01,,0.61,0.20,,0.54,1.11,0.47,1.01,-0.54,-0.54,-0.76,0.64,1.55,-0.92,-0.91,-0.91,Matches
24,Marko Arnautović\Marko-Arnautovic,at AUT,FWMF,West Ham,28,1989,31,2313,75,67.6,25.7,1.09,,0.54,0.12,,0.04,1.06,1.32,1.87,-0.54,-0.54,-0.06,1.05,1.47,-0.42,-0.42,+0.38,Matches
25,Harry Arter\Harry-Arter,ie IRL,MF,Bournemouth,27,1989,13,960,74,28.1,10.7,1.03,,0.65,0.19,,1.03,1.31,0.93,1.21,-0.28,-0.28,+0.19,0.91,1.32,-0.40,-0.41,+0.02,Matches
26,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,25,1992,28,1784,64,52.2,19.8,0.96,,0.61,0.45,,0.00,1.32,0.86,1.11,-0.25,-0.25,-0.09,1.04,1.20,-0.16,-0.16,+0.15,Matches
27,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,28,1989,13,1057,81,30.9,11.7,1.03,,0.85,0.09,,0.00,1.62,2.22,1.28,0.94,+0.94,+0.48,1.68,1.25,0.43,+0.43,+0.11,Matches
28,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,24,1992,17,1429,84,41.8,15.9,1.01,,0.88,0.06,,0.82,2.18,2.20,0.75,1.45,+1.45,+0.77,2.02,0.65,1.37,+1.37,+0.83,Matches
29,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,28,1989,24,1037,43,30.3,11.5,0.87,,0.26,1.22,,0.09,0.92,1.22,1.30,-0.09,-0.09,+0.59,1.26,1.00,0.27,+0.27,+0.59,Matches
30,André Ayew\Andre-Ayew,gh GHA,FWMF,Swansea City,27,1989,12,950,79,27.8,10.6,0.94,,0.66,0.19,,0.00,0.75,0.85,1.70,-0.85,-0.85,-0.16,1.04,1.70,-0.66,-0.66,+0.11,Matches
31,André Ayew\Andre-Ayew,gh GHA,FWMF,West Ham,27,1989,18,895,50,26.2,9.9,0.91,,0.40,0.91,,0.40,0.94,1.11,2.42,-1.31,-1.31,-1.06,0.94,1.70,-0.76,-0.76,-0.30,Matches
