Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
175,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,26,1990,37.0,14.4,23.2,62.2,523.6,390.1,1.65,1.65,100.0,6.16,6.22,99.1,6.54,15.2,43.0,0.00,0.00,-0.00,0.03,0.27,0.00,0.00,0.00,Matches
176,Kieran Gibbs\Kieran-Gibbs,eng ENG,DF,West Brom,27,1989,31.4,31.2,43.0,72.6,538.4,225.8,14.1,16.3,86.4,13.7,18.5,74.0,2.58,6.50,39.7,0.03,0.06,-0.03,0.73,1.88,0.89,0.51,2.61,Matches
177,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Arsenal,30,1986,4.3,22.1,31.2,70.9,248.8,32.6,14.4,19.5,73.8,4.19,6.51,64.3,0.47,0.70,66.7,0.23,0.21,0.02,1.86,0.70,0.93,0.00,1.40,Matches
178,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,30,1986,6.8,20.9,32.1,65.1,269.1,56.2,12.5,18.1,69.1,4.56,7.50,60.8,1.62,2.35,68.8,0.15,0.16,-0.01,1.76,1.32,0.88,0.00,1.91,Matches
179,Connor Goldson\Connor-Goldson,eng ENG,DF,Brighton,24,1992,2.2,29.1,40.0,72.7,694.5,255.5,7.27,9.55,76.2,14.1,17.3,81.6,7.27,12.3,59.3,0.00,0.00,0.00,0.00,2.27,0.00,0.00,2.27,Matches
180,Heurelho Gomes\Heurelho-Gomes,br BRA,GK,Watford,36,1981,23.6,14.1,24.7,57.2,591.9,443.5,1.36,1.36,100.0,4.41,4.49,98.1,8.35,18.8,44.4,0.00,0.00,0.00,0.00,0.59,0.00,0.00,0.00,Matches
181,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,20,1997,21.1,60.4,74.3,81.4,1155.5,430.6,22.1,24.7,89.5,30.8,36.2,85.1,7.06,12.1,58.4,0.09,0.06,0.03,0.71,5.92,0.90,0.38,6.35,Matches
182,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,27,1990,21.6,37.8,48.4,78.0,684.7,190.3,15.4,18.5,83.2,16.5,20.1,82.3,4.49,6.94,64.7,0.05,0.04,0.00,0.69,3.98,0.65,0.09,4.95,Matches
183,Lee Grant\Lee-Grant,eng ENG,GK,Stoke City,34,1983,3.0,15.0,23.7,63.4,658.3,473.7,2.00,2.00,100.0,3.67,3.67,100.0,9.33,18.0,51.9,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,Matches
184,Andre Gray\Andre-Gray,eng ENG,FW,Watford,26,1991,16.6,12.9,18.3,70.6,195.3,27.7,7.05,9.40,75.0,4.16,5.96,69.7,0.90,1.08,83.3,0.12,0.10,0.02,0.84,0.84,0.36,0.00,0.96,Matches
