Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
22,Harry Arter\Harry-Arter,ie IRL,MF,Bournemouth,27,1989,10.7,1.87,1.31,0.93,0.47,0.47,0.65,1.96,33.3,1.31,18.8,4.77,25.4,5.51,10.8,2.43,1.59,0.47,0.00,1.12,0.84,2.71,0.19,0.00,Matches
23,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,25,1992,19.8,0.86,0.30,0.66,0.15,0.05,0.35,1.06,33.3,0.71,15.0,3.74,24.9,5.66,6.26,3.08,2.37,0.25,0.00,2.12,0.45,1.31,0.66,0.00,Matches
24,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,28,1989,11.7,0.43,0.34,0.17,0.26,0.00,0.09,0.85,10.0,0.77,11.2,2.74,24.4,1.54,5.38,4.27,1.03,0.34,0.00,0.68,0.43,0.85,0.51,0.00,Matches
25,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,24,1992,15.9,3.14,1.95,1.64,1.13,0.38,1.01,2.39,42.1,1.38,14.8,5.47,36.9,6.60,5.79,2.45,2.08,0.06,0.00,2.01,1.45,4.59,1.95,0.00,Matches
26,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,28,1989,11.5,0.43,0.26,0.09,0.09,0.26,0.09,0.43,20.0,0.35,15.0,4.09,27.2,1.48,6.70,6.87,1.04,0.17,0.00,0.87,0.09,0.52,0.70,0.00,Matches
27,André Ayew\Andre-Ayew,gh GHA,FWMF,Swansea City,27,1989,10.6,1.04,0.66,0.28,0.66,0.09,0.28,0.66,42.9,0.38,23.9,5.09,21.3,3.21,11.6,9.06,1.32,0.09,0.00,1.23,0.75,1.79,0.85,0.00,Matches
28,André Ayew\Andre-Ayew,gh GHA,FWMF,West Ham,27,1989,9.9,1.72,1.31,0.71,0.61,0.40,0.30,1.21,25.0,0.91,20.5,5.05,24.6,4.55,9.49,6.46,0.81,0.10,0.00,0.71,0.40,2.12,0.20,0.00,Matches
29,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Swansea City,25,1991,31.7,2.27,1.64,0.63,1.01,0.63,0.28,1.01,28.1,0.73,29.6,7.32,24.7,5.39,15.1,9.12,1.45,0.13,0.00,1.32,0.85,3.12,0.25,0.00,Matches
30,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,27,1989,37.0,2.08,1.16,1.35,0.54,0.19,0.68,1.73,39.1,1.05,12.0,4.46,37.2,7.62,3.46,0.92,1.70,0.65,0.03,1.05,1.16,3.24,3.05,0.03,Matches
31,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,23,1994,11.1,1.26,0.90,0.99,0.18,0.09,0.63,1.35,46.7,0.72,8.11,2.52,31.1,5.32,2.52,0.27,1.89,0.81,0.00,1.08,2.34,3.60,3.87,0.00,Matches
