Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
22,Harry Arter\Harry-Arter,ie IRL,MF,Bournemouth,27,1989,10.7,61.3,1.59,14.8,37.2,13.9,0.28,59.9,0.28,0.47,60.0,0.28,0.09,44.6,251.2,118.2,3.36,1.12,0.19,0.47,0.75,44.2,42.8,96.8,0.75,Matches
23,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,25,1992,19.8,39.8,1.62,8.84,15.2,20.0,3.59,39.1,1.16,3.08,37.7,1.36,0.25,27.7,193.2,106.9,4.75,1.92,0.81,1.62,1.92,33.8,24.9,73.7,5.96,Matches
24,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,28,1989,11.7,35.9,0.94,4.27,15.6,18.1,5.38,33.8,0.94,0.94,100.0,0.94,0.00,21.4,128.5,75.1,3.76,0.68,0.94,1.45,1.11,37.5,25.3,67.4,7.86,Matches
25,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,24,1992,15.9,76.8,2.26,18.6,33.0,30.3,2.33,66.9,1.19,1.76,67.9,1.26,0.00,46.0,216.0,109.7,5.66,2.20,0.31,1.13,1.01,49.3,44.0,89.2,3.96,Matches
26,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,28,1989,11.5,32.8,0.87,3.13,13.0,17.9,5.48,32.1,0.52,0.96,54.5,0.70,0.00,17.6,72.4,24.0,2.00,0.35,0.52,2.26,1.57,39.7,23.9,60.2,8.78,Matches
27,André Ayew\Andre-Ayew,gh GHA,FWMF,Swansea City,27,1989,10.6,40.6,1.04,5.28,19.8,17.8,3.58,39.2,1.13,1.51,75.0,1.13,0.00,26.2,131.2,53.2,2.83,0.85,0.66,1.42,1.70,44.2,29.0,65.5,7.26,Matches
28,André Ayew\Andre-Ayew,gh GHA,FWMF,West Ham,27,1989,9.9,37.0,0.91,5.56,18.2,15.8,3.13,35.9,1.21,1.72,70.6,1.21,0.00,25.3,141.3,70.6,3.03,1.11,0.30,1.21,1.11,39.5,25.5,64.5,5.25,Matches
29,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Swansea City,25,1991,31.7,44.9,0.44,4.61,20.6,24.1,3.60,44.0,2.21,3.53,62.5,2.30,0.09,33.6,204.7,94.7,4.92,1.48,0.54,3.31,3.56,46.8,31.6,67.4,9.56,Matches
30,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,27,1989,37.0,85.8,6.32,33.9,42.2,15.0,0.65,83.5,0.11,0.19,57.1,0.14,0.00,55.5,278.9,170.8,6.22,1.92,0.08,0.08,0.16,59.4,58.4,98.2,0.95,Matches
31,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,23,1994,11.1,48.5,6.49,25.7,23.2,1.71,0.63,47.9,0.45,0.54,83.3,0.45,0.00,29.8,162.8,73.8,1.89,0.27,0.00,0.00,0.27,27.1,26.8,98.7,0.27,Matches
