Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,30,38.0,1.92,15.7,5.92,37.8,15.66,5.92,0.12,0.31,17.6,0.79,0.11,0.13,1.66,1.56,0.10,0.26,0.26
Bournemouth,22,38.0,1.18,12.3,4.05,32.8,12.34,4.05,0.09,0.27,17.5,0.34,0.08,0.08,1.12,1.07,0.09,0.06,0.04
Brighton,24,38.0,0.87,10.1,2.95,29.2,10.08,2.95,0.07,0.25,17.9,0.08,0.13,0.18,0.96,0.82,0.08,-0.09,-0.08
Burnley,24,38.0,0.92,10.1,3.47,34.4,10.11,3.47,0.09,0.27,16.2,0.42,0.00,0.00,0.91,0.91,0.09,0.02,0.02
Chelsea,26,38.0,1.58,16.0,5.61,35.1,15.97,5.61,0.09,0.27,17.4,0.50,0.08,0.08,1.47,1.41,0.09,0.11,0.09
Crystal Palace,28,38.0,1.16,12.3,3.50,28.5,12.29,3.50,0.08,0.27,17.1,0.53,0.21,0.26,1.39,1.20,0.10,-0.24,-0.26
Everton,30,38.0,1.11,9.37,2.87,30.6,9.37,2.87,0.10,0.34,17.1,0.21,0.13,0.21,1.04,0.88,0.10,0.06,0.10
Huddersfield,25,38.0,0.66,9.58,2.82,29.4,9.58,2.82,0.06,0.21,18.2,0.32,0.05,0.05,0.86,0.82,0.09,-0.20,-0.21
Leicester City,27,38.0,1.39,11.1,3.61,32.6,11.05,3.61,0.11,0.35,17.0,0.29,0.13,0.16,1.20,1.08,0.10,0.19,0.18
Liverpool,27,38.0,2.16,16.8,6.03,35.9,16.79,6.03,0.13,0.35,17.1,0.58,0.05,0.08,1.85,1.79,0.11,0.31,0.31
Manchester City,25,38.0,2.71,17.5,6.76,38.6,17.50,6.76,0.15,0.38,17.5,0.79,0.16,0.21,2.11,1.95,0.11,0.60,0.60
Manchester Utd,27,38.0,1.76,13.6,4.50,33.0,13.63,4.50,0.13,0.39,17.7,0.55,0.03,0.08,1.50,1.43,0.11,0.26,0.30
Newcastle Utd,27,38.0,1.00,11.9,4.05,34.0,11.92,4.05,0.08,0.25,18.7,0.53,0.00,0.03,1.12,1.09,0.09,-0.12,-0.09
Southampton,26,38.0,0.95,11.7,3.63,31.1,11.68,3.63,0.07,0.24,17.9,0.29,0.08,0.08,1.06,1.00,0.09,-0.11,-0.13
Stoke City,30,38.0,0.89,10.2,3.21,31.5,10.18,3.21,0.09,0.28,17.9,0.29,0.00,0.08,0.98,0.92,0.09,-0.08,-0.02
Swansea City,26,38.0,0.71,8.87,2.61,29.4,8.87,2.61,0.08,0.26,17.5,0.39,0.03,0.03,0.80,0.78,0.09,-0.09,-0.09
Tottenham,25,38.0,1.84,16.5,5.53,33.4,16.53,5.53,0.11,0.32,17.5,0.71,0.05,0.08,1.76,1.70,0.11,0.08,0.09
Watford,29,38.0,1.11,11.7,3.42,29.2,11.71,3.42,0.09,0.30,17.1,0.24,0.08,0.16,1.18,1.06,0.09,-0.07,-0.03
West Brom,24,38.0,0.82,10.4,2.84,27.4,10.37,2.84,0.08,0.28,17.0,0.42,0.03,0.03,0.91,0.89,0.09,-0.09,-0.10
West Ham,27,38.0,1.26,9.79,3.37,34.4,9.79,3.37,0.12,0.36,17.3,0.42,0.05,0.11,0.98,0.90,0.09,0.28,0.31
