Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Arsenal,28,26.7,38,3420,90,100,38.0,11.0,83,,2.97,26,4.03,1.84,1.92,1.34,0.58,+0.58,1.50,1.43,0.07,+0.07
Bournemouth,28,26.6,38,3420,90,100,38.0,11.0,86,,2.74,17,4.26,1.18,1.47,1.84,-0.37,-0.37,1.40,1.47,-0.07,-0.07
Brighton,21,27.4,38,3420,90,100,38.0,11.0,84,,2.61,22,4.39,0.95,0.92,1.58,-0.66,-0.66,0.91,1.48,-0.58,-0.58
Burnley,23,28.0,38,3420,90,100,38.0,11.0,86,,2.26,18,4.74,1.05,1.18,1.79,-0.61,-0.61,1.10,1.66,-0.56,-0.56
Cardiff City,25,27.7,38,3420,90,100,38.0,11.0,85,,2.87,18,4.13,0.89,0.89,1.82,-0.92,-0.92,1.05,1.63,-0.58,-0.58
Chelsea,24,27.3,38,3420,90,100,38.0,11.0,85,,2.97,20,4.03,1.89,1.66,1.03,0.63,+0.63,1.54,0.93,0.61,+0.61
Crystal Palace,26,27.4,38,3420,90,100,38.0,11.0,87,,2.42,14,4.58,1.29,1.34,1.39,-0.05,-0.05,1.32,1.28,0.04,+0.04
Everton,23,25.7,38,3420,90,100,38.0,11.0,85,,2.92,16,4.08,1.42,1.42,1.21,0.21,+0.21,1.22,1.18,0.04,+0.04
Fulham,28,26.0,38,3420,90,100,38.0,11.0,84,,2.84,22,4.16,0.68,0.89,2.13,-1.24,-1.24,1.04,1.72,-0.67,-0.67
Huddersfield,31,26.2,38,3420,90,100,38.0,11.0,84,,2.82,22,4.18,0.42,0.58,2.00,-1.42,-1.42,0.76,1.67,-0.91,-0.91
Leicester City,25,25.9,38,3420,90,100,38.0,11.0,85,,2.92,18,4.08,1.37,1.34,1.26,0.08,+0.08,1.30,1.12,0.18,+0.18
Liverpool,23,26.1,38,3420,90,100,38.0,11.0,86,,2.87,15,4.13,2.55,2.34,0.58,1.76,+1.76,1.94,0.79,1.15,+1.15
Manchester City,21,26.7,38,3420,90,100,38.0,11.0,86,,2.84,17,4.16,2.58,2.50,0.61,1.89,+1.89,2.16,0.67,1.48,+1.49
Manchester Utd,28,26.3,38,3420,90,100,38.0,11.0,85,,2.95,20,4.05,1.74,1.71,1.42,0.29,+0.29,1.57,1.26,0.31,+0.31
Newcastle Utd,24,26.9,38,3420,90,100,38.0,11.0,86,,2.61,17,4.39,1.18,1.11,1.26,-0.16,-0.16,1.02,1.38,-0.36,-0.36
Southampton,30,25.4,38,3420,90,100,38.0,11.0,85,,2.82,20,4.18,1.03,1.18,1.71,-0.53,-0.53,1.19,1.44,-0.25,-0.25
Tottenham,28,26.8,38,3420,90,100,38.0,11.0,86,,2.79,15,4.21,1.87,1.76,1.03,0.74,+0.74,1.46,1.19,0.27,+0.27
Watford,25,28.5,38,3420,90,100,38.0,11.0,85,,2.71,18,4.29,1.32,1.37,1.55,-0.18,-0.18,1.26,1.43,-0.17,-0.17
West Ham,26,27.6,38,3420,90,100,38.0,11.0,84,,2.97,23,4.00,1.37,1.37,1.45,-0.08,-0.08,1.29,1.61,-0.31,-0.31
Wolves,21,26.1,38,3420,90,100,38.0,11.0,85,,2.89,17,4.11,1.50,1.24,1.21,0.03,+0.03,1.31,1.02,0.29,+0.30
