Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
21,Ben Hamer\Ben-Hamer,eng ENG,GK,Huddersfield,30,1987,6.1,3.44,0.49,0.33,0.33,0.16,2.56,0.35,-0.72,-0.72,9.34,25.4,36.8,24.6,1.64,78.0,53.4,7.21,86.4,62.4,8.85,0.82,9.3,0.33,0.33,2.25,Matches
22,Joe Hart\Joe-Hart,eng ENG,GK,Burnley,31,1987,19.0,2.16,0.05,0.05,0.42,0.05,1.92,0.30,-0.18,-0.19,9.37,25.6,36.6,21.7,2.26,78.9,56.5,8.79,95.8,72.0,10.5,0.58,5.5,0.63,0.63,0.73,Matches
23,Tom Heaton\Tom-Heaton,eng ENG,GK,Burnley,32,1986,19.0,1.42,0.05,0.05,0.11,0.16,1.22,0.27,-0.05,-0.05,9.26,24.9,37.2,21.8,2.37,77.3,55.1,9.05,89.0,66.1,12.1,0.58,4.8,0.74,0.74,0.81,Matches
24,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,31,1987,17.5,1.49,0.17,0.06,0.29,0.00,1.26,0.30,-0.23,-0.23,6.51,19.4,33.6,20.3,3.26,62.8,49.6,7.60,87.2,69.9,10.7,0.57,5.3,0.74,0.74,0.91,Matches
25,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,26,1992,31.5,1.33,0.22,0.03,0.13,0.06,1.40,0.28,0.13,+0.13,4.06,13.6,29.9,27.9,5.56,33.3,35.5,7.11,60.7,50.2,7.97,0.54,6.8,0.57,0.57,0.47,Matches
26,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,31,1986,33.0,1.00,0.09,0.03,0.15,0.09,1.25,0.31,0.34,+0.34,6.82,14.6,46.8,28.4,4.64,37.0,36.0,7.06,57.9,47.1,8.52,0.42,5.0,0.52,0.52,0.45,Matches
27,Jonas Lössl\Jonas-Lossl,dk DEN,GK,Huddersfield,29,1989,30.9,1.75,0.13,0.03,0.19,0.00,1.51,0.32,-0.24,-0.24,9.97,22.6,44.1,28.6,3.11,59.8,45.5,6.93,79.4,60.5,7.06,0.87,12.4,0.68,0.68,0.47,Matches
28,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,28,1989,25.0,1.76,0.08,0.00,0.16,0.12,1.48,0.31,-0.16,-0.16,5.04,17.4,29.0,18.4,3.08,61.7,48.5,7.08,84.7,64.3,9.92,0.92,9.3,0.44,0.44,0.58,Matches
29,Will Norris\Will-Norris,eng ENG,GK,Wolves,24,1993,0.0,0,0,0,0,0,0.0,,0.0,0.00,0,0,,0,0,,,0,,,0,0,,0,,,Matches
30,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,30,1988,37.0,1.24,0.08,0.03,0.19,0.08,1.08,0.28,-0.08,-0.08,6.54,15.5,42.3,15.1,2.89,60.9,43.7,7.43,84.0,57.5,8.27,0.54,6.5,0.35,0.35,0.35,Matches
31,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,24,1994,38.0,1.21,0.05,0.05,0.29,0.05,1.27,0.35,0.11,+0.11,7.39,20.1,36.8,25.5,3.95,58.4,48.3,7.42,70.6,60.5,7.42,0.66,8.9,0.92,0.92,0.42,Matches
32,Sergio Rico\Sergio-Rico,es ESP,GK,Fulham,24,1993,29.0,1.93,0.14,0.00,0.28,0.07,1.82,0.31,-0.04,-0.04,8.93,21.4,41.7,21.3,3.14,63.3,46.1,9.41,84.2,60.5,10.6,0.83,7.8,0.38,0.38,0.44,Matches
33,John Ruddy\John-Ruddy,eng ENG,GK,Wolves,31,1986,1.0,0.00,0.00,0.00,0.00,0.00,0.90,0.29,0.90,+0.87,7.00,13.0,53.8,14.0,3.00,50.0,41.8,7.00,85.7,54.6,9.00,1.00,11.1,0.00,0.00,8.00,Matches
34,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,26,1992,34.0,1.62,0.24,0.03,0.18,0.00,1.52,0.32,-0.09,-0.09,9.53,22.7,42.0,20.4,2.94,67.3,48.8,9.56,94.2,64.4,9.47,0.53,5.6,0.21,0.21,0.38,Matches
35,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,31,1986,38.0,1.26,0.13,0.00,0.18,0.00,1.22,0.30,-0.04,-0.04,8.66,18.2,47.5,23.8,2.84,51.3,41.9,8.03,75.1,57.4,8.89,0.89,10.1,0.42,0.42,0.37,Matches
36,Julián Speroni\Julian-Speroni,ar ARG,GK,Crystal Palace,39,1979,1.0,4.00,0.00,0.00,1.00,0.00,3.70,0.41,-0.30,-0.29,13.0,33.0,39.4,23.0,3.00,95.7,57.7,13.0,84.6,57.8,9.00,0.00,0.0,0.00,0.00,10.6,Matches
37,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,19,1999,2.0,2.50,0.00,0.00,0.00,0.50,1.55,0.24,-0.45,-0.46,5.50,11.5,47.8,21.5,7.00,37.2,32.7,7.00,50.0,44.0,4.50,0.00,0.0,2.00,2.00,8.70,Matches
38,Michel Vorm\Michel-Vorm,nl NED,GK,Tottenham,34,1983,2.0,2.00,0.00,0.00,1.00,0.00,2.75,0.42,0.75,+0.74,2.50,6.00,41.7,25.5,8.50,15.7,26.2,4.00,50.0,42.3,7.50,0.50,6.7,0.50,0.50,6.45,Matches
