Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
21,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,29,1989,30.3,24.5,23.2,1.29,0.00,0.13,5.45,0.26,1.39,0.00,0.00,0.00,0.00,16.7,4.16,3.60,2.28,20.3,1.06,0.13,0.13,17.4,0.23,0.43,0.63,1.35,Matches
22,Serge Aurier\Serge-Aurier,ci CIV,DFMF,Tottenham,25,1992,6.3,54.4,45.9,8.57,0.63,0.00,10.3,0.79,2.70,0.00,0.00,0.00,0.00,32.2,11.7,10.5,6.19,36.8,2.38,7.94,0.00,40.2,0.00,0.79,1.11,2.54,Matches
23,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,29,1989,10.9,19.1,18.3,0.73,0.09,0.09,5.32,0.28,0.18,0.00,0.00,0.00,0.00,9.91,4.40,4.77,1.56,12.1,3.49,0.00,0.46,11.7,0.09,0.55,0.18,0.55,Matches
24,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,26,1991,13.1,20.8,20.0,0.84,0.00,0.00,5.04,0.00,0.76,0.00,0.00,0.00,0.00,14.9,2.75,3.21,1.83,16.3,0.61,0.08,0.46,15.3,0.15,0.15,0.38,1.45,Matches
25,Floyd Ayité\Floyd-Ayite,tg TOG,FWMF,Fulham,29,1988,5.3,39.4,38.3,1.13,0.38,0.00,6.42,0.57,0.94,0.38,0.00,0.00,0.19,29.2,3.96,6.23,8.11,27.0,2.26,0.38,0.75,30.0,0.00,0.38,0.19,1.89,Matches
26,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,28,1989,37.8,76.5,67.0,9.50,0.71,0.05,10.3,0.79,2.41,0.00,0.00,0.00,0.00,55.0,10.0,11.5,4.18,59.2,3.49,8.78,0.19,65.4,0.16,0.69,0.61,2.46,Matches
27,Ryan Babel\Ryan-Babel,nl NED,FW,Fulham,31,1986,13.9,37.1,34.9,2.16,0.50,0.00,7.55,1.22,1.22,1.08,0.43,0.29,0.14,26.8,4.89,5.32,2.59,32.8,0.94,0.29,0.14,29.5,0.14,0.58,0.65,1.80,Matches
28,Juninho Bacuna\Juninho-Bacuna,cw CUW,MFDF,Huddersfield,20,1997,15.7,48.6,44.2,4.39,1.72,0.45,10.0,2.29,0.83,1.02,0.25,0.13,0.00,30.8,6.69,11.1,8.28,36.6,1.27,1.27,0.19,35.6,0.13,1.66,1.59,1.46,Matches
29,Leandro Bacuna\Leandro-Bacuna,cw CUW,MFDF,Cardiff City,26,1991,6.2,27.1,23.7,3.39,1.29,0.16,5.65,0.97,0.65,0.16,0.00,0.00,0.16,13.1,4.68,9.35,2.42,20.2,1.61,1.77,0.16,18.4,0.32,0.48,1.13,0.81,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,24,1994,7.1,43.7,42.8,0.85,0.56,0.00,7.18,1.13,0.14,0.00,0.00,0.00,0.00,33.7,3.66,6.34,7.32,33.9,1.13,0.28,0.00,37.6,0.00,1.13,0.14,0.42,Matches
