"","","","","","","","","Playing Time","Playing Time","Playing Time","Playing Time","Playing Time","Starts","Starts","Starts","Subs","Subs","Subs","Team Success","Team Success","Team Success","Team Success","Team Success","Team Success",""
"1","Rk","Player","Nation","Pos","Squad","Age","Born","MP","Min","Mn/MP","Min%","90s","Starts","Mn/Start","Compl","Subs","Mn/Sub","unSub","PPM","onG","onGA","+/-","+/-90","On-Off","Matches"
"596","573","Mario Šitum","hr CRO","MF","Kayserispor","28-284","1992","1","90","90","5.9","1.0","1","90","1","0","","0","3.00","1","0","+1","+1.00","+1.69","Matches"
"597","574","Guilherme Sityá","pt POR","DF","Konyaspor","30-287","1990","17","1,506","89","98.4","16.7","17","89","16","0","","0","1.29","23","20","+3","+0.18","+0.18","Matches"
"598","575","Milan Škoda","cz CZE","FW","Rizespor","34-363","1986","14","1,006","72","65.8","11.2","11","86","7","3","21","3","1.07","16","19","-3","-0.27","+0.59","Matches"
"599","Rk","Player","Nation","Pos","Squad","Age","Born","MP","Min","Mn/MP","Min%","90s","Starts","Mn/Start","Compl","Subs","Mn/Sub","unSub","PPM","onG","onGA","+/-","+/-90","On-Off","Matches"
"600","576","Martin Škrtel","sk SVK","DF","Basaksehir","36-029","1984","10","816","82","53.3","9.1","10","82","8","0","","0","1.20","16","18","-2","-0.22","+0.03","Matches"
"601","577","Nejc Skubic","si SVN","DF,MF","Konyaspor","31-214","1989","17","1,530","90","100.0","17.0","17","90","17","0","","0","1.29","24","21","+3","+0.18","","Matches"
"602","578","Artur Sobiech","pl POL","FW","Fatih Karagümrük","30-215","1990","15","1,022","68","66.8","11.4","14","72","3","1","13","0","1.33","17","15","+2","+0.18","-0.18","Matches"
"603","579","Kubilay Sönmez","tr TUR","MF","Göztepe","26-210","1994","11","438","40","28.6","4.9","4","68","0","7","24","3","1.45","3","5","-2","-0.41","-0.66","Matches"
"604","580","José Sosa","ar ARG","MF","Fenerbahçe","35-208","1985","13","703","54","45.9","7.8","8","71","2","5","27","1","2.23","18","8","+10","+1.28","+0.84","Matches"
"605","581","André Sousa","pt POR","MF","Gaziantep FK","30-188","1990","8","419","52","27.4","4.7","6","67","1","2","8","4","1.38","6","7","-1","-0.21","-1.27","Matches"
